State,Rep,NpParty,Dem,SampleSz
Alabama,52%,13%,35%,511
Alaska,39%,29%,32%,310
Arizona,40%,21%,39%,653
Arkansas,46%,16%,38%,311
California,30%,21%,49%,"3,697"
Colorado,41%,17%,42%,504
Connecticut,32%,18%,50%,377
Delaware,29%,17%,55%,301
District of Columbia,11%,15%,73%,303
Florida,37%,19%,44%,"2,020"
Georgia,41%,18%,41%,968
Hawaii,28%,20%,51%,312
Idaho,49%,19%,32%,320
Illinois,33%,19%,48%,"1,326"
Indiana,42%,20%,37%,654
Iowa,41%,19%,40%,330
Kansas,46%,23%,31%,307
Kentucky,44%,13%,43%,439
Louisiana,41%,16%,43%,465
Maine,36%,17%,47%,303
Maryland,31%,14%,55%,644
Massachusetts,27%,17%,56%,704
Michigan,34%,19%,47%,982
Minnesota,39%,15%,46%,563
Mississippi,44%,14%,42%,309
Missouri,41%,18%,42%,642
Montana,49%,21%,30%,312
Nebraska,47%,17%,36%,312
Nevada,37%,18%,46%,314
New Hampshire,35%,20%,44%,303
New Jersey,30%,19%,51%,886
New Mexico,37%,15%,48%,312
New York,28%,19%,53%,"1,966"
North Carolina,41%,17%,43%,"1,022"
North Dakota,50%,18%,33%,338
Ohio,42%,18%,40%,"1,132"
Oklahoma,45%,15%,40%,391
Oregon,32%,21%,47%,419
Pennsylvania,39%,15%,46%,"1,366"
Rhode Island,30%,22%,48%,305
South Carolina,43%,18%,39%,495
South Dakota,53%,10%,37%,305
Tennessee,48%,15%,36%,661
Texas,39%,21%,40%,"2,535"
Utah,54%,16%,30%,315
Vermont,29%,14%,57%,306
Virginia,43%,18%,39%,882
Washington,33%,23%,44%,714
West Virginia,43%,16%,41%,309
Wisconsin,42%,16%,42%,600
Wyoming,57%,18%,25%,316
