cnty	ProvinceState	CountryRegion	reportdt	latfill	longfill	confirmed	deaths	recovered	statename
(null)	"Maricopa County, AZ"	"US"	"2020-03-06"	33.291800000000000	-112.429100000000000	2	0	0	"Arizona"
(null)	"Pinal County, AZ"	"US"	"2020-03-07"	32.816200000000000	-111.284500000000000	6	0	0	"Arizona"
(null)	"Tempe, AZ"	"US"	"2020-02-01"	33.425500000000000	-111.940000000000000	24	0	0	"Arizona"
(null)	"Tempe, AZ"	"US"	"2020-02-25"	33.425500000000000	-111.940000000000000	11	0	11	"Arizona"
(null)	"Maricopa County, AZ"	"US"	"2020-03-03"	33.291800000000000	-112.429100000000000	3	0	0	"Arizona"
(null)	"Maricopa County, AZ"	"US"	"2020-03-07"	33.291800000000000	-112.429100000000000	9	0	3	"Arizona"
(null)	"Madera County, CA"	"US"	"2020-03-07"	37.251900000000000	-119.696300000000000	3	0	0	"California"
(null)	"San Mateo, CA"	"US"	"2020-03-02"	37.563000000000000	-122.325500000000000	1	0	0	"California"
(null)	"Sonoma County, CA"	"US"	"2020-03-09"	38.578000000000000	-122.988800000000000	3	0	0	"California"
(null)	"Fresno County, CA"	"US"	"2020-03-08"	36.985900000000000	-119.232100000000000	2	0	0	"California"
(null)	"Placer County, CA"	"US"	"2020-03-06"	39.091600000000000	-120.803900000000000	15	3	0	"California"
(null)	"Los Angeles, CA"	"US"	"2020-03-06"	34.052200000000000	-118.243700000000000	13	0	0	"California"
(null)	"Travis, CA (From Diamond Princess)"	"US"	"2020-02-22"	38.272100000000000	-121.939900000000000	10	0	0	"California"
(null)	"San Francisco County, CA"	"US"	"2020-03-07"	37.774900000000000	-122.419400000000000	9	0	0	"California"
(null)	"San Diego County, CA"	"US"	"2020-03-05"	32.715700000000000	-117.161100000000000	15	0	5	"California"
(null)	"Alameda County, CA"	"US"	"2020-03-07"	37.601700000000000	-121.719500000000000	6	0	0	"California"
(null)	"Santa Clara, CA"	"US"	"2020-02-21"	37.354100000000000	-121.955200000000000	16	0	8	"California"
(null)	"Sacramento County, CA"	"US"	"2020-02-21"	38.474700000000000	-121.354200000000000	6	0	0	"California"
(null)	"San Francisco County, CA"	"US"	"2020-03-05"	37.774900000000000	-122.419400000000000	4	0	0	"California"
(null)	"Placer County, CA"	"US"	"2020-03-04"	39.091600000000000	-120.803900000000000	4	2	0	"California"
(null)	"Sonoma County, CA"	"US"	"2020-03-02"	38.578000000000000	-122.988800000000000	7	0	0	"California"
(null)	"Santa Clara, CA"	"US"	"2020-02-01"	37.354100000000000	-121.955200000000000	2	0	0	"California"
(null)	"San Diego County, CA"	"US"	"2020-02-21"	32.715700000000000	-117.161100000000000	26	0	13	"California"
(null)	"Riverside County, CA"	"US"	"2020-03-08"	33.953300000000000	-117.396100000000000	2	0	0	"California"
(null)	"Placer County, CA"	"US"	"2020-03-02"	39.091600000000000	-120.803900000000000	2	0	0	"California"
(null)	"San Mateo, CA"	"US"	"2020-03-03"	37.563000000000000	-122.325500000000000	14	0	0	"California"
