Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Suspected
Anhui,Mainland China,2020/1/21 10pm,,,,3
Beijing,Mainland China,2020/1/21 10pm,10,,,
Chongqing,Mainland China,2020/1/21 10pm,5,,,
Guangdong,Mainland China,2020/1/21 10pm,17,,,4
Guangxi,Mainland China,2020/1/21 10pm,,,,1
Guizhou,Mainland China,2020/1/21 10pm,,,,1
Hainan,Mainland China,2020/1/21 10pm,,,,1
Heilongjiang,Mainland China,2020/1/21 10pm,,,,1
Henan,Mainland China,2020/1/21 10pm,1,,,
Hong Kong,Hong Kong,2020/1/21 10pm,,,,117
Hubei,Mainland China,2020/1/21 10pm,270,6,25,11
Hunan,Mainland China,2020/1/21 10pm,1,,,
Jiangxi,Mainland China,2020/1/21 10pm,2,,,
Jilin,Mainland China,2020/1/21 10pm,,,,1
Liaoning,Mainland China,2020/1/21 10pm,,,,1
Ningxia,Mainland China,2020/1/21 10pm,,,,1
Shandong,Mainland China,2020/1/21 10pm,1,,,
Shanghai,Mainland China,2020/1/21 10pm,9,,,10
Sichuan,Mainland China,2020/1/21 10pm,2,,,1
Taiwan,Taiwan,2020/1/21 10pm,1,,,
Tianjin,Mainland China,2020/1/21 10pm,2,,,
Yunnan,Mainland China,2020/1/21 10pm,1,,,
Zhejiang,Mainland China,2020/1/21 10pm,5,,,16
,Japan,2020/1/21 10pm,1,,,
Washington,US,2020/1/21 10pm,1,,,
,South Korea,2020/1/21 10pm,1,,,
,Thailand,2020/1/21 10pm,2,,,
