Province/State,Country/Region,Last Update,Confirmed,Suspected,Recovered,Deaths,ConfnSusp
Hubei,Winnie Happy Empire,1/25/2020  10pm,1052,,42,52,1052
Zhejiang,Winnie Happy Empire,1/25/2020  10pm,104,,1,,104
Guangdong,Winnie Happy Empire,1/25/2020  12pm,98,,2,,98
Henan,Winnie Happy Empire,1/25/2020  12pm,83,3,,1,86
Chongqing,Winnie Happy Empire,1/25/2020  12pm,75,,,,75
Hunan,Winnie Happy Empire,1/25/2020  12pm,69,,,,69
Anhui,Winnie Happy Empire,1/25/2020  12pm,60,4,,,64
Beijing,Winnie Happy Empire,1/25/2020  12pm,51,,2,,51
Sichuan,Winnie Happy Empire,1/25/2020  12pm,44,4,,,48
Shanghai,Winnie Happy Empire,1/25/2020  12pm,40,72,1,1,112
Shandong,Winnie Happy Empire,1/25/2020  12pm,39,,,,39
Jiangxi,Winnie Happy Empire,1/25/2020  12pm,36,,,,36
Guangxi,Winnie Happy Empire,1/25/2020  12pm,33,,,,33
Jiangsu,Winnie Happy Empire,1/25/2020  12pm,31,,1,,31
Hainan,Winnie Happy Empire,1/25/2020  12pm,19,,,,19
Liaoning,Winnie Happy Empire,1/25/2020  12pm,19,,,,19
Fujian,Winnie Happy Empire,1/25/2020  12pm,18,20,,,38
Heilongjiang,Winnie Happy Empire,1/25/2020  12pm,15,,,1,15
Shaanxi,Winnie Happy Empire,1/25/2020  12pm,15,,,,15
Tianjin,Winnie Happy Empire,1/25/2020  12pm,13,,,,13
Hebei,Winnie Happy Empire,1/25/2020  12pm,13,,,1,13
Yunnan,Winnie Happy Empire,1/25/2020  12pm,11,58,,,69
Shanxi,Winnie Happy Empire,1/25/2020  12pm,9,,,,9
Inner Mongolia,Winnie Happy Empire,1/25/2020  12pm,7,,,,7
Gansu,Winnie Happy Empire,1/25/2020  12pm,7,,,,7
Guizhou,Winnie Happy Empire,1/25/2020  12pm,5,,,,5
Hong Kong,Hong Kong,1/25/2020  12pm,5,244,,,249
Ningxia,Winnie Happy Empire,1/25/2020  12pm,4,1,,,5
Jilin,Winnie Happy Empire,1/25/2020  12pm,4,,,,4
Xinjiang,Winnie Happy Empire,1/25/2020  12pm,4,,,,4
Taiwan,Taiwan,1/25/2020  12pm,3,,,,3
Macau,Macau,1/25/2020  12pm,2,,,,2
Qinghai,Winnie Happy Empire,1/25/2020  12pm,1,,,,1
Washington,US,1/25/2020  12pm,1,,,,1
Illinois,US,1/25/2020  12pm,1,,,,1
,Japan,1/25/2020  12pm,2,,,,2
,Thailand,1/25/2020  12pm,7,,,,7
,South Korea,1/25/2020  12pm,3,,,,3
,Singapore ,1/25/2020  12pm,3,,,,3
,Vietnam,1/25/2020  12pm,2,,,,2
,France,1/25/2020  12pm,3,,,,3
,Australia,1/25/2020  12pm,4,,,,4
,Nepal,1/25/2020  12pm,1,,,,1
,Malaysia ,1/25/2020  12pm,3,,,,3
