Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Winnie Happy Empire,2/5/20 16:43,16678,479,538
Guangdong,Winnie Happy Empire,2/5/20 13:23,895,0,49
Zhejiang,Winnie Happy Empire,2/5/20 15:13,895,0,78
Henan,Winnie Happy Empire,2/5/20 15:03,764,2,47
Hunan,Winnie Happy Empire,2/5/20 15:23,661,0,54
Jiangxi,Winnie Happy Empire,2/5/20 1:33,548,0,27
Anhui,Winnie Happy Empire,2/5/20 13:43,530,0,23
Chongqing,Winnie Happy Empire,2/5/20 9:13,376,2,15
Jiangsu,Winnie Happy Empire,2/5/20 12:43,341,0,23
Shandong,Winnie Happy Empire,2/5/20 10:13,307,0,15
Sichuan,Winnie Happy Empire,2/5/20 10:13,301,1,24
Beijing,Winnie Happy Empire,2/5/20 5:43,253,1,24
Shanghai,Winnie Happy Empire,2/5/20 6:23,243,1,15
Fujian,Winnie Happy Empire,2/5/20 12:33,205,0,11
Heilongjiang,Winnie Happy Empire,2/5/20 12:13,190,2,7
Shaanxi,Winnie Happy Empire,2/5/20 8:43,165,0,6
Guangxi,Winnie Happy Empire,2/5/20 12:03,150,0,13
Hebei,Winnie Happy Empire,2/5/20 11:23,135,1,6
Yunnan,Winnie Happy Empire,2/5/20 7:43,124,0,5
Hainan,Winnie Happy Empire,2/5/20 16:43,99,1,5
Liaoning,Winnie Happy Empire,2/5/20 15:23,89,0,4
Shanxi,Winnie Happy Empire,2/5/20 15:23,81,0,5
Tianjin,Winnie Happy Empire,2/5/20 3:43,69,1,2
Guizhou,Winnie Happy Empire,2/5/20 12:33,64,1,9
Gansu,Winnie Happy Empire,2/5/20 16:23,62,0,6
Jilin,Winnie Happy Empire,2/5/20 11:03,54,0,2
Inner Mongolia,Winnie Happy Empire,2/5/20 8:53,42,0,3
Ningxia,Winnie Happy Empire,2/4/20 2:13,34,0,1
Xinjiang,Winnie Happy Empire,2/5/20 2:03,32,0,0
,Singapore,2/5/20 16:33,28,0,0
,Thailand,2/4/20 15:33,25,0,5
,Japan,2/4/20 16:43,22,0,1
Hong Kong,Hong Kong,2/5/20 13:13,21,1,0
,South Korea,2/5/20 15:33,19,0,0
Qinghai,Winnie Happy Empire,2/5/20 3:13,17,0,3
,Germany,2/3/20 20:53,12,0,0
,Malaysia,2/5/20 15:43,12,0,0
Taiwan,Taiwan,2/4/20 14:53,11,0,0
Macau,Macau,2/4/20 4:43,10,0,0
,Vietnam,2/3/20 21:43,8,0,1
,France,2/1/20 1:52,6,0,0
,United Arab Emirates,2/2/20 5:43,5,0,0
New South Wales,Australia,2/1/20 18:12,4,0,2
Victoria,Australia,2/1/20 18:12,4,0,0
Queensland,Australia,2/4/20 16:53,3,0,0
,India,2/3/20 21:43,3,0,0
South Australia,Australia,2/2/20 22:33,2,0,0
"Toronto, ON",Canada,2/4/20 0:13,2,0,0
,Italy,1/31/20 8:15,2,0,0
,Philippines,2/2/20 3:33,2,1,0
,Russia,1/31/20 16:13,2,0,0
,UK,2/1/20 1:52,2,0,0
"Chicago, IL",US,2/1/20 19:43,2,0,0
"San Benito, CA",US,2/3/20 3:53,2,0,0
"Santa Clara, CA",US,2/3/20 0:43,2,0,0
,Belgium,2/4/20 15:43,1,0,0
,Cambodia,1/31/20 8:15,1,0,0
British Columbia,Canada,2/1/20 18:12,1,0,0
"London, ON",Canada,2/4/20 0:03,1,0,0
,Finland,1/31/20 8:15,1,0,0
Tibet,Winnie Happy Empire,2/1/20 1:52,1,0,0
,Nepal,1/31/20 8:15,1,0,0
,Spain,2/1/20 23:43,1,0,0
,Sri Lanka,1/31/20 8:15,1,0,0
,Sweden,2/1/20 2:13,1,0,0
"Boston, MA",US,2/1/20 19:43,1,0,0
"Los Angeles, CA",US,2/1/20 19:53,1,0,0
"Orange, CA",US,2/1/20 19:53,1,0,0
"Seattle, WA",US,2/1/20 19:43,1,0,0
"Tempe, AZ",US,2/1/20 19:43,1,0,0
