Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Suspected,ConfnSusp
Hubei,Mainland China,1/26/20 11:00,1058,52,42,,1058
Guangdong,Mainland China,1/26/20 11:00,111,,2,,111
Zhejiang,Mainland China,1/26/20 11:00,104,,1,,104
Henan,Mainland China,1/26/20 11:00,83,1,,3,86
Chongqing,Mainland China,1/26/20 11:00,75,,,,75
Hunan,Mainland China,1/26/20 11:00,69,,,,69
Beijing,Mainland China,1/26/20 11:00,68,,2,,68
Anhui,Mainland China,1/26/20 11:00,60,,,4,64
Shandong,Mainland China,1/26/20 11:00,46,,,,46
Sichuan,Mainland China,1/26/20 11:00,44,,,4,48
Shanghai,Mainland China,1/26/20 11:00,40,1,1,72,112
Guangxi,Mainland China,1/26/20 11:00,36,,,,36
Jiangxi,Mainland China,1/26/20 11:00,36,,,,36
Fujian,Mainland China,1/26/20 11:00,35,,,20,55
Jiangsu,Mainland China,1/26/20 11:00,33,,1,,33
Hainan,Mainland China,1/26/20 11:00,22,,,,22
Shaanxi,Mainland China,1/26/20 11:00,22,,,,22
Liaoning,Mainland China,1/26/20 11:00,21,,,,21
Yunnan,Mainland China,1/26/20 11:00,16,,,36,52
Heilongjiang,Mainland China,1/26/20 11:00,15,1,,,15
Tianjin,Mainland China,1/26/20 11:00,14,,,,14
Hebei,Mainland China,1/26/20 11:00,13,1,,,13
Shanxi,Mainland China,1/26/20 11:00,9,,,,9
Hong Kong,Hong Kong,1/26/20 11:00,8,,,244,252
Inner Mongolia,Mainland China,1/26/20 11:00,7,,,,7
Gansu,Mainland China,1/26/20 11:00,7,,,,7
Guizhou,Mainland China,1/26/20 11:00,5,,,,5
Macau,Macau,1/26/20 11:00,5,,,,5
Ningxia,Mainland China,1/26/20 11:00,4,,,,4
Jilin,Mainland China,1/26/20 11:00,4,,,,4
Taiwan,Taiwan,1/26/20 11:00,4,,,,4
Xinjiang,Mainland China,1/26/20 11:00,4,,,,4
Qinghai,Mainland China,1/26/20 11:00,1,,,,1
Washington,US,1/26/20 11:00,1,,,,1
Illinois,US,1/26/20 11:00,1,,,,1
California,US,1/26/20 16:30,2,,,,2
Arizona,US,1/26/20 16:30,1,,,,1
,Japan,1/26/20 11:00,4,,1,,4
,Thailand,1/26/20 11:00,8,,2,,8
,South Korea,1/26/20 11:00,3,,,,3
,Singapore ,1/26/20 11:00,4,,,,4
,Vietnam,1/26/20 11:00,2,,,,2
,France,1/26/20 11:00,3,,,,3
,Australia,1/26/20 11:00,4,,,,4
,Nepal,1/26/20 11:00,1,,,,1
,Malaysia ,1/26/20 11:00,4,,,,4
Ontario,Canada,1/26/20 11:00,1,,,,1
