Province/State,Country/Region,Lat,Long,1/21/20 22:00,1/22/20 12:00,1/23/20 12:00,1/24/20 0:00,1/24/20 12:00,1/25/20 0:00,1/25/20 12:00,1/25/20 22:00,1/26/20 11:00,1/26/20 23:00,1/27/20 9:00,1/27/20 19:00,1/27/20 20:30,1/28/20 13:00,1/28/20 18:00,1/28/20 23:00,1/29/20 13:30,1/29/20 14:30,1/29/20 21:00,1/30/20 11:00,1/31/20 14:00,2/1/20 10:00,2/2/20 21:00,2/3/20 21:00,2/4/20 9:40,2/4/20 22:00,2/5/20 9:00,2/5/20 23:00,2/6/20 9:00,2/6/20 14:20,2/7/20 20:13,2/7/20 22:50,2/8/20 10:24,2/8/20 23:04,2/9/20 10:30,2/9/20 23:20,2/10/20 10:30,2/10/20 19:30,2/11/20 10:50,2/11/20 20:44,2/12/20 10:20,2/12/20 22:00,2/13/20 10:00,2/13/20 21:15,2/14/20 11:23
Anhui,Mainland China,31.825709999999997,117.2264,,1.0,9.0,15.0,15.0,39.0,39.0,60.0,60.0,70.0,70.0,70.0,106.0,106.0,106.0,152.0,152.0,152.0,200.0,200.0,237.0,297.0,408.0,480.0,480.0,530.0,530.0,591.0,591.0,591.0,665.0,733.0,733.0,779.0,779.0,830.0,830.0,830.0,860.0,889.0,889.0,910.0,910.0,934,934
Beijing,Mainland China,40.18238,116.4142,10.0,14.0,22.0,26.0,36.0,36.0,41.0,51.0,68.0,68.0,72.0,80.0,80.0,91.0,91.0,91.0,111.0,111.0,111.0,114.0,139.0,168.0,191.0,212.0,212.0,228.0,253.0,274.0,274.0,274.0,297.0,315.0,315.0,326.0,326.0,337.0,337.0,337.0,342.0,342.0,352.0,366.0,366.0,366,372
Chongqing,Mainland China,30.05718,107.874,5.0,6.0,9.0,27.0,27.0,57.0,57.0,75.0,75.0,110.0,110.0,110.0,132.0,132.0,132.0,147.0,147.0,147.0,165.0,182.0,211.0,247.0,300.0,337.0,337.0,366.0,376.0,389.0,400.0,400.0,415.0,426.0,428.0,446.0,450.0,468.0,473.0,486.0,489.0,505.0,509.0,518.0,525.0,529,532
Fujian,Mainland China,26.07783,117.9895,,1.0,5.0,5.0,10.0,10.0,18.0,18.0,35.0,35.0,56.0,59.0,59.0,80.0,80.0,82.0,84.0,84.0,101.0,101.0,120.0,144.0,159.0,179.0,179.0,194.0,205.0,215.0,215.0,215.0,224.0,239.0,239.0,250.0,250.0,261.0,261.0,261.0,267.0,272.0,272.0,279.0,279.0,281,281
Gansu,Mainland China,36.0611,103.8343,,,2.0,2.0,2.0,4.0,4.0,7.0,7.0,14.0,14.0,14.0,19.0,19.0,19.0,24.0,24.0,24.0,26.0,26.0,29.0,35.0,51.0,55.0,55.0,57.0,57.0,62.0,62.0,62.0,67.0,71.0,79.0,79.0,79.0,83.0,83.0,86.0,86.0,86.0,86.0,87.0,87.0,90,90
Guangdong,Mainland China,23.33841,113.42200000000001,17.0,26.0,32.0,53.0,53.0,78.0,78.0,98.0,111.0,146.0,151.0,151.0,151.0,207.0,207.0,241.0,277.0,277.0,311.0,354.0,436.0,535.0,683.0,725.0,797.0,870.0,895.0,944.0,970.0,970.0,1034.0,1075.0,1095.0,1120.0,1131.0,1151.0,1159.0,1159.0,1177.0,1219.0,1219.0,1241.0,1241.0,1261,1261
Guangxi,Mainland China,23.829079999999998,108.7881,,2.0,5.0,13.0,23.0,23.0,23.0,33.0,36.0,46.0,46.0,46.0,51.0,51.0,51.0,58.0,58.0,58.0,78.0,78.0,87.0,100.0,127.0,139.0,139.0,150.0,150.0,168.0,168.0,168.0,172.0,183.0,183.0,195.0,195.0,210.0,210.0,210.0,215.0,222.0,222.0,222.0,222.0,226,226
Guizhou,Mainland China,26.81536,106.8748,,1.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,7.0,7.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,12.0,12.0,29.0,29.0,46.0,56.0,56.0,64.0,64.0,69.0,71.0,71.0,81.0,89.0,89.0,96.0,99.0,109.0,109.0,109.0,127.0,131.0,133.0,135.0,135.0,140,140
Hainan,Mainland China,19.19673,109.7455,,4.0,5.0,8.0,8.0,17.0,19.0,19.0,22.0,22.0,33.0,33.0,33.0,40.0,40.0,43.0,43.0,43.0,43.0,46.0,52.0,62.0,71.0,79.0,79.0,91.0,91.0,100.0,106.0,106.0,117.0,124.0,124.0,128.0,131.0,136.0,138.0,138.0,144.0,151.0,157.0,157.0,157.0,158,159
Hebei,Mainland China,38.0428,114.5149,,1.0,1.0,2.0,2.0,8.0,8.0,13.0,13.0,18.0,18.0,18.0,33.0,33.0,33.0,48.0,48.0,48.0,65.0,65.0,82.0,96.0,113.0,126.0,126.0,135.0,135.0,157.0,157.0,157.0,172.0,195.0,195.0,206.0,206.0,218.0,218.0,218.0,239.0,251.0,251.0,265.0,265.0,283,283
