Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Suspected
Anhui,Mainland China,1/21/2020 10pm,,,,3
Beijing,Mainland China,1/21/2020 10pm,10,,,
Chongqing,Mainland China,1/21/2020 10pm,5,,,
Guangdong,Mainland China,1/21/2020 10pm,17,,,4
Guangxi,Mainland China,1/21/2020 10pm,,,,1
Guizhou,Mainland China,1/21/2020 10pm,,,,1
Hainan,Mainland China,1/21/2020 10pm,,,,1
Heilongjiang,Mainland China,1/21/2020 10pm,,,,1
Henan,Mainland China,1/21/2020 10pm,1,,,
Hong Kong,Hong Kong,1/21/2020 10pm,,,,117
Hubei,Mainland China,1/21/2020 10pm,270,6,25,11
Hunan,Mainland China,1/21/2020 10pm,1,,,
Jiangxi,Mainland China,1/21/2020 10pm,2,,,
Jilin,Mainland China,1/21/2020 10pm,,,,1
Liaoning,Mainland China,1/21/2020 10pm,,,,1
Ningxia,Mainland China,1/21/2020 10pm,,,,1
Shandong,Mainland China,1/21/2020 10pm,1,,,
Shanghai,Mainland China,1/21/2020 10pm,9,,,10
Sichuan,Mainland China,1/21/2020 10pm,2,,,1
Taiwan,Taiwan,1/21/2020 10pm,1,,,
Tianjin,Mainland China,1/21/2020 10pm,2,,,
Yunnan,Mainland China,1/21/2020 10pm,1,,,
Zhejiang,Mainland China,1/21/2020 10pm,5,,,16
,Japan,1/21/2020 10pm,1,,,
Washington,US,1/21/2020 10pm,1,,,
,South Korea,1/21/2020 10pm,1,,,
,Thailand,1/21/2020 10pm,2,,,
