UID,iso2,iso3,code3,FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Population,mortality_rate,incidence_rate
84045001,US,USA,840,45001,Abbeville,South Carolina,US,3/31/2020 16:13,34.22333378,-82.46170658,3,0,0,0,"Abbeville, South Carolina, US",24527,0.0000,12.2314
84022001,US,USA,840,22001,Acadia,Louisiana,US,3/31/2020 16:13,30.2950649,-92.41419698,11,1,0,0,"Acadia, Louisiana, US",62045,9.0909,17.7291
84051001,US,USA,840,51001,Accomack,Virginia,US,3/31/2020 16:13,37.76707161,-75.63234615,7,0,0,0,"Accomack, Virginia, US",32316,0.0000,21.6611
84016001,US,USA,840,16001,Ada,Idaho,US,3/31/2020 16:13,43.4526575,-116.2415516,163,3,0,0,"Ada, Idaho, US",481587,1.8405,33.8464
84019001,US,USA,840,19001,Adair,Iowa,US,3/31/2020 16:13,41.33075609,-94.47105874,1,0,0,0,"Adair, Iowa, US",7152,0.0000,13.9821
84029001,US,USA,840,29001,Adair,Missouri,US,3/31/2020 16:13,40.19058551,-92.60078167,1,0,0,0,"Adair, Missouri, US",25343,0.0000,3.9459
84040001,US,USA,840,40001,Adair,Oklahoma,US,3/31/2020 16:13,35.88494195,-94.65859267,4,0,0,0,"Adair, Oklahoma, US",22194,0.0000,18.0229
84008001,US,USA,840,8001,Adams,Colorado,US,3/31/2020 16:13,39.87432092,-104.3362578,152,0,0,0,"Adams, Colorado, US",517421,0.0000,29.3765
84017001,US,USA,840,17001,Adams,Illinois,US,3/31/2020 16:13,39.98815591,-91.18786813,2,0,0,0,"Adams, Illinois, US",65435,0.0000,3.0565
84018001,US,USA,840,18001,Adams,Indiana,US,3/31/2020 16:13,40.7457653,-84.93671406,1,0,0,0,"Adams, Indiana, US",35777,0.0000,2.7951
84028001,US,USA,840,28001,Adams,Mississippi,US,3/31/2020 16:13,31.47669768,-91.35326037,10,0,0,0,"Adams, Mississippi, US",30693,0.0000,32.5807
84031001,US,USA,840,31001,Adams,Nebraska,US,3/31/2020 16:13,40.5244942,-98.50117804,3,0,0,0,"Adams, Nebraska, US",31363,0.0000,9.5654
84042001,US,USA,840,42001,Adams,Pennsylvania,US,3/31/2020 16:13,39.87140411,-77.21610347,8,0,0,0,"Adams, Pennsylvania, US",103009,0.0000,7.7663
84053001,US,USA,840,53001,Adams,Washington,US,3/31/2020 16:13,46.98299757,-118.5601734,7,0,0,0,"Adams, Washington, US",19983,0.0000,35.0298
84050001,US,USA,840,50001,Addison,Vermont,US,3/31/2020 16:13,44.03217337,-73.14130877,17,0,0,0,"Addison, Vermont, US",36777,0.0000,46.2245
84045003,US,USA,840,45003,Aiken,South Carolina,US,3/31/2020 16:13,33.54338026,-81.63645384,9,0,0,0,"Aiken, South Carolina, US",170872,0.0000,5.2671
84012001,US,USA,840,12001,Alachua,Florida,US,3/31/2020 16:13,29.67866525,-82.35928158,80,0,0,0,"Alachua, Florida, US",269043,0.0000,29.7350
84037001,US,USA,840,37001,Alamance,North Carolina,US,3/31/2020 16:13,36.0434701,-79.39976137,7,0,0,0,"Alamance, North Carolina, US",169509,0.0000,4.1296
84006001,US,USA,840,6001,Alameda,California,US,3/31/2020 16:13,37.64629437,-121.8929271,283,7,0,0,"Alameda, California, US",1671329,2.4735,16.9326
84008003,US,USA,840,8003,Alamosa,Colorado,US,3/31/2020 16:13,37.57250606,-105.7885451,1,0,0,0,"Alamosa, Colorado, US",16233,0.0000,6.1603
84036001,US,USA,840,36001,Albany,New York,US,3/31/2020 16:13,42.60060306,-73.97723916,217,1,0,0,"Albany, New York, US",305506,0.4608,71.0297
84056001,US,USA,840,56001,Albany,Wyoming,US,3/31/2020 16:13,41.65498705,-105.7235415,1,0,0,0,"Albany, Wyoming, US",38880,0.0000,2.5720
84051003,US,USA,840,51003,Albemarle,Virginia,US,3/31/2020 16:13,38.02080697,-78.55481085,21,0,0,0,"Albemarle, Virginia, US",109330,0.0000,19.2079
84028003,US,USA,840,28003,Alcorn,Mississippi,US,3/31/2020 16:13,34.88084463,-88.57996173,3,0,0,0,"Alcorn, Mississippi, US",36953,0.0000,8.1184
84037007,US,USA,840,37003,Alexander,North Carolina,US,3/31/2020 16:13,35.9223796,-81.17751948,2,0,0,0,"Alexander, North Carolina, US",24446,0.0000,8.1813
84051510,US,USA,840,51510,Alexandria,Virginia,US,3/31/2020 16:13,38.814003,-77.08183073,30,0,0,0,"Alexandria, Virginia, US",159428,0.0000,18.8173
84019005,US,USA,840,19005,Allamakee,Iowa,US,3/31/2020 16:13,43.28383218,-91.37860922,7,1,0,0,"Allamakee, Iowa, US",13687,14.2857,51.1434
84026005,US,USA,840,26005,Allegan,Michigan,US,3/31/2020 16:13,42.59147037,-85.89102866,2,0,0,0,"Allegan, Michigan, US",118081,0.0000,1.6938
84036003,US,USA,840,36003,Allegany,New York,US,3/31/2020 16:13,42.25748406,-78.02750466,9,1,0,0,"Allegany, New York, US",46091,11.1111,19.5266
84037005,US,USA,840,37005,Alleghany,North Carolina,US,3/31/2020 16:13,36.49360862,-81.12857041,2,0,0,0,"Alleghany, North Carolina, US",11137,0.0000,17.9582
