Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active
Afghanistan,,33.9391,67.71,22,0,1.0,21.0
Albania,,41.1533,20.1683,59,2,0.0,57.0
Algeria,,28.0339,1.6596,72,6,10.0,56.0
Andorra,,42.5063,1.5218,39,0,1.0,38.0
Antigua and Barbuda,,17.0608,-61.7964,1,0,0.0,1.0
Argentina,,-38.4161,-63.6167,79,2,3.0,74.0
Armenia,,40.0691,45.0382,102,0,1.0,101.0
Aruba,,12.5211,-69.9683,4,0,0.0,4.0
Australia,,-25.2744,133.7751,568,6,4.0,558.0
Austria,,47.5162,14.5501,1646,4,9.0,1633.0
Azerbaijan,,40.1431,47.5769,34,1,6.0,27.0
Azerbaijan,,40.1431,47.5769,34,1,6.0,27.0
Bahrain,,26.0667,50.5577,255,1,95.0,159.0
Bangladesh,,23.685,90.3563,14,1,3.0,10.0
Barbados,,13.1939,-59.5432,2,0,0.0,2.0
Belarus,,53.7098,27.9534,51,0,5.0,46.0
Belgium,,50.5039,4.4699,1486,14,31.0,1441.0
Benin,,9.3077,2.3158,2,0,0.0,2.0
Bhutan,,27.5142,90.4336,1,0,0.0,1.0
Bolivia,,-16.2902,-63.5887,12,0,0.0,12.0
Bosnia and Herzegovina,,43.9159,17.6791,39,0,2.0,37.0
Brazil,,-14.235,-51.9253,367,1,2.0,364.0
Brunei,,4.5353,114.7277,68,0,0.0,68.0
Bulgaria,,42.7339,25.4858,92,2,0.0,90.0
Burkina Faso,,12.2383,-1.5616,20,1,0.0,19.0
Cambodia,,12.5657,104.991,37,0,1.0,36.0
Cameroon,,3.8480000000000003,11.5021,10,0,0.0,10.0
Canada,,56.1304,-106.3468,715,9,0.0,0.0
Canada,,56.1304,-106.3468,715,9,0.0,0.0
Central African Republic,,6.6111,20.9394,1,0,0.0,1.0
Chile,,-35.6751,-71.543,238,0,0.0,238.0
China,,30.5928,114.3055,81117,3241,69759.0,8117.0
Colombia,,4.5709,-74.2973,93,0,1.0,92.0
Congo (Brazzaville),,-0.228,15.8277,1,0,0.0,1.0
Congo (Kinshasa),,-4.0383,21.7587,7,0,0.0,7.0
Costa Rica,,9.7489,-83.7534,50,0,0.0,50.0
Cote d'Ivoire,,7.54,-5.5471,6,0,1.0,5.0
Croatia,,45.1,15.2,87,0,5.0,82.0
Cruise Ship,,35.4498,139.6649,712,7,456.0,249.0
Cuba,,21.5218,-77.7812,10,0,0.0,10.0
Cyprus,,35.1264,33.4299,49,0,0.0,49.0
Czechia,,49.8175,15.472999999999999,522,0,3.0,519.0
Denmark,,56.2639,9.5018,1115,4,2.0,1109.0
Djibouti,,11.8251,42.5903,1,0,0.0,1.0
Dominican Republic,,18.7357,-70.1627,21,1,0.0,20.0
Ecuador,,-1.8312,-78.1834,155,2,0.0,153.0
Egypt,,26.8206,30.8025,196,6,26.0,164.0
Equatorial Guinea,,1.6508,10.2679,4,0,0.0,4.0
Estonia,,58.5953,25.0136,258,0,1.0,257.0
Eswatini,,-26.5225,31.4659,1,0,0.0,1.0
Ethiopia,,9.145,40.4897,6,0,0.0,6.0
Finland,,61.9241,25.7482,359,0,10.0,349.0
France,,46.2276,2.2137,9091,264,601.0,8226.0
Gabon,,-0.8037,11.6094,3,0,0.0,3.0
Gabon,,-0.8037,11.6094,3,0,0.0,3.0
Georgia,,42.3154,43.3569,38,0,1.0,37.0
Germany,,51.1657,10.4515,11973,28,86.0,11859.0
Ghana,,7.9465,-1.0232,7,0,0.0,7.0
Greece,,39.0742,21.8243,418,5,14.0,399.0
Greenland,,71.7069,-42.6043,2,0,0.0,2.0
Guadeloupe,,16.265,-61.551,27,0,0.0,27.0
Guatemala,,15.7835,-90.2308,8,1,0.0,7.0
Guinea,,9.9456,-9.6966,1,0,0.0,1.0
Guyana,,4.8604,-58.9302,4,1,0.0,3.0
Holy See,,41.9029,12.4534,1,0,0.0,1.0
Honduras,,15.2,-86.2419,9,0,0.0,9.0
Hungary,,47.1625,19.5033,58,1,2.0,55.0
Iceland,,64.9631,-19.0208,250,0,5.0,245.0
India,,20.5937,78.9629,168,3,14.0,151.0
Indonesia,,-0.7893,113.9213,227,19,11.0,197.0
Iran,,32.4279,53.688,17361,1135,5710.0,10516.0
Iraq,,33.2232,43.6793,164,12,41.0,111.0
Ireland,,53.1424,-7.6921,292,2,5.0,285.0
Israel,,31.0461,34.8516,433,0,11.0,422.0
Italy,,41.8719,12.5674,35713,2978,4025.0,28710.0
Jamaica,,18.1096,-77.2975,13,0,2.0,11.0
Japan,,36.2048,138.2529,899,29,144.0,726.0
Jordan,,30.5852,36.2384,52,0,1.0,51.0
Kazakhstan,,48.0196,66.9237,36,0,0.0,36.0
Kenya,,-0.0236,37.9062,7,0,0.0,7.0
"Korea, South",,35.9078,127.7669,8413,84,1540.0,6789.0
Kuwait,,29.3117,47.4818,142,0,15.0,127.0
Kyrgyzstan,,41.2044,74.7661,3,0,0.0,3.0
Latvia,,56.8796,24.6032,71,0,1.0,70.0
Lebanon,,33.8547,35.8623,133,4,4.0,125.0
Liberia,,6.4281,-9.4295,2,0,0.0,2.0
Liechtenstein,,47.166000000000004,9.5554,19,0,0.0,19.0
Lithuania,,55.1694,23.8813,33,0,1.0,32.0
