UID,iso2,iso3,code3,FIPS,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Hospitalized,Tested
84000001,US,USA,840,00001,Alabama,US,3/31/2020 13:56,32.3182,-86.9023,947,11,0,0,NA,4990
84000002,US,USA,840,00002,Alaska,US,3/31/2020 13:56,61.3707,-152.4044,119,3,0,0,6,3334
84000004,US,USA,840,00004,Arizona,US,3/31/2020 13:56,33.7298,-111.4312,1158,20,0,0,78,13872
84000005,US,USA,840,00005,Arkansas,US,3/31/2020 13:56,34.9697,-92.3731,508,7,0,0,48,3453
84000006,US,USA,840,00006,California,US,3/31/2020 13:56,36.1162,-119.6816,7429,149,0,0,1034,26257
84000008,US,USA,840,00008,Colorado,US,3/31/2020 13:56,39.0598,-105.3111,2627,51,0,0,274,13276
84000009,US,USA,840,00009,Connecticut,US,3/31/2020 13:56,41.5978,-72.7554,2571,36,0,0,404,11900
84000010,US,USA,840,00010,Delaware,US,3/31/2020 13:56,39.3185,-75.5071,264,7,0,0,33,268
84000011,US,USA,840,00011,District of Columbia,US,3/31/2020 13:56,38.8974,-77.0268,495,9,0,0,NA,2811
84000012,US,USA,840,00012,Florida,US,3/31/2020 13:56,27.7663,-81.6868,5704,71,0,0,594,43316
84000013,US,USA,840,00013,Georgia,US,3/31/2020 13:56,33.0406,-83.6431,3031,102,0,0,666,12564
84000015,US,USA,840,00015,Hawaii,US,3/31/2020 13:56,21.0943,-157.4983,204,0,0,0,12,7000
84000016,US,USA,840,00016,Idaho,US,3/31/2020 13:56,44.2405,-114.4788,431,8,0,0,36,4282
84000017,US,USA,840,00017,Illinois,US,3/31/2020 13:56,40.3495,-88.9861,5058,74,0,0,NA,27762
84000018,US,USA,840,00018,Indiana,US,3/31/2020 13:56,39.8494,-86.2583,1786,35,0,0,NA,9830
84000019,US,USA,840,00019,Iowa,US,3/31/2020 13:56,42.0115,-93.2105,424,6,0,0,68,5349
84000020,US,USA,840,00020,Kansas,US,3/31/2020 13:56,38.5266,-96.7265,374,8,0,0,55,4513
84000021,US,USA,840,00021,Kentucky,US,3/31/2020 13:56,37.6681,-84.6701,480,11,0,0,NA,5541
84000022,US,USA,840,00022,Louisiana,US,3/31/2020 13:56,31.1695,-91.8678,4025,185,0,0,1127,27871
84000023,US,USA,840,00023,Maine,US,3/31/2020 13:56,44.6939,-69.3819,275,3,0,0,NA,3647
84000024,US,USA,840,00024,Maryland,US,3/31/2020 13:56,39.0639,-76.8021,1413,15,0,0,277,13593
84000025,US,USA,840,00025,Massachusetts,US,3/31/2020 13:56,42.2302,-71.5301,5752,56,0,0,399,39066
84000026,US,USA,840,00026,Michigan,US,3/31/2020 13:56,43.3266,-84.5361,6498,185,0,0,NA,17379
84000027,US,USA,840,00027,Minnesota,US,3/31/2020 13:56,45.6945,-93.9002,576,10,0,0,75,17657
84000028,US,USA,840,00028,Mississippi,US,3/31/2020 13:56,32.7416,-89.6787,847,16,0,0,235,3318
84000029,US,USA,840,00029,Missouri,US,3/31/2020 13:56,38.4561,-92.2884,1110,14,0,0,NA,12385
84000030,US,USA,840,00030,Montana,US,3/31/2020 13:56,46.9219,-110.4544,177,5,0,0,8,4297
84000031,US,USA,840,00031,Nebraska,US,3/31/2020 13:56,41.1254,-98.2681,153,3,0,0,NA,2076
84000032,US,USA,840,00032,Nevada,US,3/31/2020 13:56,38.3135,-117.0554,1044,18,0,0,NA,9150
84000033,US,USA,840,00033,New Hampshire,US,3/31/2020 13:56,43.4525,-71.5639,314,3,0,0,33,4738
84000034,US,USA,840,00034,New Jersey,US,3/31/2020 13:56,40.2989,-74.521,16636,198,0,0,NA,35602
84000035,US,USA,840,00035,New Mexico,US,3/31/2020 13:56,34.8405,-106.2485,281,4,0,0,19,11006
84000036,US,USA,840,00036,New York,US,3/31/2020 13:56,42.1657,-74.9481,67384,1342,0,0,12075,172360
84000037,US,USA,840,00037,North Carolina,US,3/31/2020 13:56,35.6301,-79.8064,1379,8,0,0,91,18945
84000038,US,USA,840,00038,North Dakota,US,3/31/2020 13:56,47.5289,-99.784,109,3,0,0,17,3453
84000039,US,USA,840,00039,Ohio,US,3/31/2020 13:56,40.3888,-82.7649,1933,40,0,0,403,20665
84000040,US,USA,840,00040,Oklahoma,US,3/31/2020 13:56,35.5653,-96.9289,481,17,0,0,140,1634
84000041,US,USA,840,00041,Oregon,US,3/31/2020 13:56,44.572,-122.0709,606,16,0,0,129,11426
84000042,US,USA,840,00042,Pennsylvania,US,3/31/2020 13:56,40.5908,-77.2098,4194,50,0,0,682,33455
84000044,US,USA,840,00044,Rhode Island,US,3/31/2020 13:56,41.6809,-71.5118,408,4,0,0,35,2835
84000045,US,USA,840,00045,South Carolina,US,3/31/2020 13:56,33.8569,-80.945,925,18,0,0,129,3789
84000046,US,USA,840,00046,South Dakota,US,3/31/2020 13:56,44.2998,-99.4388,101,1,0,0,NA,3217
84000047,US,USA,840,00047,Tennessee,US,3/31/2020 13:56,35.7478,-86.6923,1937,14,0,0,133,20574
84000048,US,USA,840,00048,Texas,US,3/31/2020 13:56,31.0545,-97.5635,3339,48,0,0,NA,25760
84000049,US,USA,840,00049,Utah,US,3/31/2020 13:56,40.15,-111.8624,805,4,0,0,NA,13993
84000050,US,USA,840,00050,Vermont,US,3/31/2020 13:56,44.0459,-72.7107,256,12,0,0,18,3701
84000051,US,USA,840,00051,Virginia,US,3/31/2020 13:56,37.7693,-78.17,1020,15,0,0,112,10609
84000053,US,USA,840,00053,Washington,US,3/31/2020 13:56,47.4009,-121.4905,5212,220,0,0,254,59206
84000054,US,USA,840,00054,West Virginia,US,3/31/2020 13:56,38.4912,-80.9545,145,1,0,0,1,2818
84000055,US,USA,840,00055,Wisconsin,US,3/31/2020 13:56,44.2685,-89.6165,1285,24,0,0,NA,17662
84000056,US,USA,840,00056,Wyoming,US,3/31/2020 13:56,42.756,-107.3025,95,0,0,0,15,1640
16,AS,ASM,16,00060,American Samoa,US,3/31/2020 13:56,-14.271,-170.1322,0,0,0,0,NA,N/A
316,GU,GUM,316,00066,Guam,US,3/31/2020 13:56,13.4443,144.7937,69,2,0,0,15,390
580,MP,MNP,580,00069,Northern Mariana Islands,US,3/31/2020 13:56,15.0979,145.6739,0,0,0,0,NA,N/A
630,PR,PRI,630,00072,Puerto Rico,US,3/31/2020 13:56,18.2208,-66.5901,239,8,0,0,NA,968
850,VI,VIR,850,00078,Virgin Islands,US,3/31/2020 13:56,18.3358,-64.8963,0,0,0,0,NA,146
84088888,US,USA,840,88888,Diamond Princess,US,3/31/2020 13:56,,,49,0,0,0,,
84099999,US,USA,840,99999,Grand Princess,US,3/31/2020 13:56,,,103,3,0,0,,
,,,,,Alberta,Canada,3/31/2020 13:56,53.9333,-116.5765,690,8,0,0,,
,,,,,Anguilla,United Kingdom,3/31/2020 13:56,18.2206,-63.0686,2,0,0,2,,
,,,,,Anhui,China,3/31/2020 13:56,31.8257,117.2264,990,6,984,0,,
,,,,,Aruba,Netherlands,3/31/2020 13:56,12.5211,-69.9683,50,0,1,49,,
,,,,,Australian Capital Territory,Australia,3/31/2020 13:56,-35.4735,149.0124,80,1,3,76,,
,,,,,Beijing,China,3/31/2020 13:56,40.1824,116.4142,580,8,418,154,,
,,,,,Bermuda,United Kingdom,3/31/2020 13:56,32.3078,-64.7505,27,0,10,17,,
,,,,,British Columbia,Canada,3/31/2020 13:56,53.7267,-127.6476,970,19,0,0,,
,,,,,British Virgin Islands,United Kingdom,3/31/2020 13:56,18.4207,-64.64,3,0,0,3,,
,,,,,Cayman Islands,United Kingdom,3/31/2020 13:56,19.3133,-81.2546,12,1,0,11,,
,,,,,Channel Islands,United Kingdom,3/31/2020 13:56,49.3723,-2.3644,141,3,0,138,,
,,,,,Chongqing,China,3/31/2020 13:56,30.0572,107.874,579,6,570,3,,
,,,,,Curacao,Netherlands,3/31/2020 13:56,12.1696,-68.99,11,1,2,8,,
,,,,,Faroe Islands,Denmark,3/31/2020 13:56,61.8926,-6.9118,169,0,74,95,,
,,,,,French Guiana,France,3/31/2020 13:56,4,-53,43,0,6,37,,
,,,,,French Polynesia,France,3/31/2020 13:56,-17.6797,149.4068,36,0,0,36,,
,,,,,Fujian,China,3/31/2020 13:56,26.0789,117.9874,343,1,295,47,,
,,,,,Gansu,China,3/31/2020 13:56,37.8099,101.0583,138,2,125,11,,
,,,,,Gibraltar,United Kingdom,3/31/2020 13:56,36.1408,-5.3536,69,0,34,35,,
,,,,,Greenland,Denmark,3/31/2020 13:56,71.7069,-42.6043,10,0,2,8,,
,,,,,Guadeloupe,France,3/31/2020 13:56,16.265,-61.551,106,4,17,85,,
,,,,,Guangdong,China,3/31/2020 13:56,23.3417,113.4244,1494,8,1356,130,,
,,,,,Guangxi,China,3/31/2020 13:56,23.8298,108.7881,254,2,250,2,,
,,,,,Guizhou,China,3/31/2020 13:56,26.8154,106.8748,146,2,144,0,,
,,,,,Hainan,China,3/31/2020 13:56,19.1959,109.7453,168,6,168,-6,,
,,,,,Hebei,China,3/31/2020 13:56,39.549,116.1306,321,6,310,5,,
,,,,,Heilongjiang,China,3/31/2020 13:56,47.862,127.7615,484,13,469,2,,
,,,,,Henan,China,3/31/2020 13:56,33.882,113.614,1276,22,1251,3,,
,,,,,Hong Kong,China,3/31/2020 13:56,22.3,114.2,714,4,128,582,,
,,,,,Hubei,China,3/31/2020 13:56,30.9756,112.2707,67801,3187,63153,1461,,
,,,,,Hunan,China,3/31/2020 13:56,27.6104,111.7088,1018,4,1014,0,,
,,,,,Inner Mongolia,China,3/31/2020 13:56,44.0935,113.9448,107,1,74,32,,
,,,,,Isle of Man,United Kingdom,3/31/2020 13:56,54.2361,-4.5481,60,0,0,60,,
,,,,,Jiangsu,China,3/31/2020 13:56,32.9711,119.455,646,0,631,15,,
,,,,,Jiangxi,China,3/31/2020 13:56,27.614,115.7221,937,1,935,1,,
,,,,,Jilin,China,3/31/2020 13:56,43.6661,126.1923,98,1,92,5,,
,,,,,Liaoning,China,3/31/2020 13:56,41.2956,122.6085,139,2,124,13,,
,,,,,Macau,China,3/31/2020 13:56,22.1667,113.55,39,0,10,29,,
,,,,,Manitoba,Canada,3/31/2020 13:56,53.7609,-98.8139,96,1,0,0,,
,,,,,Martinique,France,3/31/2020 13:56,14.6415,-61.0242,119,2,27,90,,
,,,,,Mayotte,France,3/31/2020 13:56,-12.8275,45.166244,94,1,10,83,,
,,,,,Montserrat,United Kingdom,3/31/2020 13:56,16.742498,-62.187366,5,0,0,5,,
,,,,,New Brunswick,Canada,3/31/2020 13:56,46.5653,-66.4619,68,0,0,0,,
,,,,,New Caledonia,France,3/31/2020 13:56,-20.904305,165.618042,16,0,0,16,,
,,,,,New South Wales,Australia,3/31/2020 13:56,-33.8688,151.2093,2032,8,4,2020,,
,,,,,Newfoundland and Labrador,Canada,3/31/2020 13:56,53.1355,-57.6604,148,1,0,0,,
,,,,,Ningxia,China,3/31/2020 13:56,37.2692,106.1655,75,0,75,0,,
,,,,,Northern Territory,Australia,3/31/2020 13:56,-12.4634,130.8456,17,0,0,17,,
,,,,,Northwest Territories,Canada,3/31/2020 13:56,64.8255,-124.8457,1,0,0,0,,
,,,,,Nova Scotia,Canada,3/31/2020 13:56,44.682,-63.7443,127,0,0,0,,
,,,,,Ontario,Canada,3/31/2020 13:56,51.2538,-85.3232,1706,32,0,0,,
,,,,,Prince Edward Island,Canada,3/31/2020 13:56,46.5107,-63.4168,18,0,0,0,,
,,,,,Qinghai,China,3/31/2020 13:56,35.7452,95.9956,18,0,18,0,,
,,,,,Quebec,Canada,3/31/2020 13:56,52.9399,-73.5491,3430,25,0,0,,
,,,,,Queensland,Australia,3/31/2020 13:56,-27.4698,153.0251,743,2,8,733,,
,,,,,Recovered,Canada,3/31/2020 13:56,,,0,0,1020,0,,
,,,,,Recovered,US,3/31/2020 13:56,,,0,0,5945,0,,
,,,,,Reunion,France,3/31/2020 13:56,-21.1151,55.5364,224,0,1,223,,
,,,,,Saint Barthelemy,France,3/31/2020 13:56,17.9,-62.8333,6,0,1,5,,
,,,,,Saskatchewan,Canada,3/31/2020 13:56,52.9399,-106.4509,176,2,0,0,,
,,,,,Shaanxi,China,3/31/2020 13:56,35.1917,108.8701,253,3,242,8,,
,,,,,Shandong,China,3/31/2020 13:56,36.3427,118.1498,774,7,753,14,,
,,,,,Shanghai,China,3/31/2020 13:56,31.202,121.4491,509,5,341,163,,
,,,,,Shanxi,China,3/31/2020 13:56,37.5777,112.2922,136,0,133,3,,
,,,,,Sichuan,China,3/31/2020 13:56,30.6171,102.7103,550,3,536,11,,
,,,,,Sint Maarten,Netherlands,3/31/2020 13:56,18.0425,-63.0548,6,0,0,6,,
,,,,,South Australia,Australia,3/31/2020 13:56,-34.9285,138.6007,337,0,6,331,,
,,,,,St Martin,France,3/31/2020 13:56,18.0708,-63.0501,15,1,2,12,,
,,,,,Tasmania,Australia,3/31/2020 13:56,-42.8821,147.3272,69,1,5,63,,
