Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,Delta_Confirmed,Delta_Recovered,Incident_Rate,People_Tested,People_Hospitalized,Province_State,FIPS,UID,iso3
Afghanistan,1/22/2020,0,0,,,0,,,,,,,4,AFG
Afghanistan,1/23/2020,0,0,,,0,,,,,,,4,AFG
Afghanistan,1/24/2020,0,0,,,0,,,,,,,4,AFG
Afghanistan,1/25/2020,0,0,,,0,,,,,,,4,AFG
Afghanistan,1/26/2020,0,0,,,0,,,,,,,4,AFG
Afghanistan,1/27/2020,0,0,,,0,,,,,,,4,AFG
Afghanistan,1/28/2020,0,0,,,0,,,,,,,4,AFG
Afghanistan,1/29/2020,0,0,,,0,,,,,,,4,AFG
Afghanistan,1/30/2020,0,0,,,0,,,,,,,4,AFG
Afghanistan,1/31/2020,0,0,,,0,,,,,,,4,AFG
Afghanistan,2/1/2020,0,0,,,0,,,,,,,4,AFG
Afghanistan,2/2/2020,0,0,,,0,,,,,,,4,AFG
Afghanistan,2/3/2020,0,0,,,0,,,,,,,4,AFG
Afghanistan,2/4/2020,0,0,,,0,,,,,,,4,AFG
Afghanistan,2/5/2020,0,0,,,0,,,,,,,4,AFG
Afghanistan,2/6/2020,0,0,,,0,,,,,,,4,AFG
Afghanistan,2/7/2020,0,0,,,0,,,,,,,4,AFG
Afghanistan,2/8/2020,0,0,,,0,,,,,,,4,AFG
Afghanistan,2/9/2020,0,0,,,0,,,,,,,4,AFG
Afghanistan,2/10/2020,0,0,,,0,,,,,,,4,AFG
Afghanistan,2/11/2020,0,0,,,0,,,,,,,4,AFG
Afghanistan,2/12/2020,0,0,,,0,,,,,,,4,AFG
Afghanistan,2/13/2020,0,0,,,0,,,,,,,4,AFG
Afghanistan,2/14/2020,0,0,,,0,,,,,,,4,AFG
Afghanistan,2/15/2020,0,0,,,0,,,,,,,4,AFG
Afghanistan,2/16/2020,0,0,,,0,,,,,,,4,AFG
Afghanistan,2/17/2020,0,0,,,0,,,,,,,4,AFG
Afghanistan,2/18/2020,0,0,,,0,,,,,,,4,AFG
Afghanistan,2/19/2020,0,0,,,0,,,,,,,4,AFG
Afghanistan,2/20/2020,0,0,,,0,,,,,,,4,AFG
Afghanistan,2/21/2020,0,0,,,0,,,,,,,4,AFG
Afghanistan,2/22/2020,0,0,,,0,,,,,,,4,AFG
Afghanistan,2/23/2020,0,0,,,0,,,,,,,4,AFG
Afghanistan,2/24/2020,1,0,,,1,,,,,,,4,AFG
Afghanistan,2/25/2020,1,0,,,0,,,,,,,4,AFG
Afghanistan,2/26/2020,1,0,,,0,,,,,,,4,AFG
Afghanistan,2/27/2020,1,0,,,0,,,,,,,4,AFG
Afghanistan,2/28/2020,1,0,,,0,,,,,,,4,AFG
Afghanistan,2/29/2020,1,0,,,0,,,,,,,4,AFG
Afghanistan,3/1/2020,1,0,,,0,,,,,,,4,AFG
Afghanistan,3/2/2020,1,0,,,0,,,,,,,4,AFG
Afghanistan,3/3/2020,1,0,,,0,,,,,,,4,AFG
Afghanistan,3/4/2020,1,0,,,0,,,,,,,4,AFG
Afghanistan,3/5/2020,1,0,,,0,,,,,,,4,AFG
Afghanistan,3/6/2020,1,0,,,0,,,,,,,4,AFG
Afghanistan,3/7/2020,1,0,,,0,,,,,,,4,AFG
Afghanistan,3/8/2020,4,0,,,3,,,,,,,4,AFG
Afghanistan,3/9/2020,4,0,,,0,,,,,,,4,AFG
Afghanistan,3/10/2020,5,0,,,1,,,,,,,4,AFG
Afghanistan,3/11/2020,7,0,,,2,,,,,,,4,AFG
Afghanistan,3/12/2020,7,0,,,0,,,,,,,4,AFG
Afghanistan,3/13/2020,7,0,,,0,,,,,,,4,AFG
Afghanistan,3/14/2020,11,0,,,4,,,,,,,4,AFG
Afghanistan,3/15/2020,16,0,,,5,,,,,,,4,AFG
Afghanistan,3/16/2020,21,0,,,5,,,,,,,4,AFG
Afghanistan,3/17/2020,22,0,,,1,,,,,,,4,AFG
Afghanistan,3/18/2020,22,0,,,0,,,,,,,4,AFG
Afghanistan,3/19/2020,22,0,,,0,,,,,,,4,AFG
Afghanistan,3/20/2020,24,0,,,2,,,,,,,4,AFG
Afghanistan,3/21/2020,24,0,,,0,,,,,,,4,AFG
Afghanistan,3/22/2020,40,1,,,16,,,,,,,4,AFG
Afghanistan,3/23/2020,40,1,,,0,,,,,,,4,AFG
Afghanistan,3/24/2020,74,1,,,34,,,,,,,4,AFG
Afghanistan,3/25/2020,84,2,,,10,,,,,,,4,AFG
Afghanistan,3/26/2020,94,4,,,10,,,,,,,4,AFG
Afghanistan,3/27/2020,110,4,,,16,,,,,,,4,AFG
Afghanistan,3/28/2020,110,4,,,0,,,,,,,4,AFG
Afghanistan,3/29/2020,120,4,,,10,,,,,,,4,AFG
Afghanistan,3/30/2020,170,4,,,50,,,,,,,4,AFG
Afghanistan,3/31/2020,174,4,,,4,,,,,,,4,AFG
Afghanistan,4/1/2020,237,4,,,63,,,,,,,4,AFG
Afghanistan,4/2/2020,273,6,,,36,,,,,,,4,AFG
Albania,1/22/2020,0,0,,,0,,,,,,,8,ALB
Albania,1/23/2020,0,0,,,0,,,,,,,8,ALB
Albania,1/24/2020,0,0,,,0,,,,,,,8,ALB
Albania,1/25/2020,0,0,,,0,,,,,,,8,ALB
Albania,1/26/2020,0,0,,,0,,,,,,,8,ALB
Albania,1/27/2020,0,0,,,0,,,,,,,8,ALB
