Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-02-04T09:43:02,30.9756,112.2707,13522,414,397
Zhejiang,Mainland China,2020-02-04T13:03:07,29.1832,120.0934,829,0,62
Guangdong,Mainland China,2020-02-04T13:03:07,23.3417,113.4244,813,0,30
Henan,Mainland China,2020-02-04T11:53:02,33.8820,113.6140,675,2,27
Hunan,Mainland China,2020-02-04T14:03:03,27.6104,111.7088,593,0,31
Anhui,Mainland China,2020-02-04T05:33:01,31.8257,117.2264,480,0,20
Jiangxi,Mainland China,2020-02-04T14:43:02,27.6140,115.7221,476,0,20
Chongqing,Mainland China,2020-02-04T08:23:02,30.0572,107.8740,344,2,9
Jiangsu,Mainland China,2020-02-04T11:53:02,32.9711,119.4550,308,0,12
Sichuan,Mainland China,2020-02-04T01:43:02,30.6171,102.7103,282,1,14
Shandong,Mainland China,2020-02-04T12:03:04,36.3427,118.1498,275,0,11
Beijing,Mainland China,2020-02-04T08:33:01,40.1824,116.4142,228,1,23
Shanghai,Mainland China,2020-02-04T06:33:02,31.2020,121.4491,219,1,12
Fujian,Mainland China,2020-02-04T12:13:11,26.0789,117.9874,194,0,3
Heilongjiang,Mainland China,2020-02-04T07:43:01,47.8620,127.7615,155,2,4
Shaanxi,Mainland China,2020-02-04T12:33:02,35.1917,108.8701,142,0,2
Guangxi,Mainland China,2020-02-04T05:53:01,23.8298,108.7881,139,0,10
Hebei,Mainland China,2020-02-04T08:53:01,39.5490,116.1306,126,1,4
Yunnan,Mainland China,2020-02-04T07:03:13,24.9740,101.4870,119,0,5
Liaoning,Mainland China,2020-02-04T14:13:08,41.2956,122.6085,81,0,2
Hainan,Mainland China,2020-02-04T11:33:03,19.1959,109.7453,80,1,5
Shanxi,Mainland China,2020-02-04T12:33:02,37.5777,112.2922,74,0,4
Tianjin,Mainland China,2020-02-04T13:33:02,39.3054,117.3230,67,0,2
Guizhou,Mainland China,2020-02-04T10:43:02,26.8154,106.8748,58,0,2
Gansu,Mainland China,2020-02-04T15:43:02,37.8099,101.0583,57,0,4
Jilin,Mainland China,2020-02-04T00:23:05,43.6661,126.1923,42,0,1
Inner Mongolia,Mainland China,2020-02-04T03:03:07,44.0935,113.9448,35,0,1
Ningxia,Mainland China,2020-02-04T02:13:18,37.2692,106.1655,34,0,1
Xinjiang,Mainland China,2020-02-04T01:33:01,41.1129,85.2401,29,0,0
,Thailand,2020-02-04T15:33:03,15.0000,101.0000,25,0,5
,Singapore,2020-02-04T15:33:03,1.2833,103.8333,24,0,0
,Japan,2020-02-04T16:43:03,36.0000,138.0000,22,0,1
Hong Kong,Hong Kong,2020-02-04T09:03:02,22.3000,114.2000,17,1,0
,South Korea,2020-02-04T15:33:03,36.0000,128.0000,16,0,0
Qinghai,Mainland China,2020-02-04T01:33:01,35.7452,95.9956,15,0,0
,Germany,2020-02-03T20:53:02,51.0000,9.0000,12,0,0
Taiwan,Taiwan,2020-02-04T14:53:02,23.7000,121.0000,11,0,0
Macau,Macau,2020-02-04T04:43:02,22.1667,113.5500,10,0,0
,Malaysia,2020-02-04T07:33:02,2.5000,112.5000,10,0,0
,Vietnam,2020-02-03T21:43:02,16.0000,108.0000,8,0,1
,France,2020-02-01T01:52:40,47.0000,2.0000,6,0,0
,United Arab Emirates,2020-02-02T05:43:01,24.0000,54.0000,5,0,0
New South Wales,Australia,2020-02-01T18:12:49,-33.8688,151.2093,4,0,2
Victoria,Australia,2020-02-01T18:12:49,-37.8136,144.9631,4,0,0
Queensland,Australia,2020-02-04T16:53:03,-27.4698,153.0251,3,0,0
,India,2020-02-03T21:43:02,21.0000,78.0000,3,0,0
South Australia,Australia,2020-02-02T22:33:07,-34.9285,138.6007,2,0,0
"Toronto, ON",Canada,2020-02-04T00:13:06,43.6532,-79.3832,2,0,0
,Italy,2020-01-31T08:15:53,43.0000,12.0000,2,0,0
,Philippines,2020-02-02T03:33:07,13.0000,122.0000,2,1,0
,Russia,2020-01-31T16:13:45,60.0000,90.0000,2,0,0
,UK,2020-02-01T01:52:40,55.0000,-3.0000,2,0,0
"Chicago, IL",US,2020-02-01T19:43:03,41.8781,-87.6298,2,0,0
"San Benito, CA",US,2020-02-03T03:53:02,36.5761,-120.9876,2,0,0
"Santa Clara, CA",US,2020-02-03T00:43:02,37.3541,-121.9552,2,0,0
,Belgium,2020-02-04T15:43:02,50.8333,4.0000,1,0,0
,Cambodia,2020-01-31T08:15:53,11.5500,104.9167,1,0,0
British Columbia,Canada,2020-02-01T18:12:49,49.2827,-123.1207,1,0,0
"London, ON",Canada,2020-02-04T00:03:11,42.9849,-81.2453,1,0,0
,Finland,2020-01-31T08:15:53,64.0000,26.0000,1,0,0
Tibet,Mainland China,2020-02-01T01:52:40,31.6927,88.0924,1,0,0
,Nepal,2020-01-31T08:15:53,28.1667,84.2500,1,0,0
,Spain,2020-02-01T23:43:02,28.2916,-16.6291,1,0,0
,Sri Lanka,2020-01-31T08:15:53,7.0000,81.0000,1,0,0
,Sweden,2020-02-01T02:13:26,63.0000,16.0000,1,0,0
"Boston, MA",US,2020-02-01T19:43:03,42.3601,-71.0589,1,0,0
"Los Angeles, CA",US,2020-02-01T19:53:03,34.0522,-118.2437,1,0,0
"Orange, CA",US,2020-02-01T19:53:03,33.7879,-117.8531,1,0,0
"Seattle, WA",US,2020-02-01T19:43:03,47.6062,-122.3321,1,0,0
"Tempe, AZ",US,2020-02-01T19:43:03,33.4255,-111.9400,1,0,0
