Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
Australia,2020-04-08 01:01:21,-25.0,133.0,5895,45,1080,4770,23.154239837861404,-999,-999,0.7633587786259542,36,AUS
Austria,2020-04-08 00:56:36,47.5162,14.5501,12639,243,4046,8350,140.33354059335585,-999,-999,1.9226204604794683,40,AUT
Canada,2020-04-08 01:01:07,60.001000000000005,-95.001,17872,377,4025,13470,47.21085346667194,-999,-999,2.1094449418084156,124,CAN
China,2020-04-07 09:08:12,30.5928,114.3055,82718,3335,77410,1973,5.888758729208457,-999,-999,4.031770594066588,156,CHN
Denmark,2020-04-08 00:56:36,56.0,10.0,5266,203,1621,3442,90.91532185595014,-999,-999,3.854918344094189,208,DNK
Finland,2020-04-08 00:56:36,61.9241,25.7482,2308,34,300,1974,41.65525117863786,-999,-999,1.4731369150779896,246,FIN
France,2020-04-08 00:56:36,46.2276,2.2137,110070,10343,19523,80204,168.62889191560583,-999,-999,9.396747524302716,250,FRA
Germany,2020-04-08 00:56:36,51.1657,10.4515,107663,2016,36081,69566,128.50075273968062,-999,-999,1.8725095901098798,276,DEU
Iceland,2020-04-08 00:56:36,64.9631,-19.0208,1586,6,559,1021,464.76190476190476,-999,-999,0.37831021437578816,352,ISL
Ireland,2020-04-08 00:56:36,53.1424,-7.6921,5709,210,25,5474,115.61838520667925,-999,-999,3.6784025223331582,372,IRL
Italy,2020-04-08 00:56:36,41.8719,12.5674,135586,17127,24392,94067,224.25058005192963,-999,-999,12.631835145221483,380,ITA
Netherlands,2020-04-08 00:56:36,52.3167,5.55,19709,2108,272,17329,115.02273754815691,-999,-999,10.695621289766096,528,NLD
Norway,2020-04-08 00:56:36,60.472,8.4689,6086,89,32,5965,112.26209787351311,-999,-999,1.462372658560631,578,NOR
Russia,2020-04-08 00:56:36,61.523999999999994,105.3188,7497,58,494,6945,5.137237633935124,-999,-999,0.7736427904495131,643,RUS
Sweden,2020-04-08 00:56:36,60.1282,18.6435,7693,591,205,6897,76.17382246439594,-999,-999,7.6823085922267,752,SWE
Switzerland,2020-04-08 00:56:36,46.8182,8.2275,22253,821,8704,12728,257.1228447055664,-999,-999,3.689390194580506,756,CHE
United Kingdom,2020-04-08 00:56:36,55.0,-3.0,55949,6171,325,49453,82.41610450366176,-999,-999,11.029687751344975,826,GBR
US,2020-04-08 00:56:53,40.0,-100.0,398323,12884,21987,363452,120.89947304258749,-999,-999,3.234560896558823,840,USA
Afghanistan,2020-04-08 00:56:36,33.93911,67.709953,423,14,18,391,1.0866119365323068,-999,-999,3.309692671394799,4,AFG
Albania,2020-04-08 00:56:36,41.1533,20.1683,383,22,131,230,13.308777538397386,-999,-999,5.7441253263707575,8,ALB
Algeria,2020-04-08 00:56:36,28.0339,1.6596,1468,193,113,1162,3.3476968837434495,-999,-999,13.147138964577657,12,DZA
Andorra,2020-04-08 00:56:36,42.5063,1.5218,545,22,39,484,705.36465411247,-999,-999,4.036697247706422,20,AND
Angola,2020-04-08 00:56:36,-11.2027,17.8739,17,2,2,13,0.05172476534299544,-999,-999,11.764705882352942,24,AGO
Antigua and Barbuda,2020-04-08 00:56:36,17.0608,-61.7964,19,1,0,18,19.402009639735315,-999,-999,5.2631578947368425,28,ATG
Argentina,2020-04-08 00:56:36,-38.4161,-63.6167,1715,60,338,1317,3.794602314282593,-999,-999,3.498542274052478,32,ARG
Armenia,2020-04-08 00:56:36,40.0691,45.0382,853,8,87,758,28.786116789966638,-999,-999,0.9378663540445487,51,ARM
Azerbaijan,2020-04-08 00:56:36,40.1431,47.5769,717,8,44,665,7.0715812677066925,-999,-999,1.1157601115760112,31,AZE
Bahamas,2020-04-08 00:56:36,25.025885,-78.035889,33,6,5,22,8.391651070062657,-999,-999,18.181818181818183,44,BHS
Bahrain,2020-04-08 00:56:36,26.0275,50.55,811,5,458,348,47.661501084578305,-999,-999,0.6165228113440198,48,BHR
Bangladesh,2020-04-08 00:56:36,23.685,90.3563,164,17,33,114,0.0995814041030198,-999,-999,10.365853658536585,50,BGD
Barbados,2020-04-08 00:56:36,13.1939,-59.5432,63,3,6,54,21.922880179280444,-999,-999,4.761904761904762,52,BRB
Belarus,2020-04-08 00:56:36,53.7098,27.9534,861,13,54,794,9.111765808358083,-999,-999,1.5098722415795587,112,BLR
Belgium,2020-04-08 00:56:36,50.8333,4.469936,22194,2035,4157,16002,191.499010838668,-999,-999,9.16914481391367,56,BEL
Belize,2020-04-08 00:56:36,17.1899,-88.4976,7,1,0,6,1.760470397690263,-999,-999,14.285714285714286,84,BLZ
Benin,2020-04-08 00:56:36,9.3077,2.3158,26,1,5,20,0.21446486314914595,-999,-999,3.8461538461538463,204,BEN
Bhutan,2020-04-08 00:56:36,27.5142,90.4336,5,0,2,3,0.6479940695582754,-999,-999,0.0,64,BTN
Bolivia,2020-04-08 00:56:36,-16.2902,-63.5887,194,14,2,178,1.661950809854066,-999,-999,7.216494845360825,68,BOL
Bosnia and Herzegovina,2020-04-08 00:56:36,43.9159,17.6791,764,33,68,663,23.286896700972168,-999,-999,4.319371727748691,70,BIH
Botswana,2020-04-08 00:56:36,-22.3285,24.6849,6,1,0,5,0.2551427204592569,-999,-999,16.666666666666668,72,BWA
Brazil,2020-04-08 00:56:36,-14.235,-51.9253,14034,686,127,13221,6.6023894524471505,-999,-999,4.888128829984324,76,BRA
Brunei,2020-04-08 00:56:36,4.5353,114.7277,135,1,85,49,30.85834192414334,-999,-999,0.7407407407407407,96,BRN
Bulgaria,2020-04-08 00:56:36,42.7339,25.4858,577,23,42,512,8.304016222334637,-999,-999,3.9861351819757367,100,BGR
Burkina Faso,2020-04-08 00:56:36,12.2383,-1.5616,384,19,127,238,1.8370324501257649,-999,-999,4.947916666666667,854,BFA
Burma,2020-04-08 00:56:36,21.9162,95.956,22,1,0,21,0.04043389688260904,-999,-999,4.545454545454546,104,MMR
Burundi,2020-04-08 00:56:36,-3.3731,29.9189,3,0,0,3,0.025229629576055602,-999,-999,0.0,108,BDI
Cabo Verde,2020-04-08 00:56:36,16.5388,-23.0418,7,1,1,5,1.2590199788484644,-999,-999,14.285714285714286,132,CPV
Cambodia,2020-04-08 00:56:36,11.55,104.9167,115,0,58,57,0.6878413749267225,-999,-999,0.0,116,KHM
Cameroon,2020-04-08 00:56:36,3.848,11.5021,685,9,60,616,2.5804396496569106,-999,-999,1.313868613138686,120,CMR
Central African Republic,2020-04-08 00:56:36,6.6111,20.9394,8,0,0,8,0.16563956334098312,-999,-999,0.0,140,CAF
Chad,2020-04-08 00:56:36,15.4542,18.7322,10,0,2,8,0.060879616706803585,-999,-999,0.0,148,TCD
Chile,2020-04-08 00:56:36,-35.6751,-71.543,5116,43,898,4175,26.762628510705234,-999,-999,0.8405003909304144,152,CHL
Colombia,2020-04-08 00:56:36,4.5709,-74.2973,1780,50,100,1630,3.4982293849538872,-999,-999,2.808988764044944,170,COL
Congo (Brazzaville),2020-04-08 00:56:36,-4.2634,15.2832,45,5,2,38,0.815499270399986,-999,-999,11.11111111111111,178,COG
Congo (Kinshasa),2020-04-08 00:56:36,-4.322447,15.307045,180,18,9,153,0.20097943082714514,-999,-999,10.0,180,COD
Costa Rica,2020-04-08 00:56:36,9.7489,-83.7534,483,2,24,457,9.48153103758573,-999,-999,0.4140786749482402,188,CRI
Cote d'Ivoire,2020-04-08 00:56:36,7.54,-5.5471,349,3,41,305,1.3230584638305576,-999,-999,0.8595988538681948,384,CIV
Croatia,2020-04-08 00:56:36,45.1,15.2,1282,18,167,1097,31.228168294980986,-999,-999,1.4040561622464898,191,HRV
Cuba,2020-04-08 00:56:36,21.521757,-77.78116700000002,396,11,27,358,3.4961898593542857,-999,-999,2.7777777777777777,192,CUB
Cyprus,2020-04-08 00:56:36,35.1264,33.4299,494,9,47,438,40.91568304757235,-999,-999,1.8218623481781377,196,CYP
Czechia,2020-04-08 00:56:36,49.8175,15.473,5017,88,172,4757,46.84852397734911,-999,-999,1.7540362766593582,203,CZE
Diamond Princess,2020-04-08 00:56:36,,,712,11,619,82,,-999,-999,1.5449438202247192,9999,
Djibouti,2020-04-08 00:56:36,11.8251,42.5903,90,0,9,81,9.109293301025707,-999,-999,0.0,262,DJI
Dominica,2020-04-08 00:56:36,15.415,-61.371,15,0,1,14,20.83593782556153,-999,-999,0.0,212,DMA
Dominican Republic,2020-04-08 00:56:36,18.7357,-70.1627,1956,98,36,1822,18.03113301887627,-999,-999,5.010224948875256,214,DOM
Ecuador,2020-04-08 00:56:36,-1.8312,-78.1834,3995,220,140,3635,22.64346434235331,-999,-999,5.506883604505632,218,ECU
Egypt,2020-04-08 00:56:36,26.820553000000004,30.802498,1450,94,276,1080,1.4169232999776233,-999,-999,6.482758620689655,818,EGY
El Salvador,2020-04-08 00:56:36,13.7942,-88.8965,78,4,5,69,1.2025529273607154,-999,-999,5.128205128205129,222,SLV
Equatorial Guinea,2020-04-08 00:56:36,1.6508,10.2679,16,0,3,13,1.1404255925758293,-999,-999,0.0,226,GNQ
Eritrea,2020-04-08 00:56:36,15.1794,39.7823,31,0,0,31,0.8741192191464818,-999,-999,0.0,232,ERI
Estonia,2020-04-08 00:56:36,58.5953,25.0136,1149,21,69,1059,86.61637539491866,-999,-999,1.8276762402088773,233,EST
Eswatini,2020-04-08 00:56:36,-26.5225,31.4659,10,0,4,6,0.8619471040301199,-999,-999,0.0,748,SWZ
Ethiopia,2020-04-08 00:56:36,9.145,40.4897,52,2,4,46,0.04523171481181132,-999,-999,3.8461538461538463,231,ETH
Fiji,2020-04-08 00:56:36,-17.7134,178.065,15,0,0,15,1.673277973861167,-999,-999,0.0,242,FJI
Gabon,2020-04-08 00:56:36,-0.8037,11.6094,30,1,1,28,1.347873594617132,-999,-999,3.3333333333333335,266,GAB
Gambia,2020-04-08 00:56:36,13.4432,-15.3101,4,1,2,1,0.1655174240192265,-999,-999,25.0,270,GMB
Georgia,2020-04-08 00:56:36,42.3154,43.3569,196,3,46,147,4.913296608947966,-999,-999,1.530612244897959,268,GEO
Ghana,2020-04-08 00:56:36,7.9465,-1.0232,287,5,31,251,0.9236330833784825,-999,-999,1.7421602787456445,288,GHA
Greece,2020-04-08 00:56:36,39.0742,21.8243,1832,81,269,1482,17.576419046391003,-999,-999,4.421397379912664,300,GRC
Grenada,2020-04-08 00:56:36,12.1165,-61.679,12,0,0,12,10.664865489384015,-999,-999,0.0,308,GRD
Guatemala,2020-04-08 00:56:36,15.7835,-90.2308,77,3,17,57,0.429793821205882,-999,-999,3.896103896103896,320,GTM
Guinea,2020-04-08 00:56:36,9.9456,-9.6966,144,0,5,139,1.0964918960111452,-999,-999,0.0,324,GIN
Guinea-Bissau,2020-04-08 00:56:36,11.8037,-15.1804,33,0,0,33,1.6768309723891996,-999,-999,0.0,624,GNB
Guyana,2020-04-08 00:56:36,4.860416000000002,-58.93018000000001,33,5,8,20,4.195489467414396,-999,-999,15.151515151515152,328,GUY
Haiti,2020-04-08 00:56:36,18.9712,-72.2852,25,1,0,24,0.21924952990708294,-999,-999,4.0,332,HTI
Holy See,2020-04-08 00:56:36,41.9029,12.4534,7,0,0,7,865.2657601977751,-999,-999,0.0,336,VAT
Honduras,2020-04-08 00:56:36,15.2,-86.2419,305,22,6,277,3.0793747718233777,-999,-999,7.213114754098361,340,HND
Hungary,2020-04-08 00:56:36,47.1625,19.5033,817,47,71,699,8.457250513697744,-999,-999,5.752753977968176,348,HUN
India,2020-04-08 00:56:36,20.593684,78.96288,5311,150,421,4740,0.3848538495767171,-999,-999,2.824326868762945,356,IND
Indonesia,2020-04-08 00:56:36,-0.7893,113.9213,2738,221,204,2313,1.0010104392410044,-999,-999,8.071585098612125,360,IDN
Iran,2020-04-08 00:56:36,32.427908,53.68804599999999,62589,3872,27039,31678,74.51696572687473,-999,-999,6.186390579814344,364,IRN
Iraq,2020-04-08 00:56:36,33.223191,43.679291,1122,65,373,684,2.789483289988194,-999,-999,5.793226381461675,368,IRQ
Israel,2020-04-08 00:56:36,31.046051,34.851612,9248,65,770,8413,106.84485233216503,-999,-999,0.7028546712802768,376,ISR
Jamaica,2020-04-08 00:56:36,18.1096,-77.2975,63,3,9,51,2.1275438924124694,-999,-999,4.761904761904762,388,JAM
Japan,2020-04-08 00:56:36,36.204824,138.252924,3906,92,592,3222,3.0883217808012935,-999,-999,2.355350742447517,392,JPN
Jordan,2020-04-08 00:56:36,31.24,36.51,353,6,138,209,3.45971926289358,-999,-999,1.6997167138810199,400,JOR
Kazakhstan,2020-04-08 00:56:36,48.0196,66.9237,697,6,51,640,3.7120459940073625,-999,-999,0.860832137733142,398,KAZ
Kenya,2020-04-08 00:56:36,-0.0236,37.9062,172,6,7,159,0.3198732409296409,-999,-999,3.488372093023256,404,KEN
"Korea, South",2020-04-08 00:56:36,35.90775700000001,127.766922,10331,192,6694,3445,20.150506396795908,-999,-999,1.8584841738457072,410,KOR
Kosovo,2020-04-08 00:56:36,42.602636,20.902977,170,4,24,142,9.390366367905717,-999,-999,2.3529411764705883,383,XKS
Kuwait,2020-04-08 00:56:36,29.31166,47.481766,743,1,105,637,17.398174432738728,-999,-999,0.13458950201884254,414,KWT
Kyrgyzstan,2020-04-08 00:56:36,41.20438,74.766098,228,4,33,191,3.4946861610887847,-999,-999,1.7543859649122806,417,KGZ
Laos,2020-04-08 00:56:36,19.85627,102.495496,14,0,0,14,0.1924251562354822,-999,-999,0.0,418,LAO
Latvia,2020-04-08 00:56:36,56.8796,24.6032,548,2,16,530,29.05309187457123,-999,-999,0.36496350364963503,428,LVA
Lebanon,2020-04-08 00:56:36,33.8547,35.8623,548,19,62,467,8.028784069954737,-999,-999,3.4671532846715327,422,LBN
Liberia,2020-04-08 00:56:36,6.4280550000000005,-9.429499,14,3,3,8,0.27680692143843905,-999,-999,21.428571428571427,430,LBR
Libya,2020-04-08 00:56:36,26.3351,17.228331,20,1,1,18,0.29106628787299965,-999,-999,5.0,434,LBY
Liechtenstein,2020-04-08 00:56:36,47.14,9.55,78,1,55,22,204.5257886042426,-999,-999,1.2820512820512822,438,LIE
Lithuania,2020-04-08 00:56:36,55.1694,23.8813,880,15,8,857,32.32571389318776,-999,-999,1.7045454545454546,440,LTU
Luxembourg,2020-04-08 00:56:36,49.8153,6.1296,2970,44,500,2426,474.4590846933429,-999,-999,1.4814814814814814,442,LUX
MS Zaandam,2020-04-08 00:56:36,,,9,2,0,7,,-999,-999,22.22222222222222,8888,
Madagascar,2020-04-08 00:56:36,-18.766947,46.869107,88,0,7,81,0.31779256660796773,-999,-999,0.0,450,MDG
Malawi,2020-04-08 00:56:36,-13.254307999999998,34.301525,8,1,0,7,0.04181923062547716,-999,-999,12.5,454,MWI
Malaysia,2020-04-08 00:56:36,4.210483999999999,101.975766,3963,63,1321,2579,12.244331226863451,-999,-999,1.5897047691143074,458,MYS
Maldives,2020-04-08 00:56:36,3.2028,73.2207,19,0,13,6,3.5149905095256244,-999,-999,0.0,462,MDV
Mali,2020-04-08 00:56:36,17.570692,-3.996166000000001,56,5,12,39,0.2765318208622914,-999,-999,8.928571428571429,466,MLI
Malta,2020-04-08 00:56:36,35.9375,14.3754,293,0,5,288,66.35880409205076,-999,-999,0.0,470,MLT
Mauritania,2020-04-08 00:56:36,21.0079,-10.9408,6,1,2,3,0.12904169337112822,-999,-999,16.666666666666668,478,MRT
Mauritius,2020-04-08 00:56:36,-20.348404,57.552152,268,7,8,253,21.073042467684726,-999,-999,2.611940298507463,480,MUS
Mexico,2020-04-08 00:56:36,23.6345,-102.5528,2439,125,633,1681,1.8916837989180297,-999,-999,5.125051250512505,484,MEX
Moldova,2020-04-08 00:56:36,47.4116,28.3699,1056,22,40,994,26.177731426887156,-999,-999,2.0833333333333335,498,MDA
Monaco,2020-04-08 00:56:36,43.7333,7.4167,79,1,4,74,201.30465803689737,-999,-999,1.2658227848101267,492,MCO
Mongolia,2020-04-08 00:56:36,46.8625,103.8467,15,0,4,11,0.45755533674242566,-999,-999,0.0,496,MNG
Montenegro,2020-04-08 00:56:36,42.708678000000006,19.37439,241,2,4,235,38.37200785909671,-999,-999,0.8298755186721992,499,MNE
Morocco,2020-04-08 00:56:36,31.7917,-7.0926,1184,90,93,1001,3.207754269117254,-999,-999,7.601351351351352,504,MAR
Mozambique,2020-04-08 00:56:36,-18.665695,35.529562,10,0,1,9,0.03199443552777301,-999,-999,0.0,508,MOZ
Namibia,2020-04-08 00:56:36,-22.9576,18.4904,16,0,3,13,0.6296941732823911,-999,-999,0.0,516,NAM
Nepal,2020-04-08 00:56:36,28.1667,84.25,9,0,1,8,0.030888764479623163,-999,-999,0.0,524,NPL
New Zealand,2020-04-08 00:56:36,-40.9006,174.886,1160,1,241,918,24.05524577514193,-999,-999,0.08620689655172414,554,NZL
