Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
Alabama,US,2020-04-07 16:25:43,32.3182,-86.9023,2006,53,,1953.0,1.0,8489.567903846968,14805,272,2.642073778664008,84001133.0,USA
Alaska,US,2020-04-07 16:25:43,61.3707,-152.4044,191,6,,185.0,2.0,3652.0076481835563,6883,23,3.141361256544503,84002290.0,USA
Arizona,US,2020-04-07 16:25:43,33.7298,-111.4312,2732,65,,2667.0,4.0,1277.9074499384901,32534,339,2.3792093704245976,84004027.0,USA
Arkansas,US,2020-04-07 16:25:43,34.9697,-92.3731,927,16,139.0,911.0,5.0,4343.751464317511,13264,130,1.725997842502697,84005149.0,USA
California,US,2020-04-07 16:25:43,36.1162,-119.6816,16363,388,,15975.0,6.0,20800.07118523415,129700,,2.3712033245737336,84006115.0,USA
Colorado,US,2020-04-07 16:25:43,39.0598,-105.3111,5183,150,,5033.0,8.0,51731.709751472205,26875,994,2.8940767895041484,84008125.0,USA
Connecticut,US,2020-04-07 16:25:43,41.5978,-72.7554,6906,206,,6700.0,9.0,5913.5825726567455,26686,,2.9829134086301767,84009015.0,USA
Delaware,US,2020-04-07 16:25:43,39.3185,-75.5071,783,15,71.0,768.0,10.0,334.2939481268011,7634,,1.9157088122605364,84010005.0,USA
Diamond Princess,US,2020-04-07 16:25:43,,,49,0,0.0,49.0,888.0,,,,0.0,84088888.0,USA
District of Columbia,US,2020-04-07 16:25:43,38.8974,-77.0268,1211,22,287.0,1189.0,11.0,171.5907496857948,7453,,1.8166804293971923,84011001.0,USA
Florida,US,2020-04-07 16:25:43,27.7663,-81.6868,13629,254,,13375.0,12.0,53503.70981038747,124651,1815,1.863673050113728,84012133.0,USA
Georgia,US,2020-04-07 16:25:43,33.0406,-83.6431,7558,294,,7264.0,13.0,37328.9870104213,31518,1393,3.889917967716327,84013321.0,USA
Grand Princess,US,2020-04-07 16:25:43,,,103,3,0.0,100.0,999.0,,,,2.912621359223301,84099999.0,USA
Guam,US,2020-04-07 16:25:43,13.4443,144.7937,121,4,27.0,117.0,66.0,73.67760870491813,642,31,3.3057851239669422,316.0,GUM
Hawaii,US,2020-04-07 16:25:43,21.0943,-157.4983,387,5,89.0,382.0,15.0,231.15932073803737,13542,26,1.2919896640826873,84015009.0,USA
Idaho,US,2020-04-07 16:25:43,44.2405,-114.4788,1170,13,,1157.0,16.0,11477.339611536197,11246,83,1.1111111111111112,84016087.0,USA
Illinois,US,2020-04-07 16:25:43,40.3495,-88.9861,12264,308,,11956.0,17.0,31888.504641306325,62942,,2.5114155251141552,84017203.0,USA
Indiana,US,2020-04-07 16:25:43,39.8494,-86.2583,5507,173,,5334.0,18.0,16214.226828406549,26191,,3.1414563283094243,84018183.0,USA
Iowa,US,2020-04-07 16:25:43,42.0115,-93.2105,946,25,284.0,921.0,19.0,7530.647985989493,11599,179,2.6427061310782243,84019197.0,USA
Kansas,US,2020-04-07 16:25:43,38.5266,-96.7265,864,25,,839.0,20.0,522.2784396931614,9084,198,2.8935185185185186,84020209.0,USA
Kentucky,US,2020-04-07 16:25:43,37.6681,-84.6701,1055,60,,995.0,21.0,3946.285628787312,19955,,5.687203791469194,84021239.0,USA
Louisiana,US,2020-04-07 16:25:43,31.1695,-91.8678,14867,512,,14355.0,22.0,106926.06444188723,69166,,3.4438689715477233,84022127.0,USA
Maine,US,2020-04-07 16:25:43,44.6939,-69.3819,499,10,158.0,489.0,23.0,240.31862686078375,6587,92,2.004008016032064,84023031.0,USA
Maryland,US,2020-04-07 16:25:43,39.0639,-76.8021,4371,103,288.0,4268.0,24.0,736.4909265531012,31627,1106,2.3564401738732554,84024510.0,USA
Massachusetts,US,2020-04-07 16:25:43,42.2302,-71.5301,13837,260,,13577.0,25.0,1665.8600422334107,76429,1241,1.8790200187902002,84025027.0,USA
Michigan,US,2020-04-07 16:25:43,43.3266,-84.5361,17221,727,,16494.0,26.0,51205.73280604205,47251,,4.221589919284594,84026165.0,USA
Minnesota,US,2020-04-07 16:25:43,45.6945,-93.9002,986,30,470.0,956.0,27.0,10155.525800803378,28128,223,3.0425963488843815,84027173.0,USA
Mississippi,US,2020-04-07 16:25:43,32.7416,-89.6787,1738,51,,1687.0,28.0,5853.822835971708,20370,475,2.934407364787112,84028163.0,USA
Missouri,US,2020-04-07 16:25:43,38.4561,-92.2884,2868,65,,2803.0,29.0,954.1679974449058,31654,,2.2663877266387726,84029510.0,USA
