Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,Testing_Rate,People_Hospitalized,Hospitalized_Rate,Mortality_Rate,UID,ISO3
Alabama,US,2020-04-09 02:03:35,32.3182,-86.9023,2499,67,,2432,1,53.296116336102074,19122,4.07819E+4992,314,6.70337E+292,2.681072428971589,84000001,USA
Alaska,US,2020-04-09 02:03:35,61.3707,-152.4044,226,7,32,219,2,37.808511599350226,7068,1.18255E+3994,27,4.56257E+193,3.0973451327433628,84000002,USA
Arizona,US,2020-04-09 02:03:35,33.7298,-111.4312,3036,80,,2956,4,41.71064763199339,34564,4.74869E+4992,,,2.635046113306983,84000004,USA
Arkansas,US,2020-04-09 02:03:35,34.9697,-92.3731,1076,18,208,1058,5,41.560014630979126,14530,5.61220E+4992,130,5.02622E+292,1.6728624535315986,84000005,USA
California,US,2020-04-09 02:03:35,36.1162,-119.6816,18752,495,,18257,6,47.8262178061865,144264,3.67940E+5991,,,2.63971843003413,84000006,USA
Colorado,US,2020-04-09 02:03:35,39.0598,-105.3111,5655,193,,5462,8,99.7915406772731,28094,4.95769E+4992,1079,1.90426E+392,3.4129089301503095,84000008,USA
Connecticut,US,2020-04-09 02:03:35,41.5978,-72.7554,8781,335,,8446,9,246.29153277141504,29036,8.14417E+4992,,,3.8150552328891925,84000009,USA
Delaware,US,2020-04-09 02:03:35,39.3185,-75.5071,1116,19,144,1097,10,114.60682465155828,8556,8.78740E+3993,,,1.7025089605734767,84000010,USA
Diamond Princess,US,2020-04-09 02:03:35,,,49,0,0,49,888,,,,,,0.0,84088888,USA
District of Columbia,US,2020-04-09 02:03:35,38.8974,-77.0268,1440,27,361,1413,11,204.03854628203513,8283,1.17376E+3994,,,1.875,84000011,USA
Florida,US,2020-04-09 02:03:35,27.7663,-81.6868,15698,323,,15375,12,73.9334587567819,143134,6.74124E+5991,2062,9.71245E+391,2.0575869537520703,84000012,USA
Georgia,US,2020-04-09 02:03:35,33.0406,-83.6431,10222,362,,9860,13,100.81471346460286,38787,3.82542E+4992,1993,1.96580E+392,3.541381334376834,84000013,USA
Grand Princess,US,2020-04-09 02:03:35,,,103,3,0,100,999,,,,,,2.912621359223301,84099999,USA
Guam,US,2020-04-09 02:03:35,13.4443,144.7937,125,4,31,121,66,76.11323213317989,687,4.18737E+2994,,,3.2,316,GUM
Hawaii,US,2020-04-09 02:03:35,21.0943,-157.4983,435,5,113,430,15,30.724982447912325,15149,1.07002E+4993,42,2.99652E+193,1.1494252873563218,84000015,USA
