state,positive,positiveScore,negativeScore,negativeRegularScore,commercialScore,grade,score,notes,dataQualityGrade,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,checkTimeEt,death,hospitalized,total,totalTestResults,posNeg,fips,dateModified,dateChecked,hash
AK,345,1,1,1,1,A,4,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,15911,,10,,,,,,218,4/27/20 14:00,4/27/20 14:11,9,,16256,16256,16256,2,2020-04-27T18:00:00Z,2020-04-27T18:11:00Z,bc09b99e534ee6d96d2a2791870cd6834fbc300c
AL,6499,1,1,0,1,B,3,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,67498,,,872,,335,,195,,4/27/20 00:00,4/27/20 16:02,222,872,73997,73997,73997,1,2020-04-27T04:00:00Z,2020-04-27T20:02:00Z,350d0015c6877c53e14adeecb1fb55ef531f9420
AR,3017,1,1,1,1,A,4,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,37440,,109,,,,25,,987,4/27/20 15:00,4/27/20 16:00,50,,40457,40457,40457,5,2020-04-27T19:00:00Z,2020-04-27T20:00:00Z,edd325b8e834891bb7976894b996cf2b01387aff
AZ,6716,1,1,0,1,B,3,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A+,59827,,647,1051,328,,200,,1418,4/27/20 00:00,4/27/20 14:26,275,1051,66543,66543,66543,4,2020-04-27T04:00:00Z,2020-04-27T18:26:00Z,acc6882f2d870f26ffd4dbed351aaa4c32a403ca
CA,43464,1,1,0,1,B,3,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,509945,,4878,,1499,,,,,4/27/20 00:00,4/27/20 15:56,1755,,553409,553409,553409,6,2020-04-27T04:00:00Z,2020-04-27T19:56:00Z,512739b693be2ed71b88fb57678ecda733323454
CO,13441,1,1,1,1,A,4,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,49833,,1007,2438,,,,,2150,4/26/20 00:00,4/27/20 16:08,680,2438,63274,63274,63274,8,2020-04-26T04:00:00Z,2020-04-27T20:08:00Z,5bee5bc6e7c2f5954316b4a3847df950641c1a73
CT,25269,1,1,1,1,A,4,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",C,54542,,1758,,,,,,,4/27/20 16:27,4/27/20 16:42,1998,,79811,79811,79811,9,2020-04-27T20:27:00Z,2020-04-27T20:42:00Z,4b39a04c7cad2b927ef9f5e48482d08ee20ceeab
DC,3892,1,1,1,1,A,4,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,14524,,402,,,,,,659,4/26/20 00:00,4/27/20 15:03,185,,18416,18416,18416,11,2020-04-26T04:00:00Z,2020-04-27T19:03:00Z,b63788d9c99f00fa72c2bc812c012c6a95c126b1
DE,4162,1,1,1,1,A,4,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,15454,,325,,,,,,996,4/26/20 18:00,4/27/20 15:07,125,,19616,19616,19616,10,2020-04-26T22:00:00Z,2020-04-27T19:07:00Z,bc70db53cfc428e7ff2063172737fad775ccb281
FL,32138,1,1,1,1,A,4,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",C,324325,1099,,5211,,,,,,4/27/20 09:24,4/27/20 15:14,1101,5211,357562,356463,356463,12,2020-04-27T13:24:00Z,2020-04-27T19:14:00Z,a62b606222dc97b0b4bd49c1f06efadf9fe21438
