cnty	ProvinceState	CountryRegion	reportdt	latfill	longfill	confirmed	deaths	recovered
"Medina"	"Ohio"	"US"	"2020-03-22"	41.708603320000000	-80.748302180000000	10	0	0
(null)	(null)	"United Kingdom"	"2020-04-03"	55.378100000000000	-3.436000000000000	38168	3605	135
"Jasper"	"Mississippi"	"US"	"2020-04-03"	34.880844630000000	0E-15	3	0	0
"Hardin"	"Tennessee"	"US"	"2020-03-31"	36.556065290000000	0E-15	1	0	0
"Genesee"	"New York"	"US"	"2020-03-28"	44.745309050000000	0E-15	7	0	0
(null)	"Hunan"	"China"	"2020-04-02"	27.610400000000000	111.708800000000000	2038	8	2028
"Ford"	"Illinois"	"US"	"2020-03-25"	42.365423730000000	0E-15	0	0	0
"Turner"	"Georgia"	"US"	"2020-03-30"	34.913691880000000	0E-15	3	0	0
"Otter Tail"	"Minnesota"	"US"	"2020-04-03"	48.777541060000000	0E-15	1	0	0
"Crawford"	"Missouri"	"US"	"2020-03-22"	40.479455880000000	0E-15	0	0	0
(null)	"Lackland, TX (From Diamond Princess)"	"US"	"2020-02-24"	29.382900000000000	-98.613400000000000	0	0	0
"Clinton"	"Kentucky"	"US"	"2020-03-29"	38.970651420000000	0E-15	0	0	0
"Harrison"	"Kentucky"	"US"	"2020-03-29"	38.970651420000000	0E-15	11	0	0
"Lee"	"South Carolina"	"US"	"2020-03-25"	35.051222510000000	-78.995552930000000	2	0	0
(null)	(null)	"Sweden"	"2020-03-18"	63.000000000000000	18.643500000000000	1279	10	1
"Bourbon"	"Kansas"	"US"	"2020-04-02"	39.827996320000000	-94.763782250000000	3	0	0
(null)	(null)	"Lebanon"	"2020-02-29"	33.854700000000000	35.862300000000000	4	0	0
"Cedar"	"Missouri"	"US"	"2020-03-27"	40.479455880000000	0E-15	0	0	0
"Noxubee"	"Mississippi"	"US"	"2020-03-23"	34.880844630000000	0E-15	0	0	0
"Rankin"	"Mississippi"	"US"	"2020-03-24"	34.880844630000000	0E-15	13	0	0
"Owen"	"Indiana"	"US"	"2020-03-28"	41.644238680000000	0E-15	7	0	0
"Boundary"	"Idaho"	"US"	"2020-03-23"	48.766847610000000	-111.205677300000000	0	0	0
"Payette"	"Idaho"	"US"	"2020-03-29"	48.766847610000000	-111.205677300000000	1	0	0
"Calhoun"	"Arkansas"	"US"	"2020-03-30"	36.381771050000000	0E-15	0	0	0
(null)	(null)	"Belarus"	"2020-04-02"	53.709800000000000	27.953400000000000	304	4	53
"Ward"	"Texas"	"US"	"2020-03-27"	36.278291050000000	-93.744088130000000	0	0	0
"Barton"	"Kansas"	"US"	"2020-03-24"	39.827996320000000	-94.763782250000000	0	0	0
"Henry"	"Georgia"	"US"	"2020-03-29"	34.913691880000000	0E-15	55	1	0
"Lauderdale"	"Alabama"	"US"	"2020-03-26"	34.901718750000000	0E-15	9	0	0
(null)	(null)	"Belarus"	"2020-03-20"	53.709800000000000	27.953400000000000	69	0	5
"Aiken"	"South Carolina"	"US"	"2020-04-02"	35.051222510000000	-78.995552930000000	22	1	0
"Delta"	"Michigan"	"US"	"2020-03-24"	47.631976530000000	0E-15	0	0	0
"Chilton"	"Alabama"	"US"	"2020-03-31"	34.901718750000000	0E-15	11	0	0
"Rawlins"	"Kansas"	"US"	"2020-03-25"	39.827996320000000	-94.763782250000000	0	0	0
(null)	(null)	"Chile"	"2020-03-23"	-35.675100000000000	-71.543000000000000	746	2	11
(null)	(null)	"Belgium"	"2020-04-02"	50.833300000000000	4.469936000000000	15348	1011	2495
(null)	(null)	"Ghana"	"2020-03-27"	7.946500000000000	-1.023200000000000	137	4	2
"Allen"	"Louisiana"	"US"	"2020-03-30"	32.831210590000000	0E-15	11	0	0
"Iredell"	"North Carolina"	"US"	"2020-03-28"	36.493608620000000	0E-15	18	0	0
(null)	(null)	"Nepal"	"2020-03-26"	28.166700000000000	84.250000000000000	3	0	1
"Caldwell"	"Texas"	"US"	"2020-03-22"	36.278291050000000	-93.744088130000000	0	0	0
(null)	"Yunnan"	"China"	"2020-01-25"	24.974000000000000	101.487000000000000	11	0	0
"Castro"	"Texas"	"US"	"2020-04-02"	36.278291050000000	-93.744088130000000	8	0	0
"Caribou"	"Idaho"	"US"	"2020-03-30"	48.766847610000000	-111.205677300000000	0	0	0
"Phillips"	"Arkansas"	"US"	"2020-03-29"	36.381771050000000	0E-15	0	0	0
"Jefferson"	"Idaho"	"US"	"2020-04-01"	48.766847610000000	-111.205677300000000	3	0	0
"Trempealeau"	"Wisconsin"	"US"	"2020-03-24"	46.528687680000000	0E-15	0	0	0
"Price"	"Wisconsin"	"US"	"2020-03-23"	46.528687680000000	0E-15	0	0	0
"Wheatland"	"Montana"	"US"	"2020-03-22"	48.784200290000000	0E-15	0	0	0
"Rappahannock"	"Virginia"	"US"	"2020-03-25"	39.201725820000000	0E-15	0	0	0
(null)	"Kentucky"	"US"	"2020-03-10"	37.668140000000000	-84.670067000000000	6	0	0
"Charleston"	"South Carolina"	"US"	"2020-03-25"	35.051222510000000	-78.995552930000000	52	1	0
"Iron"	"Utah"	"US"	"2020-03-26"	41.723305870000000	0E-15	0	0	0
"Nowata"	"Oklahoma"	"US"	"2020-03-31"	36.835326550000000	0E-15	5	0	0
"Bremer"	"Iowa"	"US"	"2020-03-29"	43.381078620000000	0E-15	0	0	0
"Emmet"	"Michigan"	"US"	"2020-03-25"	47.631976530000000	0E-15	2	0	0
"Sublette"	"Wyoming"	"US"	"2020-03-30"	44.790489130000000	-104.353474300000000	1	0	0
"Washington"	"Pennsylvania"	"US"	"2020-03-26"	41.992538290000000	-75.032081060000000	12	0	0
"Jefferson Davis"	"Mississippi"	"US"	"2020-03-22"	34.880844630000000	0E-15	0	0	0
"Jackson"	"Mississippi"	"US"	"2020-03-30"	34.880844630000000	0E-15	34	0	0
"Roanoke City"	"Virginia"	"US"	"2020-03-22"	39.201725820000000	0E-15	0	0	0
"Frederick"	"Maryland"	"US"	"2020-03-29"	39.623576280000000	0E-15	24	0	0
"Sebastian"	"Arkansas"	"US"	"2020-03-23"	36.381771050000000	0E-15	1	0	0
(null)	(null)	"Chile"	"2020-03-10"	-35.675100000000000	-71.543000000000000	13	0	0
"Atchison"	"Kansas"	"US"	"2020-04-03"	39.827996320000000	-94.763782250000000	1	0	0
"Gallia"	"Ohio"	"US"	"2020-03-25"	41.708603320000000	-80.748302180000000	1	1	0
"Lincoln"	"Arkansas"	"US"	"2020-03-27"	36.381771050000000	0E-15	5	0	0
"Pierce"	"Washington"	"US"	"2020-03-22"	48.822279760000000	0E-15	107	1	0
(null)	"Unassigned Location (From Diamond Princess)"	"US"	"2020-02-26"	35.443700000000000	139.638000000000000	84	0	0
"Polk"	"Arkansas"	"US"	"2020-03-24"	36.381771050000000	0E-15	1	0	0
"Tishomingo"	"Mississippi"	"US"	"2020-04-03"	34.880844630000000	0E-15	1	0	0
"Hancock"	"Indiana"	"US"	"2020-04-02"	41.644238680000000	0E-15	37	2	0
"Calhoun"	"Illinois"	"US"	"2020-03-22"	42.365423730000000	0E-15	0	0	0
"Dubuque"	"Iowa"	"US"	"2020-03-27"	43.381078620000000	0E-15	8	1	0
"Klickitat"	"Washington"	"US"	"2020-04-02"	48.822279760000000	0E-15	9	1	0
(null)	"Liaoning"	"China"	"2020-02-23"	41.295600000000000	122.608500000000000	121	1	73
"Washington"	"New York"	"US"	"2020-03-31"	44.745309050000000	0E-15	9	0	0
"Mobile"	"Alabama"	"US"	"2020-03-24"	34.901718750000000	0E-15	6	0	0
"Forrest"	"Mississippi"	"US"	"2020-04-02"	34.880844630000000	0E-15	26	1	0
"Gibson"	"Indiana"	"US"	"2020-03-22"	41.644238680000000	0E-15	0	0	0
"Salem"	"Virginia"	"US"	"2020-03-24"	39.201725820000000	0E-15	0	0	0
"Champaign"	"Illinois"	"US"	"2020-03-31"	42.365423730000000	0E-15	26	0	0
"Wake"	"North Carolina"	"US"	"2020-04-03"	36.493608620000000	0E-15	275	0	0
(null)	"Kansas"	"US"	"2020-03-17"	38.526600000000000	-96.726486000000000	36	2	0
"Baldwin"	"Alabama"	"US"	"2020-03-29"	34.901718750000000	0E-15	15	1	0
