Province_State,Population
Anhui,62550000.00
Beijing,21710000.00
Chongqing,30750000.00
Fujian,39110000.00
Gansu,26260000.00
Guangdong,111690000.00
Guangxi,48850000.00
Guizhou,35550000.00
Hainan,9170000.00
Hebei,75200000.00
Heilongjiang,37890000.00
Henan,95590000.00
Hong Kong,7335384.00
Hubei,59020000.00
Hunan,68600000.00
Inner Mongolia,25290000.00
Jiangsu,80290000.00
Jiangxi,46220000.00
Jilin,27170000.00
Liaoning,43690000.00
Macau,644900.00
Ningxia,6820000.00
Qinghai,5980000.00
Shaanxi,38350000.00
Shandong,100060000.00
Shanghai,24180000.00
Shanxi,36820000.00
Sichuan,83020000.00
Tianjin,15570000.00
Tibet,3370000.00
Xinjiang,24450000.00
Yunnan,48010000.00
Zhejiang,56570000.00
