State,state,Governer_Affiliation,Population
Alaska,AK,Republican,710231
Alabama,AL,Republican,4779736
Arkansas,AR,Republican,2915918
American Samoa,AS,Democratic,55519
Arizona,AZ,Republican,6392017
California,CA,Democratic,37254523
Colorado,CO,Democratic,5029196
Connecticut,CT,Democratic,3574097
District of Columbia,DC,Democratic,601723
Delaware,DE,Democratic,897934
Florida,FL,Republican,18801310
Georgia,GA,Republican,9687653
Guam,GU,Democratic,159358
Hawaii,HI,Democratic,1360301
Iowa,IA,Republican,3046355
Idaho,ID,Republican,1567582
Illinois,IL,Democratic,12830632
Indiana,IN,Republican,6483802
Kansas,KS,Democratic,2853118
Kentucky,KY,Democratic,4339367
Louisiana,LA,Democratic,4533372
Massachusetts,MA,Republican,6547629
Maryland,MD,Republican,5773552
Maine,ME,Democratic,1328361
Michigan,MI,Democratic,9883640
Minnesota,MN,Democratic,5303925
Missouri,MO,Republican,5988927
Northern Mariana Islands,MP,Republican,53883
Mississippi,MS,Republican,2967297
Montana,MT,Democratic,989415
North Carolina,NC,Democratic,9535483
North Dakota,ND,Republican,672591
Nebraska,NE,Republican,1826341
New Hampshire,NH,Republican,1316470
New Jersey,NJ,Democratic,8791894
New Mexico,NM,Democratic,2059179
Nevada,NV,Democratic,2700551
New York,NY,Democratic,19378102
Ohio,OH,Republican,11536504
Oklahoma,OK,Republican,3751351
Oregon,OR,Democratic,3831074
Pennsylvania,PA,Democratic,12702379
Puerto Rico,PR,Republican,3725789
Rhode Island,RI,Democratic,1052567
South Carolina,SC,Republican,4625364
South Dakota,SD,Republican,814180
Tennessee,TN,Republican,6346105
Texas,TX,Republican,25145561
Utah,UT,Republican,2763885
Virginia,VA,Democratic,8001024
Virgin Islands,VI,Democratic,106405
Vermont,VT,Republican,625741
Washington,WA,Democratic,6724540
Wisconsin,WI,Democratic,5686986
West Virginia,WV,Republican,1852994
Wyoming,WY,Republican,563626
