Date,US,CA
1/22/20,1,0
1/23/20,1,0
1/24/20,1,0
1/25/20,2,0
1/26/20,2,2
1/27/20,2,2
1/28/20,2,2
1/29/20,5,2
1/30/20,6,2
1/31/20,7,3
2/1/20,8,3
2/2/20,8,3
2/3/20,8,6
2/4/20,11,6
2/5/20,11,6
2/6/20,11,6
2/7/20,11,6
2/8/20,11,6
2/9/20,12,6
2/10/20,12,6
2/11/20,13,7
2/12/20,14,7
2/13/20,14,8
2/14/20,14,8
2/15/20,14,8
2/16/20,14,8
2/17/20,15,8
2/18/20,15,8
2/19/20,16,8
2/20/20,17,8
2/21/20,35,10
2/22/20,35,10
2/23/20,35,10
2/24/20,53,10
2/25/20,57,10
2/26/20,59,10
2/27/20,60,11
2/28/20,66,11
2/29/20,71,12
3/1/20,91,16
3/2/20,109,22
3/3/20,130,30
3/4/20,161,38
3/5/20,236,51
3/6/20,336,64
3/7/20,452,81
3/8/20,573,96
3/9/20,751,134
3/10/20,1041,151
3/11/20,1286,174
3/12/20,1711,236
3/13/20,2243,297
3/14/20,2975,374
3/15/20,3685,461
3/16/20,4654,570
3/17/20,6105,718
3/18/20,8670,868
3/19/20,14093,1047
3/20/20,19582,1260
3/21/20,26742,1519
3/22/20,35067,1816
3/23/20,46096,2243
3/24/20,55290,2631
3/25/20,69225,3169
3/26/20,85873,4032
