Country_Region,Population,Land Area,Groping1,Groping2
China,1439323776,9388211,Asia,East Asia
India,1380004385,2973190,Asia,South Asia
US,331002651,9147420,The Americas,Northern America
Guangdong - China,113460000,179800,,
Indonesia,273523615,1811570,Asia,Southeast Asia
Pakistan,220892340,770880,Asia,South Asia
Brazil,212559417,8358140,The Americas,South America
Nigeria,206139589,910770,Africa,Western Africa
Bangladesh,164689383,130170,Asia,South Asia
Russia,145934462,16376870,Europe,Europe
Mexico,128932753,1943950,The Americas,Central America
Japan,126476461,364555,Asia,East Asia
Ethiopia,114963588,1000000,Africa,Eastern Africa
Philippines,109581078,298170,Asia,Southeast Asia
Egypt,102334404,995450,Africa,Northern Africa
Vietnam,97338579,310070,Asia,Southeast Asia
Congo (Kinshasa),89561403,2267050,Africa,Central Africa
Turkey,84339067,769630,Europe,Europe
Iran,83992949,1628550,Middle East,Middle East
Germany,83783942,348560,Europe,EU
Thailand,69799978,510890,Asia,Southeast Asia
United Kingdom,67886011,241930,Europe,Europe
France,65273511,547557,Europe,EU
Italy,60461826,294140,Europe,EU
Tanzania,59734218,885800,Africa,Eastern Africa
South Africa,59308690,1213090,Africa,Southern Africa
Burma,54409800,653290,Asia,Southeast Asia
Kenya,53771296,569140,Africa,Eastern Africa
"Korea, South",51269185,97230,Asia,East Asia
Colombia,50882891,1109500,The Americas,South America
Spain,46754778,498800,Europe,EU
Uganda,45741007,199810,Africa,Eastern Africa
Argentina,45195774,2736690,The Americas,South America
Algeria,43851044,2381740,Africa,Northern Africa
Sudan,43849260,1765048,Africa,Northern Africa
Ukraine,43733762,579320,Europe,Europe
Iraq,40222493,434320,Middle East,Middle East
Afghanistan,38928346,652860,Asia,South Asia
Poland,37846611,306230,Europe,EU
Canada,37742154,9093510,The Americas,Northern America
Morocco,36910560,446300,Africa,Northern Africa
Saudi Arabia,34813871,2149690,Middle East,Middle East
Uzbekistan,33469203,425400,Asia,Central Asia
Peru,32971854,1280000,The Americas,South America
Angola,32866272,1246700,Africa,Southern Africa
Malaysia,32365999,328550,Asia,Southeast Asia
Mozambique,31255435,786380,Africa,Eastern Africa
Ghana,31072940,227540,Africa,Western Africa
Yemen,29825964,527970,Middle East,Middle East
Nepal,29136808,143350,Asia,South Asia
Venezuela,28435940,882050,The Americas,South America
Madagascar,27691018,581795,Africa,Eastern Africa
Cameroon,26545863,472710,Africa,Central Africa
Cote d'Ivoire,26378274,318000,Africa,Western Africa
"Korea, North",25778816,120410,Asia,East Asia
Australia,25499884,7682300,Oceania,Oceania
Niger,24206644,1266700,Africa,Western Africa
Taiwan*,23816775,35410,Asia,East Asia
Sri Lanka,21413249,62710,Asia,South Asia
Burkina Faso,20903273,273600,Africa,Western Africa
Mali,20250833,1220190,Africa,Western Africa
Romania,19237691,230170,Europe,EU
Malawi,19129952,94280,Africa,Eastern Africa
Chile,19116201,743532,The Americas,South America
Kazakhstan,18776707,2699700,Asia,Central Asia
Zambia,18383955,743390,Africa,Eastern Africa
Guatemala,17915568,107160,The Americas,Central America
Ecuador,17643054,248360,The Americas,South America
Syria,17500658,183630,Middle East,Middle East
Netherlands,17134872,33720,Europe,EU
Senegal,16743927,192530,Africa,Western Africa
Cambodia,16718965,176520,Asia,Southeast Asia
Chad,16425864,1259200,Africa,Central Africa
Somalia,15893222,627340,Africa,Eastern Africa
Zimbabwe,14862924,386850,Africa,Eastern Africa
Guinea,13132795,245720,Africa,Western Africa
Rwanda,12952218,24670,Africa,Eastern Africa
Benin,12123200,112760,Africa,Western Africa
Burundi,11890784,25680,Africa,Eastern Africa
Tunisia,11818619,155360,Africa,Northern Africa
