state,positive,positiveScore,negativeScore,negativeRegularScore,commercialScore,grade,score,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,checkTimeEt,death,hospitalized,total,totalTestResults,posNeg,fips,dateModified,dateChecked,notes,hash
AK,157,1,1,1,1,A,4,5859,,,15,,,,,,4/03 16:00,4/03 15:55,3,15,6016,6016,6016,02,2020-04-03T20:00:00Z,2020-04-03T19:55:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",9c526b264ca21e6c797cc5a67b40600c4e74d297
AL,1535,1,1,0,1,B,3,8187,,,,,,,,,4/03 00:00,4/03 22:13,38,,9722,9722,9722,01,2020-04-03T04:00:00Z,2020-04-04T02:13:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",123fbf281354118e43f1616208d466d467f941c7
AR,738,1,1,1,1,A,4,9053,,71,,,,26,,75,4/03 23:00,4/03 22:15,12,,9791,9791,9791,05,2020-04-04T03:00:00Z,2020-04-04T02:15:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",80367f0b16571fad3cebaa783a833e6f11756143
AZ,1769,1,1,0,1,B,3,22904,,,249,,91,,,,4/03 00:00,4/03 16:33,41,249,24673,24673,24673,04,2020-04-03T04:00:00Z,2020-04-03T20:33:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",e57deef985fee61bf58e7c913f0278d1d9acb270
CA,10701,1,1,1,0,B,3,24599,59500,2188,,901,,,,,4/02 00:00,4/03 16:20,237,,94800,35300,35300,06,2020-04-02T04:00:00Z,2020-04-03T20:20:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",a5c5a7032a4ceda14163d654bb8ea2968302d9e4
CO,4173,1,1,1,1,A,4,17898,,,823,,,,,,4/03 00:00,4/03 22:18,111,823,22071,22071,22071,08,2020-04-03T04:00:00Z,2020-04-04T02:18:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",cd0fb221c4eac46f7ded45115095dbce14b72b33
CT,4915,1,1,1,1,A,4,15101,,909,,,,,,,4/03 19:00,4/03 22:22,132,,20016,20016,20016,09,2020-04-03T23:00:00Z,2020-04-04T02:22:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",43bfbe9ca3fa8c91172a7056e758bdc37951f2f0
DC,757,1,1,1,1,A,4,4827,,,,,,,,206,4/03 00:00,4/03 15:52,15,,5584,5584,5584,11,2020-04-03T04:00:00Z,2020-04-03T19:52:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",6065b8c916ad9ac3cffbab251b5abab34235023f
DE,450,1,1,1,1,A,4,4995,,63,,,,,,71,4/03 00:00,4/03 16:31,14,,5445,5445,5445,10,2020-04-03T04:00:00Z,2020-04-03T20:31:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",17d0d7ac5b37bffafc59a757bd77588ef50a1a17
FL,10268,1,1,1,1,A,4,84144,1388,,1409,,,,,,4/03 17:17,4/03 22:32,170,1409,95800,94412,94412,12,2020-04-03T21:17:00Z,2020-04-04T02:32:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",cc5f0e6af94002a150c86345ecfd479414152b9b
