date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200403,AK,157,5859,,,15,,,,,,192f851a8f9b68576ed308814322d1333b538699,2020-04-03T20:00:00Z,3,15,6016,6016,6016,02,0,6,980,14,994
20200403,AL,1432,8187,,,,,,,,,2321b8fce440dd33ac0feef0e923113ffffbf603,2020-04-03T20:00:00Z,35,,9619,9619,9619,01,3,0,684,199,883
20200403,AR,704,8995,,71,,,,26,39,60,1668b119de8dbd14c4334330a55a40591b632995,2020-04-03T20:00:00Z,12,,9699,9699,9699,05,0,0,1115,61,1176
20200403,AS,,20,6,,,,,,,,3933c4281d22f25174ba2730269589d9da9bc026,2020-04-03T20:00:00Z,0,,26,20,20,60,0,0,0,0,0
20200403,AZ,1769,22904,,,249,,91,,,,86d38836c9910dcfeb9ec4779c20c399d8da103d,2020-04-03T20:00:00Z,41,249,24673,24673,24673,04,9,21,1793,171,1964
20200403,CA,10701,24599,59500,2188,,901,,,,,67f105bfa3690e07b85e362a0c6c43aa796aba45,2020-04-03T20:00:00Z,237,,94800,35300,35300,06,34,0,790,1510,2300
20200403,CO,3728,16683,,,710,,,,,,34cd672827b7383da28377a0761440041fae9232,2020-04-03T20:00:00Z,97,710,20411,20411,20411,08,17,90,1380,386,1766
20200403,CT,4914,15101,,909,,,,,,,1951d0ca03e6ab2d9bffc4856b060402c69ea7e6,2020-04-03T20:00:00Z,131,,20015,20015,20015,09,19,0,625,1090,1715
20200403,DC,757,4827,,,,,,,,206,fbf3f83530b301cee1d7dc47fd0719b435edc428,2020-04-03T20:00:00Z,15,,5584,5584,5584,11,3,0,410,104,514
20200403,DE,450,4995,,63,,,,,,71,b840b5921e6e7a1adc67cdefd1c22f4e046d277a,2020-04-03T20:00:00Z,14,,5445,5445,5445,10,2,0,429,57,486
20200403,FL,9585,82137,1225,1215,1287,,,,,,fd0c37309c79ae95c06c48e43ce956652814c5e5,2020-04-03T20:00:00Z,163,1287,92947,91722,91722,12,35,164,12851,1575,14426
20200403,GA,5831,19434,,,1158,,,,,,c82f88637af7d0c85b2360390bb2386b0da43065,2020-04-03T20:00:00Z,184,1158,25265,25265,25265,13,21,102,1825,483,2308
20200403,GU,84,459,,,31,,2,,,14,99ceceee3dd48e2b913ddfdcacb4024fd4192dde,2020-04-03T20:00:00Z,4,31,543,543,543,66,1,12,17,2,19
20200403,HI,285,10206,,,15,,6,,,72,1c81c643bccf41f562ee8a0b1565f639a71e5cb7,2020-04-03T20:00:00Z,2,15,10491,10491,10491,15,1,0,0,27,27
20200403,IA,699,8754,,80,138,,,,,188,feb894b5b255cf3a6496c9856b448a6307f9b022,2020-04-03T20:00:00Z,11,138,9453,9453,9453,19,0,18,700,85,785
20200403,ID,891,7054,,,56,,7,,,,a3f3c21c0ca004354535ce3e1e5108d313bd5a30,2020-04-03T20:00:00Z,9,56,7945,7945,7945,16,0,7,441,222,663
20200403,IL,8904,39144,,,,,,,,,5393eb554824524a4a63bbec9c795869c7869414,2020-04-03T20:00:00Z,210,,48048,48048,48048,17,53,0,3183,1209,4392
20200403,IN,3437,14398,,,,,,,,,b6a582ed478dfba401e4a56efe6e9e4a1b532d04,2020-04-03T20:00:00Z,102,,17835,17835,17835,18,24,0,1152,398,1550
20200403,KS,620,6454,,,151,,,,,,423f188ae5bf45319e336f75b49a3708bdbc8494,2020-04-03T20:00:00Z,17,151,7074,7074,7074,20,4,13,395,68,463
20200403,KY,770,12034,,,,,,,,,b7ec08543b9b2324d60694f6721979dc00c54543,2020-04-03T20:00:00Z,31,,12804,12804,12804,21,11,0,4814,90,4904
20200403,LA,10297,43348,,,1707,,,,535,,0694f8cf6531a993f01c11a566a18087757b24d2,2020-04-03T20:00:00Z,370,1707,53645,53645,53645,22,60,68,1412,1147,2559
20200403,MA,10402,52560,,,966,,,,,,b7bee14b9475ba25ad0b28497d483cec03221230,2020-04-03T20:00:00Z,192,966,62962,62962,62962,25,38,153,4918,1436,6354
20200403,MD,2758,20932,,,664,,,,,159,748f7091af15d9ca085a92ba09b7390f763b6eb5,2020-04-03T20:00:00Z,42,664,23690,23690,23690,24,6,82,2042,427,2469
20200403,ME,432,6088,,,75,,,,,113,4b5209b1b8259d319beb467d9b74d759206853f8,2020-04-03T20:00:00Z,9,75,6520,6520,6520,23,2,7,0,56,56
20200403,MI,12744,11893,,,,,,,,,301039b85ad63d7b9da1b36f9694f4c768754044,2020-04-03T20:00:00Z,479,,24637,24637,24637,26,62,0,0,1953,1953
20200403,MN,789,23438,,86,156,40,40,,,,6c45e5c1cc14d97b2d8c49fc1e64ae7a7ebb3861,2020-04-03T20:00:00Z,22,156,24227,24227,24227,27,4,18,1786,47,1833
20200403,MO,2113,19357,,,,,,,,,4b8f07be28b3788c1fbf8838dfb55730f628b262,2020-04-03T20:00:00Z,19,,21470,21470,21470,29,0,0,1508,279,1787
20200403,MP,8,13,10,,,,,,,,6642918d88a155cb1d4ec9916bd848942a950a82,2020-04-03T20:00:00Z,1,,31,21,21,69,0,0,0,0,0
20200403,MS,1358,4753,,,420,,,,,,8fa26347da7a40d2568c9ec1881dcb83d4ba139c,2020-04-03T20:00:00Z,29,420,6111,6111,6111,28,3,60,0,181,181
20200403,MT,243,5333,,,24,,,,,,58d29fc14826e53d165af859f9d3b6aa2a562cd4,2020-04-03T20:00:00Z,5,24,5576,5576,5576,30,0,4,240,16,256
20200403,NC,2093,29505,,184,259,,,,,,853296f9cd640052947f0851f15fca08782be536,2020-04-03T20:00:00Z,19,259,31598,31598,31598,37,3,55,2683,236,2919
20200403,ND,173,5625,,,29,,,,,55,84ef01d179db6bf5d01711b8006489518c3cb319,2020-04-03T20:00:00Z,3,29,5798,5798,5798,38,0,1,804,14,818
20200403,NE,279,4487,11,,,,,,,,4afd0964d77f63c02401a16e57510b1d974e875d,2020-04-03T20:00:00Z,6,,4777,4766,4766,31,1,0,509,33,542
20200403,NH,479,6575,114,,73,,,,,101,d868c7b35e0058b0fc967b11ce603223586ff8a4,2020-04-03T20:00:00Z,5,73,7168,7054,7054,33,1,14,497,64,561
20200403,NJ,29895,37608,,,,,,,,,f3e8ae961e46883c951b2ac5ddd22f46055c6af3,2020-04-03T20:00:00Z,646,,67503,67503,67503,34,109,0,4088,4305,8393
20200403,NM,403,14375,,31,31,,,,,26,041cca5c10a2fa3cc756d299a62df8e94fc60d2f,2020-04-03T20:00:00Z,7,31,14778,14778,14778,35,1,0,727,40,767
20200403,NV,1514,13018,,,,,,,,,b06428c9678bd268d2992c491635ac82ec96bf35,2020-04-03T20:00:00Z,43,,14532,14532,14532,32,5,0,430,56,486
20200403,NY,102863,168139,,14810,23696,3731,,,,8886,accc00cef8483cff65936c97844fa6aa44976324,2020-04-03T20:00:00Z,2935,23696,271002,271002,271002,36,562,2879,21555,10482,32037
20200403,OH,3312,35063,,,895,,288,,,,4f9def22c6f51b8839104ffcb46d41122de71744,2020-04-03T20:00:00Z,91,895,38375,38375,38375,39,10,93,3047,410,3457
20200403,OK,988,1315,,,289,,,,,,8702f6d3df27dc4ba14e053f1f3ea347acc7dbcf,2020-04-03T20:00:00Z,38,289,2303,2303,2303,40,4,32,50,109,159
20200403,OR,826,15259,,188,,,,38,40,,b2e5b88bbad8239be3032b82f4afe354fc21fe96,2020-04-03T20:00:00Z,21,,16085,16085,16085,41,2,0,1127,90,1217
20200403,PA,8420,53695,,,852,,,,,,aade9d40167b6e73754871c40386092b362363a2,2020-04-03T20:00:00Z,102,852,62115,62115,62115,42,12,122,5997,1404,7401
20200403,PR,378,2049,1055,,,,,,,,31c1cb53249716895ec3490c18feb99b785a620a,2020-04-03T20:00:00Z,15,,3482,2427,2427,72,3,0,445,62,507
20200403,RI,711,4412,,72,72,14,14,6,6,35,724f26efb1056eab080d70de6d4ca0dfc034af1c,2020-04-03T20:00:00Z,14,72,5123,5123,5123,44,2,72,0,54,54
20200403,SC,1554,5441,,,241,,,,,,83a9526f05767b32166dffbd1c0668fe1e12c1b5,2020-04-03T20:00:00Z,31,241,6995,6995,6995,45,0,-655,0,0,0
