date,states,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200403,56,271915,1135356,61980,19926,35991,4686,593,70,728,10422,45ad80fbbbedeff6830cd085ecc1816b7332734f,2020-04-03T20:00:00Z,6962,35991,1469251,1407271,1407271,1178,3342,106707,32906,139613
20200402,56,239009,1028649,62101,17157,32649,4264,541,67,661,8586,4db0284b88e9b946e164aaaa7bc34a8d4e51b201,2020-04-02T20:00:00Z,5784,32649,1329759,1267658,1267658,1084,1507,89459,28239,117698
20200401,56,210770,939190,59669,16223,31142,3837,4270,71,676,7084,2b004ded233223be233a5b70a8b17e237adf48da,2020-04-01T20:00:00Z,4700,31142,1209629,1149960,1149960,954,4482,74989,26087,101076
20200331,56,184683,864201,59518,14236,26660,3402,3644,69,507,5666,8bcd5e8ad67693c2bf4e555c11a4e21806bf7f63,2020-03-31T20:00:00Z,3746,26660,1108402,1048884,1048884,807,4357,79877,24153,104030
20200330,56,160530,784324,65369,12147,22303,2982,3177,259,644,4560,d5ac51ec9c320afbb542671d31570464c9fe871c,2020-03-30T20:00:00Z,2939,22303,1010223,944854,944854,511,2902,92034,21469,113503
20200329,56,139061,692290,65545,9922,19401,2456,2642,59,440,4061,63181bc5ae742585dde8460c00404379dc36369d,2020-03-29T20:00:00Z,2428,19401,896896,831351,831351,463,3038,74820,20827,95647
20200328,56,118234,617470,65709,8725,16363,2174,2314,54,390,3148,fc55e1a4d670f1cc3ae3286f4ea0da00029417ba,2020-03-28T20:00:00Z,1965,16363,801413,735704,735704,435,2955,90250,18821,109071
20200327,56,99413,527220,60091,7532,13408,1792,1916,54,324,2422,97337e50af78cd2146d42a5eb9d49c861efcf433,2020-03-27T20:00:00Z,1530,13408,686724,626633,626633,367,3277,88617,18678,107295
20200326,56,80735,438603,60251,5441,10131,1299,1412,19,258,97,664168bb7db62697002a5e5eb7c2ec351008c21a,2020-03-26T20:00:00Z,1163,10131,579589,519338,519338,263,3995,80999,16807,97806
20200325,56,63928,357604,51235,96,6136,,74,4,167,147,3f701aee29b4085d9ea4a4a933f8586e9f92e734,2020-03-25T20:00:00Z,900,6136,472767,421532,421532,225,1668,64826,11974,76800
20200324,56,51954,292778,14433,,4468,,,,,,00df9b5647983172a9d54e53c63eed93fc742302,2020-03-24T20:00:00Z,675,4468,359165,344732,344732,204,1143,55457,9802,65259
20200323,56,42152,237321,14571,,3325,,,,,,a6a8ce2a4ed6f40bbb366403972a035ae0fc1c21,2020-03-23T20:00:00Z,471,3325,294044,279473,279473,73,771,43858,10273,54131
20200322,56,31879,193463,2842,,2554,,,,,,9620a1999ac00273f3792d6e43a34c76d7fa2071,2020-03-22T20:00:00Z,398,2554,228184,225342,225342,126,590,37554,8682,46236
20200321,56,23197,155909,3468,,1964,,,,,,44c8ed505be8218e98e426c710f0156fba013f83,2020-03-21T20:00:00Z,272,1964,182574,179106,179106,53,1964,37762,6164,43926
20200320,56,17033,118147,3327,,,,,,,,4ebd67eff848139fd9b390c30fd41a01b56874ae,2020-03-20T20:00:00Z,219,,138507,135180,135180,59,0,28994,5314,34308
20200319,56,11719,89153,3016,,,,,,,,4c32ae0e6e80eac47fff3f91d5a9ef779fd4613c,2020-03-19T20:00:00Z,160,,103888,100872,100872,48,0,22928,3989,26917
20200318,56,7730,66225,2526,,,,,,,,871a20ad603ea150616036b11341c75615aa11bf,2020-03-18T20:00:00Z,112,,76481,73955,73955,22,0,18621,2008,20629
20200317,56,5722,47604,1687,,,,,,,,792087734b6ed4c4c590696275df0ad9f60e1cde,2020-03-17T20:00:00Z,90,,55013,53326,53326,19,0,11500,1703,13203
20200316,56,4019,36104,1691,,,,,,,,d9c5bbd9135c7632f14bcdf2b86c9207eeccfd61,2020-03-16T20:00:00Z,71,,41814,40123,40123,11,0,13553,846,14399
