Global Code,Global Name,Region Code,Region Name,Sub-region Code,Sub-region Name,Intermediate Region Code,Intermediate Region Name,Country or Area,M49 Code,ISO-alpha3 Code,Least Developed Countries (LDC),Land Locked Developing Countries (LLDC),Small Island Developing States (SIDS),Developed / Developing Countries
001,World,002,Africa,015,Northern Africa,,,Algeria,012,DZA,,,,Developing
001,World,002,Africa,015,Northern Africa,,,Egypt,818,EGY,,,,Developing
001,World,002,Africa,015,Northern Africa,,,Libya,434,LBY,,,,Developing
001,World,002,Africa,015,Northern Africa,,,Morocco,504,MAR,,,,Developing
001,World,002,Africa,015,Northern Africa,,,Sudan,729,SDN,x,,,Developing
001,World,002,Africa,015,Northern Africa,,,Tunisia,788,TUN,,,,Developing
001,World,002,Africa,015,Northern Africa,,,Western Sahara,732,ESH,,,,Developing
001,World,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,British Indian Ocean Territory,086,IOT,,,,Developing
001,World,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,Burundi,108,BDI,x,x,,Developing
001,World,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,Comoros,174,COM,x,,x,Developing
001,World,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,Djibouti,262,DJI,x,,,Developing
001,World,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,Eritrea,232,ERI,x,,,Developing
001,World,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,Ethiopia,231,ETH,x,x,,Developing
001,World,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,French Southern Territories,260,ATF,,,,Developing
001,World,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,Kenya,404,KEN,,,,Developing
001,World,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,Madagascar,450,MDG,x,,,Developing
001,World,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,Malawi,454,MWI,x,x,,Developing
001,World,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,Mauritius,480,MUS,,,x,Developing
