iFIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,,Afghanistan,2021-01-29 05:22:23,33.93911,67.709953,54891,2397,47583,4911,Afghanistan,141.00523831724553,4.3668360933486365
,,,Albania,2021-01-29 05:22:23,41.1533,20.1683,75454,1350,45906,28198,Albania,2621.9334213635416,1.7891695602618813
,,,Algeria,2021-01-29 05:22:23,28.0339,1.6596,106610,2881,72745,30984,Algeria,243.11850461572826,2.702373135728356
,,,Andorra,2021-01-29 05:22:23,42.5063,1.5218,9779,100,8942,737,Andorra,12656.442114799716,1.0225994477962983
,,,Angola,2021-01-29 05:22:23,-11.2027,17.8739,19672,464,17692,1516,Angola,59.854681401612126,2.3586823912159414
,,,Antigua and Barbuda,2021-01-29 05:22:23,17.0608,-61.7964,215,6,174,35,Antigua and Barbuda,219.54905644963645,2.7906976744186047
,,,Argentina,2021-01-29 05:22:23,-38.4161,-63.6167,1905524,47601,1693146,164777,Argentina,4216.154973948119,2.498053028983104
,,,Armenia,2021-01-29 05:22:23,40.0691,45.0382,166669,3067,156645,6957,Armenia,5624.564242985873,1.8401742375606742
,,Australian Capital Territory,Australia,2021-01-29 05:22:23,-35.4735,149.0124,118,3,115,0,"Australian Capital Territory, Australia",27.563653352020555,2.542372881355932
,,New South Wales,Australia,2021-01-29 05:22:23,-33.8688,151.2093,5099,54,3253,1792,"New South Wales, Australia",62.8110372012811,1.0590311825848207
,,Northern Territory,Australia,2021-01-29 05:22:23,-12.4634,130.8456,98,0,94,4,"Northern Territory, Australia",39.90228013029316,0.0
,,Queensland,Australia,2021-01-29 05:22:23,-27.4698,153.0251,1308,6,1286,16,"Queensland, Australia",25.5693480598182,0.45871559633027525
,,South Australia,Australia,2021-01-29 05:22:23,-34.9285,138.6007,596,4,592,0,"South Australia, Australia",33.931113008824376,0.6711409395973155
,,Tasmania,Australia,2021-01-29 05:22:23,-42.8821,147.3272,234,13,221,0,"Tasmania, Australia",43.69747899159664,5.555555555555555
