Province/State,Country/Region,CountryAlpha2,CountryAlpha3,M49Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,CN,CHN,Asia,2020-02-11T23:33:02,33366,1068,2639
Guangdong,Mainland China,CN,CHN,Asia,2020-02-11T14:03:05,1177,1,212
Zhejiang,Mainland China,CN,CHN,Asia,2020-02-11T12:53:02,1117,0,270
Henan,Mainland China,CN,CHN,Asia,2020-02-11T14:03:05,1105,7,218
Hunan,Mainland China,CN,CHN,Asia,2020-02-11T12:53:02,912,1,247
Anhui,Mainland China,CN,CHN,Asia,2020-02-11T09:43:02,860,4,105
Jiangxi,Mainland China,CN,CHN,Asia,2020-02-11T14:03:05,804,1,128
Jiangsu,Mainland China,CN,CHN,Asia,2020-02-11T08:13:06,515,0,93
Chongqing,Mainland China,CN,CHN,Asia,2020-02-11T23:53:02,505,3,79
Shandong,Mainland China,CN,CHN,Asia,2020-02-11T11:23:04,487,1,80
Sichuan,Mainland China,CN,CHN,Asia,2020-02-11T11:23:04,417,1,85
Heilongjiang,Mainland China,CN,CHN,Asia,2020-02-11T11:23:04,360,8,28
Beijing,Mainland China,CN,CHN,Asia,2020-02-11T03:03:07,342,3,48
Shanghai,Mainland China,CN,CHN,Asia,2020-02-11T06:23:02,303,1,52
Fujian,Mainland China,CN,CHN,Asia,2020-02-11T14:03:05,267,0,45
Hebei,Mainland China,CN,CHN,Asia,2020-02-11T11:23:04,239,2,48
Shaanxi,Mainland China,CN,CHN,Asia,2020-02-11T06:03:16,219,0,32
Guangxi,Mainland China,CN,CHN,Asia,2020-02-11T11:23:04,215,1,33
Yunnan,Mainland China,CN,CHN,Asia,2020-02-11T09:23:04,153,0,20
Hainan,Mainland China,CN,CHN,Asia,2020-02-11T14:33:02,144,3,20
Diamond Princess cruise ship,Others,,,,2020-02-10T16:03:12,135,0,0
Guizhou,Mainland China,CN,CHN,Asia,2020-02-11T14:03:05,127,1,17
Shanxi,Mainland China,CN,CHN,Asia,2020-02-11T23:33:02,124,0,30
Liaoning,Mainland China,CN,CHN,Asia,2020-02-11T12:53:02,111,0,19
Tianjin,Mainland China,CN,CHN,Asia,2020-02-11T23:13:05,106,2,10
Gansu,Mainland China,CN,CHN,Asia,2020-02-11T15:23:04,86,2,24
Jilin,Mainland China,CN,CHN,Asia,2020-02-11T08:03:06,81,1,18
Inner Mongolia,Mainland China,CN,CHN,Asia,2020-02-10T02:43:05,58,0,5
Xinjiang,Mainland China,CN,CHN,Asia,2020-02-11T09:13:11,55,0,3
Ningxia,Mainland China,CN,CHN,Asia,2020-02-11T10:03:08,53,0,22
Hong Kong,Hong Kong,HK,HKG,Asia,2020-02-11T09:43:02,49,1,0
,Singapore,SG,SGP,Asia,2020-02-11T16:43:06,47,0,9
,Thailand,TH,THA,Asia,2020-02-11T18:43:04,33,0,10
,South Korea,,,,2020-02-11T02:53:02,28,0,3
,Japan,JP,JPN,Asia,2020-02-11T02:53:02,26,0,9
Qinghai,Mainland China,CN,CHN,Asia,2020-02-11T11:23:04,18,0,5
,Malaysia,MY,MYS,Asia,2020-02-11T03:13:13,18,0,3
Taiwan,Taiwan,TW,TWN,,2020-02-09T09:13:11,18,0,1
,Germany,DE,DEU,Europe,2020-02-11T19:33:03,16,0,0
,Vietnam,VN,VNM,Asia,2020-02-11T16:43:06,15,0,6
,France,FR,FRA,Europe,2020-02-08T09:53:01,11,0,0
Macau,Macau,MO,MAC,Asia,2020-02-06T14:23:04,10,0,1
,UK,GB,GBR,Europe,2020-02-10T19:03:02,8,0,0
,United Arab Emirates,,,,2020-02-10T23:03:09,8,0,0
Queensland,Australia,AU,AUS,Oceania,2020-02-09T19:33:02,5,0,0
New South Wales,Australia,AU,AUS,Oceania,2020-02-06T03:13:22,4,0,2
Victoria,Australia,AU,AUS,Oceania,2020-02-01T18:12:49,4,0,0
British Columbia,Canada,CA,CAN,Americas,2020-02-07T05:43:03,4,0,0
,India,IN,IND,Asia,2020-02-03T21:43:02,3,0,0
,Italy,IT,ITA,Europe,2020-02-07T17:53:02,3,0,0
,Philippines,PH,PHL,Asia,2020-02-07T16:43:04,3,1,0
South Australia,Australia,AU,AUS,Oceania,2020-02-02T22:33:07,2,0,0
