Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Admin2,FIPS,Combined_Key,Incident_Rate,People_Tested,People_Hospitalized,UID,ISO3
South Carolina,US,2020-04-18 22:32:47,34.22333378,-82.46170658,15,0,0,15,Abbeville,45001,"Abbeville, South Carolina, US",61.15709218412362,,,84045001,USA
Louisiana,US,2020-04-18 22:32:47,30.295064899999996,-92.41419698,110,7,0,103,Acadia,22001,"Acadia, Louisiana, US",177.2906761221694,,,84022001,USA
Virginia,US,2020-04-18 22:32:47,37.76707161,-75.63234615,33,0,0,33,Accomack,51001,"Accomack, Virginia, US",102.11659858893428,,,84051001,USA
Idaho,US,2020-04-18 22:32:47,43.4526575,-116.24155159999998,593,9,0,584,Ada,16001,"Ada, Idaho, US",123.13455305064298,,,84016001,USA
Iowa,US,2020-04-18 22:32:47,41.33075609,-94.47105874,1,0,0,1,Adair,19001,"Adair, Iowa, US",13.982102908277405,,,84019001,USA
Kentucky,US,2020-04-18 22:32:47,37.10459774,-85.28129668,47,3,0,44,Adair,21001,"Adair, Kentucky, US",244.76617019060515,,,84021001,USA
Missouri,US,2020-04-18 22:32:47,40.19058551,-92.60078167,12,0,0,12,Adair,29001,"Adair, Missouri, US",47.350353154717276,,,84029001,USA
Oklahoma,US,2020-04-18 22:32:47,35.88494195,-94.65859267,29,3,0,26,Adair,40001,"Adair, Oklahoma, US",130.6659457511039,,,84040001,USA
Colorado,US,2020-04-18 22:32:47,39.87432092,-104.3362578,860,31,0,829,Adams,8001,"Adams, Colorado, US",166.2089478393803,,,84008001,USA
Idaho,US,2020-04-18 22:32:47,44.89333571,-116.4545247,1,0,0,1,Adams,16003,"Adams, Idaho, US",23.28830926874709,,,84016003,USA
Illinois,US,2020-04-18 22:32:47,39.98815591,-91.18786813,31,0,0,31,Adams,17001,"Adams, Illinois, US",47.375257889508674,,,84017001,USA
Indiana,US,2020-04-18 22:32:47,40.7457653,-84.93671406,7,1,0,6,Adams,18001,"Adams, Indiana, US",19.565642731363724,,,84018001,USA
Mississippi,US,2020-04-18 22:32:47,31.47669768,-91.35326037,73,6,0,67,Adams,28001,"Adams, Mississippi, US",237.83924673378294,,,84028001,USA
Nebraska,US,2020-04-18 22:32:47,40.52449420000001,-98.50117804,85,0,0,85,Adams,31001,"Adams, Nebraska, US",271.01999170997675,,,84031001,USA
Ohio,US,2020-04-18 22:32:47,38.84541072,-83.4718964,3,0,0,3,Adams,39001,"Adams, Ohio, US",10.83110693912918,,,84039001,USA
Pennsylvania,US,2020-04-18 22:32:47,39.87140411,-77.21610347,74,1,0,73,Adams,42001,"Adams, Pennsylvania, US",71.8383830539079,,,84042001,USA
Washington,US,2020-04-18 22:32:47,46.98299757,-118.56017340000001,40,0,0,40,Adams,53001,"Adams, Washington, US",200.17014462292948,,,84053001,USA
Wisconsin,US,2020-04-18 22:32:47,43.96974651,-89.76782777,4,1,0,3,Adams,55001,"Adams, Wisconsin, US",19.782393669634025,,,84055001,USA
Vermont,US,2020-04-18 22:32:47,44.03217337,-73.14130877,61,2,0,59,Addison,50001,"Addison, Vermont, US",165.8645348995296,,,84050001,USA
South Carolina,US,2020-04-18 22:32:47,33.54338026,-81.63645384,67,4,0,63,Aiken,45003,"Aiken, South Carolina, US",39.2106372021162,,,84045003,USA
Minnesota,US,2020-04-18 22:32:47,46.60962049,-93.41168259999999,1,0,0,1,Aitkin,27001,"Aitkin, Minnesota, US",6.2948508120357545,,,84027001,USA
Florida,US,2020-04-18 22:32:47,29.67866525,-82.35928158,205,0,0,205,Alachua,12001,"Alachua, Florida, US",76.19599840917623,,,84012001,USA
North Carolina,US,2020-04-18 22:32:47,36.0434701,-79.39976137,48,0,0,48,Alamance,37001,"Alamance, North Carolina, US",28.31708050899952,,,84037001,USA
California,US,2020-04-18 22:32:47,37.64629437,-121.8929271,1114,41,0,1073,Alameda,6001,"Alameda, California, US",66.65354337775507,,,84006001,USA
Colorado,US,2020-04-18 22:32:47,37.57250606,-105.7885451,7,2,0,5,Alamosa,8003,"Alamosa, Colorado, US",43.12203536006899,,,84008003,USA
New York,US,2020-04-18 22:32:47,42.60060306,-73.97723916,648,20,0,628,Albany,36001,"Albany, New York, US",212.10712719226464,,,84036001,USA
Wyoming,US,2020-04-18 22:32:47,41.65498705,-105.72354150000001,6,0,0,6,Albany,56001,"Albany, Wyoming, US",15.432098765432098,,,84056001,USA
Virginia,US,2020-04-18 22:32:47,38.02080697,-78.55481085,56,0,0,56,Albemarle,51003,"Albemarle, Virginia, US",51.22107381322601,,,84051003,USA
Michigan,US,2020-04-18 22:32:47,44.6846864,-83.59507875,1,0,0,1,Alcona,26001,"Alcona, Michigan, US",9.61076405574243,,,84026001,USA
Mississippi,US,2020-04-18 22:32:47,34.88084463,-88.57996173,7,0,0,7,Alcorn,28003,"Alcorn, Mississippi, US",18.942981625307823,,,84028003,USA
Illinois,US,2020-04-18 22:32:47,37.18049267,-89.32910838,1,0,0,1,Alexander,17003,"Alexander, Illinois, US",17.358097552508244,,,84017003,USA
North Carolina,US,2020-04-18 22:32:47,35.922379600000006,-81.17751948,3,0,0,3,Alexander,37003,"Alexander, North Carolina, US",8.000640051204096,,,84037003,USA
Virginia,US,2020-04-18 22:32:47,38.814003,-77.08183073,354,7,0,347,Alexandria,51510,"Alexandria, Virginia, US",222.04380660862583,,,84051510,USA
Oklahoma,US,2020-04-18 22:32:47,36.73090616,-98.32408495,1,0,0,1,Alfalfa,40003,"Alfalfa, Oklahoma, US",17.5377060680463,,,84040003,USA
Iowa,US,2020-04-18 22:32:47,43.28383218,-91.37860922,34,3,0,31,Allamakee,19005,"Allamakee, Iowa, US",248.41090085482574,,,84019005,USA
Michigan,US,2020-04-18 22:32:47,42.59147037,-85.89102866,33,0,0,33,Allegan,26005,"Allegan, Michigan, US",27.946917793717873,,,84026005,USA
Maryland,US,2020-04-18 22:32:47,39.62357628,-78.69280486,33,1,0,32,Allegany,24001,"Allegany, Maryland, US",46.864349011588274,,,84024001,USA
New York,US,2020-04-18 22:32:47,42.25748406,-78.02750466,30,1,0,29,Allegany,36003,"Allegany, New York, US",65.08862901651082,,,84036003,USA
North Carolina,US,2020-04-18 22:32:47,36.49360862,-81.12857041,2,0,0,2,Alleghany,37005,"Alleghany, North Carolina, US",17.958157493041213,,,84037005,USA
Virginia,US,2020-04-18 22:32:47,37.78636074,-80.00222498,4,0,0,4,Alleghany,51005,"Alleghany, Virginia, US",26.917900403768506,,,84051005,USA
Pennsylvania,US,2020-04-18 22:32:47,40.46809875,-79.98167747,1009,47,0,962,Allegheny,42003,"Allegheny, Pennsylvania, US",82.97390310391474,,,84042003,USA
Indiana,US,2020-04-18 22:32:47,41.09194313,-85.06800636,293,16,0,277,Allen,18003,"Allen, Indiana, US",77.24776495587913,,,84018003,USA
Kentucky,US,2020-04-18 22:32:47,36.75197631,-86.19457544,4,0,0,4,Allen,21003,"Allen, Kentucky, US",18.766127140511376,,,84021003,USA
Louisiana,US,2020-04-18 22:32:47,30.65385745,-92.82442028,79,9,0,70,Allen,22003,"Allen, Louisiana, US",308.2686229367464,,,84022003,USA
Ohio,US,2020-04-18 22:32:47,40.77285242,-84.10802343,70,11,0,59,Allen,39003,"Allen, Ohio, US",68.39210168928491,,,84039003,USA
South Carolina,US,2020-04-18 22:32:47,32.98837386,-81.35321066,6,0,0,6,Allendale,45005,"Allendale, South Carolina, US",69.06077348066299,,,84045005,USA
Michigan,US,2020-04-18 22:32:47,45.03477666,-83.62212411,2,1,0,1,Alpena,26007,"Alpena, Michigan, US",7.041013906002465,,,84026007,USA
California,US,2020-04-18 22:32:47,38.59678594,-119.82235940000001,2,0,0,2,Alpine,6003,"Alpine, California, US",177.14791851195747,,,84006003,USA
California,US,2020-04-18 22:32:47,38.44583082,-120.65696000000001,7,0,0,7,Amador,6005,"Amador, California, US",17.609176896759912,,,84006005,USA
Virginia,US,2020-04-18 22:32:47,37.34081025,-77.98584649,13,0,0,13,Amelia,51007,"Amelia, Virginia, US",98.89691898060099,,,84051007,USA
Virginia,US,2020-04-18 22:32:47,37.60308293,-79.14548696,10,0,0,10,Amherst,51009,"Amherst, Virginia, US",31.640563202024996,,,84051009,USA
Mississippi,US,2020-04-18 22:32:47,31.17467303,-90.80501621,16,1,0,15,Amite,28005,"Amite, Mississippi, US",130.11303569976417,,,84028005,USA
Alaska,US,2020-04-18 22:32:47,61.14998174,-149.14269860000005,151,4,0,147,Anchorage,2020,"Anchorage, Alaska, US",52.43055555555556,,,84002020,USA
Kansas,US,2020-04-18 22:32:47,38.21413251,-95.29272815,0,0,0,0,Anderson,20003,"Anderson, Kansas, US",0.0,,,84020003,USA
Kentucky,US,2020-04-18 22:32:47,38.00671029,-84.99171713,7,1,0,6,Anderson,21005,"Anderson, Kentucky, US",30.77328878533433,,,84021005,USA
South Carolina,US,2020-04-18 22:32:47,34.51828081,-82.63959517,133,5,0,128,Anderson,45007,"Anderson, South Carolina, US",65.66020596569871,,,84045007,USA
