FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
,,,Afghanistan,2020-10-01 04:23:42,33.93911,67.709953,39268,1458,32789,5021,Afghanistan,100.87252369680999,3.7129469287969847
,,,Albania,2020-10-01 04:23:42,41.1533,20.1683,13649,387,7847,5415,Albania,474.2859128500938,2.8353725547659168
,,,Algeria,2020-10-01 04:23:42,28.0339,1.6596,51530,1736,36174,13620,Algeria,117.51145805129423,3.3689113137977875
,,,Andorra,2020-10-01 04:23:42,42.5063,1.5218,2050,53,1432,565,Andorra,2653.206497120301,2.5853658536585367
,,,Angola,2020-10-01 04:23:42,-11.2027,17.8739,4972,183,1941,2848,Angola,15.12797254619843,3.680611423974256
,,,Antigua and Barbuda,2020-10-01 04:23:42,17.0608,-61.7964,101,3,92,6,Antigua and Barbuda,103.13699861122456,2.9702970297029703
,,,Argentina,2020-10-01 04:23:42,-38.4161,-63.6167,751001,16937,594645,139419,Argentina,1661.6618849146014,2.255256650790079
,,,Armenia,2020-10-01 04:23:42,40.0691,45.0382,50359,959,44001,5399,Armenia,1699.4607918240679,1.9043269326237613
,,Australian Capital Territory,Australia,2020-10-01 04:23:42,-35.4735,149.0124,113,3,110,0,"Australian Capital Territory, Australia",26.395701938799345,2.6548672566371683
,,New South Wales,Australia,2020-10-01 04:23:42,-33.8688,151.2093,4227,53,3129,1045,"New South Wales, Australia",52.069475240206955,1.2538443340430565
,,Northern Territory,Australia,2020-10-01 04:23:42,-12.4634,130.8456,33,0,33,0,"Northern Territory, Australia",13.436482084690551,0.0
,,Queensland,Australia,2020-10-01 04:23:42,-27.4698,153.0251,1157,6,1143,8,"Queensland, Australia",22.61753494282084,0.5185825410544511
,,South Australia,Australia,2020-10-01 04:23:42,-34.9285,138.6007,468,4,464,0,"South Australia, Australia",26.643894107600346,0.8547008547008547
,,Tasmania,Australia,2020-10-01 04:23:42,-42.8821,147.3272,230,13,217,0,"Tasmania, Australia",42.95051353874883,5.6521739130434785
,,Victoria,Australia,2020-10-01 04:23:42,-37.8136,144.9631,20183,800,19034,349,"Victoria, Australia",304.4238977963469,3.963731853540108
,,Western Australia,Australia,2020-10-01 04:23:42,-31.9505,115.8605,685,9,654,22,"Western Australia, Australia",26.03968676347601,1.313868613138686
,,,Austria,2020-10-01 04:23:42,47.5162,14.5501,44813,799,35644,8370,Austria,497.5683958074258,1.782964764688818
,,,Azerbaijan,2020-10-01 04:23:42,40.1431,47.5769,40229,591,37954,1684,Azerbaijan,396.76798161586123,1.469089462825325
,,,Bahamas,2020-10-01 04:23:42,25.025885,-78.035889,4123,96,2206,1821,Bahamas,1048.4477988444949,2.3284016492845017
,,,Bahrain,2020-10-01 04:23:42,26.0275,50.55,70864,251,64838,5775,Bahrain,4164.592617580218,0.3541995935877173
,,,Bangladesh,2020-10-01 04:23:42,23.685,90.3563,363479,5251,275487,82741,Bangladesh,220.70578769488742,1.4446501723620897
,,,Barbados,2020-10-01 04:23:42,13.1939,-59.5432,190,7,179,4,Barbados,66.11662276290927,3.6842105263157894
,,,Belarus,2020-10-01 04:23:42,53.7098,27.9534,78631,833,74525,3273,Belarus,832.1338644332222,1.0593786165761596
,,,Belgium,2020-10-01 04:23:42,50.8333,4.469936,118452,10016,19454,88982,Belgium,1022.0528445463594,8.455745787323135
,,,Belize,2020-10-01 04:23:42,17.1899,-88.4976,1992,27,1246,719,Belize,500.9795760284291,1.355421686746988
,,,Benin,2020-10-01 04:23:42,9.3077,2.3158,2357,41,1973,343,Benin,19.442064709328346,1.7394993635977938
,,,Bhutan,2020-10-01 04:23:42,27.5142,90.4336,282,0,222,60,Bhutan,36.54686552308672,0.0
,,,Bolivia,2020-10-01 04:23:42,-16.2902,-63.5887,135311,7965,95529,31817,Bolivia,1159.176422846204,5.886439387780742
,,,Bosnia and Herzegovina,2020-10-01 04:23:42,43.9159,17.6791,27469,856,20616,5997,Bosnia and Herzegovina,837.2614731400583,3.1162401252320797
,,,Botswana,2020-10-01 04:23:42,-22.3285,24.6849,3172,16,710,2446,Botswana,134.8854515494605,0.5044136191677175
,,Acre,Brazil,2020-10-01 04:23:42,-9.0238,-70.812,28222,659,25041,2522,"Acre, Brazil",3200.00907096328,2.3350577563602863
,,Alagoas,Brazil,2020-10-01 04:23:42,-9.5713,-36.782,86879,2072,83608,1199,"Alagoas, Brazil",2603.2276439110346,2.3849261616731314
,,Amapa,Brazil,2020-10-01 04:23:42,0.902,-52.003,48254,709,36098,11447,"Amapa, Brazil",5705.596696822038,1.4693082438761553
,,Amazonas,Brazil,2020-10-01 04:23:42,-3.4168,-65.8561,139326,4156,116119,19051,"Amazonas, Brazil",3361.6296107920753,2.982932116044385
,,Bahia,Brazil,2020-10-01 04:23:42,-12.5797,-41.7007,310526,6744,296207,7575,"Bahia, Brazil",2087.8414830999177,2.1717988187784596
,,Ceara,Brazil,2020-10-01 04:23:42,-5.4984,-39.3206,241159,8994,214221,17944,"Ceara, Brazil",2640.7899713515367,3.729489672788492
,,Distrito Federal,Brazil,2020-10-01 04:23:42,-15.7998,-47.8645,192245,3255,181308,7682,"Distrito Federal, Brazil",6375.71850993013,1.6931519675414186
,,Espirito Santo,Brazil,2020-10-01 04:23:42,-19.1834,-40.3089,131490,3545,121026,6919,"Espirito Santo, Brazil",3271.9943264529134,2.696022511217583
,,Goias,Brazil,2020-10-01 04:23:42,-15.827,-49.8362,209411,4672,199091,5648,"Goias, Brazil",2983.762289562481,2.231019382935949
,,Maranhao,Brazil,2020-10-01 04:23:42,-4.9609,-45.2744,173564,3756,163892,5916,"Maranhao, Brazil",2453.138654686007,2.164043234772188
,,Mato Grosso,Brazil,2020-10-01 04:23:42,-12.6819,-56.9211,123416,3406,104661,15349,"Mato Grosso, Brazil",3541.891354371086,2.7597718286121733
,,Mato Grosso do Sul,Brazil,2020-10-01 04:23:42,-20.7722,-54.7852,69706,1303,63288,5115,"Mato Grosso do Sul, Brazil",2508.324978967149,1.8692795455197544
,,Minas Gerais,Brazil,2020-10-01 04:23:42,-18.5122,-44.555,295169,7360,260674,27135,"Minas Gerais, Brazil",1394.359271627747,2.493486782148532
,,Para,Brazil,2020-10-01 04:23:42,-1.9981,-54.9306,230449,6573,215527,8349,"Para, Brazil",2678.7471383079933,2.8522579833281982
,,Paraiba,Brazil,2020-10-01 04:23:42,-7.24,-36.782,121267,2824,96044,22399,"Paraiba, Brazil",3017.9981867173437,2.328745660402253
,,Parana,Brazil,2020-10-01 04:23:42,-25.2521,-52.0215,178898,4485,130644,43769,"Parana, Brazil",1564.6201922921348,2.5070151706559045
,,Pernambuco,Brazil,2020-10-01 04:23:42,-8.8137,-36.9541,147171,8251,127590,11330,"Pernambuco, Brazil",1539.9174077497173,5.606403435459431
,,Piaui,Brazil,2020-10-01 04:23:42,-7.7183,-42.7289,96086,2127,94235,-276,"Piaui, Brazil",2935.512874603564,2.213641945756926
,,Rio Grande do Norte,Brazil,2020-10-01 04:23:42,-5.4026,-36.9541,69433,2393,40400,26640,"Rio Grande do Norte, Brazil",1979.9233101587088,3.4464879812193048
,,Rio Grande do Sul,Brazil,2020-10-01 04:23:42,-30.0346,-51.2177,190572,4782,176768,9022,"Rio Grande do Sul, Brazil",1675.0285372400103,2.509287828222404
