FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_, Confirmed , Deaths , Recovered ,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
,,,Afghanistan,2020/11/04 5:25,33.93911,67.709953,41728,1544,34355,5829,Afghanistan,107.1918272,3.700153374
,,,Albania,2020/11/04 5:25,41.1533,20.1683,21904,532,11473,9899,Albania,761.1369796,2.428780131
,,,Algeria,2020/11/04 5:25,28.0339,1.6596,58979,1980,40577,16422,Algeria,134.4985112,3.357127113
,,,Andorra,2020/11/04 5:25,42.5063,1.5218,4910,75,3627,1208,Andorra,6354.753122,1.527494908
,,,Angola,2020/11/04 5:25,-11.2027,17.8739,11577,291,5230,6056,Angola,35.2245652,2.513604561
,,,Antigua and Barbuda,2020/11/04 5:25,17.0608,-61.7964,128,3,117,8,Antigua and Barbuda,130.7082755,2.34375
,,,Argentina,2020/11/04 5:25,-38.4161,-63.6167,1195276,32052,1009278,153946,Argentina,2644.663018,2.681556394
,,,Armenia,2020/11/04 5:25,40.0691,45.0382,94776,1413,57599,35764,Armenia,3198.397427,1.490883768
,,Australian Capital Territory,Australia,2020/11/04 5:25,-35.4735,149.0124,114,3,111,0,"Australian Capital Territory, Australia",26.62929222,2.631578947
,,New South Wales,Australia,2020/11/04 5:25,-33.8688,151.2093,4443,53,3150,1240,"New South Wales, Australia",54.73022912,1.192887688
,,Northern Territory,Australia,2020/11/04 5:25,-12.4634,130.8456,38, -   ,33,5,"Northern Territory, Australia",15.4723127,0
,,Queensland,Australia,2020/11/04 5:25,-27.4698,153.0251,1177,6,1165,6,"Queensland, Australia",23.00850357,0.509770603
,,South Australia,Australia,2020/11/04 5:25,-34.9285,138.6007,504,4,487,13,"South Australia, Australia",28.69342442,0.793650794
,,Tasmania,Australia,2020/11/04 5:25,-42.8821,147.3272,230,13,217,0,"Tasmania, Australia",42.95051354,5.652173913
,,Victoria,Australia,2020/11/04 5:25,-37.8136,144.9631,20345,819,19496,30,"Victoria, Australia",306.8673736,4.025559105
,,Western Australia,Australia,2020/11/04 5:25,-31.9505,115.8605,771,9,748,14,"Western Australia, Australia",29.30890291,1.167315175
,,,Austria,2020/11/04 5:25,47.5162,14.5501,118198,1192,74292,42714,Austria,1312.377865,1.008477301
,,,Azerbaijan,2020/11/04 5:25,40.1431,47.5769,58282,768,45030,12484,Azerbaijan,574.8199434,1.317731032
,,,Bahamas,2020/11/04 5:25,25.025885,-78.035889,6790,149,4632,2009,Bahamas,1726.645781,2.194403535
,,,Bahrain,2020/11/04 5:25,26.0275,50.55,82363,324,79680,2359,Bahrain,4840.37511,0.393380523
,,,Bangladesh,2020/11/04 5:25,23.685,90.3563,412647,5983,329787,76877,Bangladesh,250.5607784,1.449907548
,,,Barbados,2020/11/04 5:25,13.1939,-59.5432,238,7,222,9,Barbados,82.81976957,2.941176471
,,,Belarus,2020/11/04 5:25,53.7098,27.9534,101329,992,87985,12352,Belarus,1072.3416,0.978989233
