Country/Region,R90,R95,R80,,,
1/22/2020,1.00,1.00,1.00,,,
1/23/2020,1.00,1.00,1.00,,,
1/24/2020,2.00,2.00,2.00,,,
1/25/2020,2.00,2.00,2.00,,,
1/26/2020,5.00,5.00,5.00,,,
1/27/2020,5.00,5.00,5.00,,,
1/28/2020,5.00,5.00,5.00,,,
1/29/2020,5.00,5.00,5.00,5000,5000,
1/30/2020,5.00,5.00,5.00,5000,5000,
1/31/2020,7.00,7.00,7.00,3500,3500,
2/1/2020,8.00,8.00,8.00,4000,4000,
2/2/2020,8.00,8.00,8.00,1600,1600,
2/3/2020,11.00,11.00,11.00,2200,2200,
2/4/2020,11.00,11.00,11.00,2200,2200,
2/5/2020,11.00,11.00,11.00,2200,2200,
2/6/2020,11.00,11.00,11.00,2200,2200,
2/7/2020,11.00,11.00,11.00,1571.428571,1571.428571,
2/8/2020,11.00,11.00,11.00,1375,1375,
2/9/2020,11.00,11.00,11.00,1375,1375,
2/10/2020,11.00,11.00,11.00,1000,1000,
2/11/2020,12.00,12.00,12.00,1090.909091,1090.909091,
2/12/2020,12.00,12.00,12.00,1090.909091,1090.909091,
2/13/2020,13.00,13.00,13.00,1181.818182,1181.818182,
2/14/2020,13.00,13.00,13.00,1181.818182,1181.818182,
2/15/2020,13.00,13.00,13.00,1181.818182,1181.818182,
2/16/2020,13.00,13.00,13.00,1181.818182,1181.818182,
2/17/2020,13.00,13.00,13.00,1181.818182,1181.818182,
2/18/2020,13.00,13.00,13.00,1083.333333,1083.333333,
2/19/2020,13.00,13.00,13.00,1083.333333,1083.333333,
2/20/2020,13.00,13.00,13.00,1000,1000,
2/21/2020,15.00,15.00,15.00,1153.846154,1153.846154,
2/22/2020,15.00,15.00,15.00,1153.846154,1153.846154,
2/23/2020,15.00,15.00,15.00,1153.846154,1153.846154,
2/24/2020,51.00,51.00,51.00,3923.076923,3923.076923,
2/25/2020,51.00,51.00,51.00,3923.076923,3923.076923,
2/26/2020,57.00,57.00,57.00,4384.615385,4384.615385,
2/27/2020,58.00,58.00,58.00,4461.538462,4461.538462,
2/28/2020,60.00,60.00,60.00,4000,4000,
2/29/2020,68.00,68.00,68.00,4533.333333,4533.333333,
3/1/2020,74.00,74.00,74.00,4933.333333,4933.333333,
3/2/2020,98.00,98.00,98.00,1921.568627,1921.568627,
3/3/2020,118.00,118.00,118.00,2313.72549,2313.72549,
3/4/2020,149.00,149.00,149.00,2614.035088,2614.035088,
3/5/2020,217.00,217.00,217.00,3741.37931,3741.37931,
3/6/2020,262.00,262.00,262.00,4366.666667,4366.666667,
3/7/2020,402.00,402.00,402.00,5911.764706,5911.764706,
3/8/2020,518.00,518.00,518.00,7000,7000,
3/9/2020,583.00,583.00,583.00,5948.979592,5948.979592,
3/10/2020,959.00,959.00,959.00,8127.118644,8127.118644,
3/11/2020,"1,281.00","1,281.00","1,281.00",8597.315436,8597.315436,
3/12/2020,"1,663.00","1,663.00","1,663.00",7663.59447,7663.59447,
3/13/2020,"2,179.00","2,179.00","2,179.00",8316.793893,8316.793893,
3/14/2020,"2,727.00","2,727.00","2,727.00",6783.58209,6783.58209,
3/15/2020,"3,499.00","3,499.00","3,499.00",6754.826255,6754.826255,
3/16/2020,"4,632.00","4,632.00","4,632.00",7945.111492,7945.111492,
3/17/2020,"6,421.00","6,421.00","6,421.00",6695.516163,6695.516163,
3/18/2020,"7,783.00","7,783.00","7,783.00",6075.722092,6075.722092,6075.722092
3/19/2020,"10,103.93","10,103.93","10,103.93",5468.149883,5771.935988,4860.577674
3/20/2020,"11,915.10","12,577.05","10,591.20",4921.334895,5194.742389,4374.519906
3/21/2020,"13,420.48","14,166.06","11,929.32",4429.201405,4675.26815,3937.067916
3/22/2020,"15,497.78","16,358.76","13,775.80",3986.281265,4207.741335,3543.361124
3/23/2020,"18,464.45","19,490.26","16,412.85",3587.653138,3786.967201,3189.025012
3/24/2020,"23,036.32","24,316.12","20,476.73",3228.887824,3408.270481,2870.122511
3/25/2020,"25,130.43","26,526.57","22,338.16",2905.999042,3067.443433,2583.110259
3/26/2020,"29,362.00","30,993.22","26,099.55",2615.399138,2760.69909,2324.799234
3/27/2020,"31,162.74","34,721.45","24,622.41",2353.859224,2484.629181,2092.31931
3/28/2020,"31,589.92","35,197.41","24,959.94",2118.473302,2236.166263,1883.087379
3/29/2020,"32,831.62","36,580.91","25,941.04",1906.625971,2012.549636,1694.778641
3/30/2020,"35,204.81","39,225.11","27,816.15",1715.963374,1811.294673,1525.300777
3/31/2020,"39,529.48","44,043.65","31,233.17",1544.367037,1630.165206,1372.770699
4/1/2020,"38,810.61","43,242.69","30,665.18",1389.930333,1467.148685,1235.493629
4/2/2020,"40,811.13","45,471.66","32,245.83",1250.9373,1320.433816,1111.944267
4/3/2020,"38,982.63","45,847.37","27,378.75",1125.84357,1188.390435,1000.74984
4/4/2020,"35,565.31","41,828.27","24,978.65",1013.259213,1069.551391,900.6748559
4/5/2020,"33,266.95","39,125.17","23,364.44",911.9332916,962.5962522,810.6073703
4/6/2020,"32,104.44","37,757.95","22,547.97",820.7399624,866.336627,729.5466333
4/7/2020,"32,443.43","38,156.63","22,786.06",738.6659662,779.7029643,656.5919699
4/8/2020,"28,668.08","33,716.45","20,134.51",664.7993696,701.7326679,590.9327729
4/9/2020,"27,131.22","31,908.95","19,055.12",598.3194326,631.5594011,531.8394957
4/10/2020,"23,324.07","28,955.34","14,561.10",538.4874893,568.403461,478.6555461
4/11/2020,"19,151.47","23,775.33","11,956.17",484.6387404,511.5631149,430.7899915
4/12/2020,"16,122.45","20,014.99","10,065.17",436.1748664,460.4068034,387.7109923
