country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
AF,Afghanistan,,,,,,2020-02-15,-9,-10,0,-2,-28,5
AF,Afghanistan,,,,,,2020-02-16,3,11,1,10,4,0
AF,Afghanistan,,,,,,2020-02-17,6,11,2,9,5,-1
AF,Afghanistan,,,,,,2020-02-18,3,5,3,9,6,-1
AF,Afghanistan,,,,,,2020-02-19,-1,3,1,0,5,1
AF,Afghanistan,,,,,,2020-02-20,-2,3,-1,4,6,1
AF,Afghanistan,,,,,,2020-02-21,0,9,4,7,6,0
AF,Afghanistan,,,,,,2020-02-22,2,5,6,7,6,0
AF,Afghanistan,,,,,,2020-02-23,2,6,2,7,6,1
AF,Afghanistan,,,,,,2020-02-24,3,13,4,9,7,0
AF,Afghanistan,,,,,,2020-02-25,2,5,1,9,7,0
AF,Afghanistan,,,,,,2020-02-26,-1,5,2,3,5,1
AF,Afghanistan,,,,,,2020-02-27,-1,0,1,3,7,2
AF,Afghanistan,,,,,,2020-02-28,-2,5,1,4,5,2
AF,Afghanistan,,,,,,2020-02-29,-1,1,0,4,6,1
AF,Afghanistan,,,,,,2020-03-01,3,10,2,10,9,0
AF,Afghanistan,,,,,,2020-03-02,5,7,3,8,8,-1
AF,Afghanistan,,,,,,2020-03-03,3,6,2,7,8,0
AF,Afghanistan,,,,,,2020-03-04,-2,4,1,-1,7,1
AF,Afghanistan,,,,,,2020-03-05,3,5,2,4,10,1
AF,Afghanistan,,,,,,2020-03-06,3,9,8,4,8,1
AF,Afghanistan,,,,,,2020-03-07,0,5,4,4,7,1
AF,Afghanistan,,,,,,2020-03-08,5,8,4,7,7,0
AF,Afghanistan,,,,,,2020-03-09,-15,-10,-4,-9,-22,6
AF,Afghanistan,,,,,,2020-03-10,0,0,1,6,6,1
AF,Afghanistan,,,,,,2020-03-11,2,-1,2,0,3,1
AF,Afghanistan,,,,,,2020-03-12,1,-4,1,-2,6,1
AF,Afghanistan,,,,,,2020-03-13,3,9,6,4,5,0
AF,Afghanistan,,,,,,2020-03-14,6,2,5,5,3,0
AF,Afghanistan,,,,,,2020-03-15,1,12,5,6,3,0
AF,Afghanistan,,,,,,2020-03-16,1,14,2,4,1,1
AF,Afghanistan,,,,,,2020-03-17,0,6,3,-3,1,0
AF,Afghanistan,,,,,,2020-03-18,0,7,5,-6,-1,1
AF,Afghanistan,,,,,,2020-03-19,-3,3,5,-6,-2,2
AF,Afghanistan,,,,,,2020-03-20,-15,1,7,-19,-7,1
AF,Afghanistan,,,,,,2020-03-21,-23,-13,1,-24,-36,6
AF,Afghanistan,,,,,,2020-03-22,-12,9,-2,-14,-6,1
