country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
AG,Antigua and Barbuda,,,,,,2020-02-15,-6,-1,-6,-1,0,3
AG,Antigua and Barbuda,,,,,,2020-02-16,-7,-2,0,3,3,
AG,Antigua and Barbuda,,,,,,2020-02-17,0,-3,3,-3,0,3
AG,Antigua and Barbuda,,,,,,2020-02-18,-1,-6,3,5,5,1
AG,Antigua and Barbuda,,,,,,2020-02-19,-2,-1,1,0,2,1
AG,Antigua and Barbuda,,,,,,2020-02-20,1,-2,0,-2,-1,1
AG,Antigua and Barbuda,,,,,,2020-02-21,-2,1,2,-2,-9,3
AG,Antigua and Barbuda,,,,,,2020-02-22,-5,0,7,-4,5,0
AG,Antigua and Barbuda,,,,,,2020-02-23,1,3,14,-7,-1,
AG,Antigua and Barbuda,,,,,,2020-02-24,-6,1,-1,-5,1,1
AG,Antigua and Barbuda,,,,,,2020-02-25,1,0,1,-3,2,1
AG,Antigua and Barbuda,,,,,,2020-02-26,-5,1,-3,-10,2,2
AG,Antigua and Barbuda,,,,,,2020-02-27,2,1,0,2,0,1
AG,Antigua and Barbuda,,,,,,2020-02-28,4,4,5,13,3,0
AG,Antigua and Barbuda,,,,,,2020-02-29,5,7,7,8,6,-1
AG,Antigua and Barbuda,,,,,,2020-03-01,3,9,12,9,2,
AG,Antigua and Barbuda,,,,,,2020-03-02,8,8,8,11,2,0
AG,Antigua and Barbuda,,,,,,2020-03-03,6,5,3,-1,3,1
AG,Antigua and Barbuda,,,,,,2020-03-04,3,4,4,1,2,0
AG,Antigua and Barbuda,,,,,,2020-03-05,5,4,3,0,2,2
AG,Antigua and Barbuda,,,,,,2020-03-06,0,8,-1,5,5,0
AG,Antigua and Barbuda,,,,,,2020-03-07,1,6,5,6,7,0
AG,Antigua and Barbuda,,,,,,2020-03-08,3,2,13,3,1,
AG,Antigua and Barbuda,,,,,,2020-03-09,-4,4,1,-3,2,1
AG,Antigua and Barbuda,,,,,,2020-03-10,5,4,1,0,4,1
AG,Antigua and Barbuda,,,,,,2020-03-11,-2,9,2,-7,5,0
AG,Antigua and Barbuda,,,,,,2020-03-12,7,14,6,-5,2,1
AG,Antigua and Barbuda,,,,,,2020-03-13,0,19,0,4,5,0
AG,Antigua and Barbuda,,,,,,2020-03-14,-11,2,-4,-10,1,4
AG,Antigua and Barbuda,,,,,,2020-03-15,-12,-2,-10,-10,-7,
AG,Antigua and Barbuda,,,,,,2020-03-16,-15,-5,-8,-10,-15,9
AG,Antigua and Barbuda,,,,,,2020-03-17,-19,-7,-16,-18,-15,11
AG,Antigua and Barbuda,,,,,,2020-03-18,-20,-9,-14,-19,-19,10
AG,Antigua and Barbuda,,,,,,2020-03-19,-18,-3,-15,-20,-21,12
AG,Antigua and Barbuda,,,,,,2020-03-20,-19,-2,-18,-18,-20,13
AG,Antigua and Barbuda,,,,,,2020-03-21,-24,0,-17,-26,-13,
AG,Antigua and Barbuda,,,,,,2020-03-22,-38,-18,-29,-39,-22,
AG,Antigua and Barbuda,,,,,,2020-03-23,-24,-14,-22,-27,-26,14
AG,Antigua and Barbuda,,,,,,2020-03-24,-29,-9,-31,-30,-28,17
AG,Antigua and Barbuda,,,,,,2020-03-25,-23,-5,-24,-35,-27,14
AG,Antigua and Barbuda,,,,,,2020-03-26,-25,-8,-25,-31,-31,17
AG,Antigua and Barbuda,,,,,,2020-03-27,-22,2,-22,-36,-29,17
AG,Antigua and Barbuda,,,,,,2020-03-28,-35,-7,-29,-54,-37,
AG,Antigua and Barbuda,,,,,,2020-03-29,-46,-21,-30,-67,-48,
AG,Antigua and Barbuda,,,,,,2020-03-30,-39,-15,-29,-47,-44,23
AG,Antigua and Barbuda,,,,,,2020-03-31,-32,3,-27,-51,-48,22
AG,Antigua and Barbuda,,,,,,2020-04-01,-25,15,-19,-49,-53,16
AG,Antigua and Barbuda,,,,,,2020-04-02,-87,-75,-75,-89,-82,
AG,Antigua and Barbuda,,,,,,2020-04-03,-86,-68,-70,-86,-81,
AG,Antigua and Barbuda,,,,,,2020-04-04,-82,-63,-67,-86,-73,
AG,Antigua and Barbuda,,,,,,2020-04-05,-78,-55,-65,-83,-66,
AG,Antigua and Barbuda,,,,,,2020-04-06,-80,-59,-61,-84,-80,
AG,Antigua and Barbuda,,,,,,2020-04-07,-78,-53,-61,-84,-79,
AG,Antigua and Barbuda,,,,,,2020-04-08,-78,-50,-61,-82,-79,
