country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
AT,Austria,,,,,,2020-02-15,9,1,42,13,0,-2
AT,Austria,,,,,,2020-02-16,15,21,42,12,1,-2
AT,Austria,,,,,,2020-02-17,9,5,35,3,-4,0
AT,Austria,,,,,,2020-02-18,8,5,40,2,-4,0
AT,Austria,,,,,,2020-02-19,4,2,10,-1,-5,1
AT,Austria,,,,,,2020-02-20,4,1,13,2,-5,0
AT,Austria,,,,,,2020-02-21,1,4,7,-2,-5,1
AT,Austria,,,,,,2020-02-22,9,3,52,14,2,-2
AT,Austria,,,,,,2020-02-23,4,23,4,5,2,0
AT,Austria,,,,,,2020-02-24,9,10,25,3,2,-1
AT,Austria,,,,,,2020-02-25,13,10,60,7,0,0
AT,Austria,,,,,,2020-02-26,-3,10,8,-2,0,1
AT,Austria,,,,,,2020-02-27,1,7,9,0,1,1
AT,Austria,,,,,,2020-02-28,-1,9,-1,-2,1,1
AT,Austria,,,,,,2020-02-29,2,3,9,0,1,0
AT,Austria,,,,,,2020-03-01,0,8,6,1,2,0
AT,Austria,,,,,,2020-03-02,2,6,16,1,3,-1
AT,Austria,,,,,,2020-03-03,-1,4,-1,-3,2,1
AT,Austria,,,,,,2020-03-04,2,5,12,0,2,0
AT,Austria,,,,,,2020-03-05,1,3,4,0,1,0
AT,Austria,,,,,,2020-03-06,-1,3,-7,-2,1,0
AT,Austria,,,,,,2020-03-07,4,0,-2,-3,0,0
AT,Austria,,,,,,2020-03-08,14,14,42,5,1,-2
AT,Austria,,,,,,2020-03-09,-1,4,2,-3,1,0
AT,Austria,,,,,,2020-03-10,-3,10,9,-3,1,0
AT,Austria,,,,,,2020-03-11,-6,17,12,-8,-1,1
AT,Austria,,,,,,2020-03-12,-10,24,18,-9,-3,2
AT,Austria,,,,,,2020-03-13,-20,46,-20,-20,-6,5
AT,Austria,,,,,,2020-03-14,-35,-7,-17,-34,-9,8
AT,Austria,,,,,,2020-03-15,-59,-32,-13,-43,-18,8
AT,Austria,,,,,,2020-03-16,-71,-14,-37,-56,-43,19
AT,Austria,,,,,,2020-03-17,-79,-32,-43,-66,-55,24
AT,Austria,,,,,,2020-03-18,-79,-30,-24,-65,-58,24
AT,Austria,,,,,,2020-03-19,-80,-29,-32,-67,-60,25
AT,Austria,,,,,,2020-03-20,-81,-28,-32,-68,-59,26
AT,Austria,,,,,,2020-03-21,-88,-39,-73,-75,-54,20
AT,Austria,,,,,,2020-03-22,-90,-69,-60,-76,-54,15
AT,Austria,,,,,,2020-03-23,-79,-31,-57,-71,-60,25
AT,Austria,,,,,,2020-03-24,-80,-32,-44,-71,-61,26
AT,Austria,,,,,,2020-03-25,-81,-34,-58,-73,-62,27
AT,Austria,,,,,,2020-03-26,-81,-31,-59,-72,-62,27
AT,Austria,,,,,,2020-03-27,-80,-26,-39,-70,-60,27
AT,Austria,,,,,,2020-03-28,-83,-31,-21,-66,-49,17
AT,Austria,,,,,,2020-03-29,-87,-64,-43,-71,-51,14
AT,Austria,,,,,,2020-03-30,-78,-31,-57,-71,-59,25
AT,Austria,,,,,,2020-03-31,-77,-24,-47,-69,-59,25
AT,Austria,,,,,,2020-04-01,-77,-30,-34,-67,-59,24
AT,Austria,,,,,,2020-04-02,-77,-29,-36,-68,-59,25
AT,Austria,,,,,,2020-04-03,-79,-25,-46,-69,-59,26
AT,Austria,,,,,,2020-04-04,-82,-30,-36,-67,-48,17
AT,Austria,,,,,,2020-04-05,-82,-55,-11,-64,-46,12
AT,Austria,,,,,,2020-04-06,-73,-26,-22,-64,-58,22
AT,Austria,,,,,,2020-04-07,-74,-24,-6,-63,-58,22
AT,Austria,,,,,,2020-04-08,-74,-21,-10,-63,-58,22
AT,Austria,,,,,,2020-04-09,-74,-15,-20,-63,-59,22
AT,Austria,,,,,,2020-04-10,-76,-16,-22,-66,-63,24
AT,Austria,,,,,,2020-04-11,-81,-27,-20,-62,-45,15
AT,Austria,,,,,,2020-04-12,-83,-54,-6,-63,-45,11
AT,Austria,,,,,,2020-04-13,-90,-94,-15,-78,-88,31
AT,Austria,,,,,,2020-04-14,-62,-16,-41,-62,-53,21
AT,Austria,,,,,,2020-04-15,-62,-20,-12,-58,-52,20
AT,Austria,,,,,,2020-04-16,-63,-18,-9,-57,-52,20
AT,Austria,,,,,,2020-04-17,-65,-16,-10,-58,-52,20
AT,Austria,,,,,,2020-04-18,-70,-21,-8,-54,-36,13
AT,Austria,,,,,,2020-04-19,-84,-53,-37,-66,-43,12
AT,Austria,,,,,,2020-04-20,-58,-24,-14,-56,-48,18
AT,Austria,,,,,,2020-04-21,-60,-21,2,-54,-48,18
AT,Austria,,,,,,2020-04-22,-61,-21,7,-54,-48,18
AT,Austria,,,,,,2020-04-23,-62,-18,-3,-54,-48,18
AT,Austria,,,,,,2020-04-24,-64,-17,-10,-56,-49,19
AT,Austria,,,,,,2020-04-25,-68,-19,-7,-52,-33,12
AT,Austria,,,,,,2020-04-26,-73,-36,23,-50,-34,8
AT,Austria,,,,,,2020-04-27,-57,-22,-12,-52,-45,16
AT,Austria,,,,,,2020-04-28,-58,-18,14,-50,-45,15
AT,Austria,,,,,,2020-04-29,-61,-12,-40,-55,-46,18
AT,Austria,,,,,,2020-04-30,-49,13,-10,-49,-45,14
AT,Austria,,,,,,2020-05-01,-83,-90,5,-66,-82,26
AT,Austria,,,,,,2020-05-02,-43,4,-12,-44,-24,8
AT,Austria,,,,,,2020-05-03,-72,-32,-1,-49,-31,7
AT,Austria,,,,,,2020-05-04,-32,-8,-2,-43,-38,12
AT,Austria,,,,,,2020-05-05,-39,-8,-18,-46,-39,14
AT,Austria,,,,,,2020-05-06,-38,-5,1,-43,-38,12
AT,Austria,,,,,,2020-05-07,-39,-5,12,-41,-38,12
AT,Austria,,,,,,2020-05-08,-40,-2,20,-41,-39,12
AT,Austria,,,,,,2020-05-09,-43,-2,18,-35,-19,5
AT,Austria,,,,,,2020-05-10,-64,-25,8,-39,-18,3
AT,Austria,,,,,,2020-05-11,-37,-16,-8,-43,-36,12
AT,Austria,,,,,,2020-05-12,-39,-9,-4,-41,-35,13
AT,Austria,,,,,,2020-05-13,-41,-10,-13,-43,-35,13
AT,Austria,,,,,,2020-05-14,-42,-9,-20,-44,-36,12
AT,Austria,,,,,,2020-05-15,-34,-11,-43,-47,-36,13
AT,Austria,,,,,,2020-05-16,-32,-13,5,-35,-12,5
AT,Austria,,,,,,2020-05-17,-40,-18,47,-31,-13,3
AT,Austria,,,,,,2020-05-18,-20,-11,35,-32,-27,7
AT,Austria,,,,,,2020-05-19,-22,-7,27,-33,-28,8
AT,Austria,,,,,,2020-05-20,-14,22,20,-29,-28,6
AT,Austria,,,,,,2020-05-21,-58,-87,82,-52,-80,20
AT,Austria,,,,,,2020-05-22,-20,2,28,-38,-44,10
AT,Austria,,,,,,2020-05-23,-32,-12,-6,-41,-13,6
AT,Austria,,,,,,2020-05-24,-44,-20,3,-37,-14,4
AT,Austria,,,,,,2020-05-25,-22,-9,-22,-37,-29,9
AT,Austria,,,,,,2020-05-26,-25,-8,-10,-36,-27,9
AT,Austria,,,,,,2020-05-27,-21,-8,38,-30,-26,7
AT,Austria,,,,,,2020-05-28,-26,-6,-27,-36,-28,9
AT,Austria,,,,,,2020-05-29,-23,-1,-6,-33,-28,7
AT,Austria,,,,,,2020-05-30,-24,-2,16,-30,-5,2
AT,Austria,,,,,,2020-05-31,-44,-21,-13,-45,-14,4
AT,Austria,,,,,,2020-06-01,-46,-86,141,-45,-79,16
AT,Austria,,,,,,2020-06-02,-13,9,40,-27,-29,5
AT,Austria,,,,,,2020-06-03,-18,-3,23,-26,-23,5
AT,Austria,,,,,,2020-06-04,-19,-4,10,-25,-23,5
AT,Austria,,,,,,2020-06-05,-20,-3,-13,-30,-24,6
AT,Austria,,,,,,2020-06-06,-20,-11,55,-22,-1,0
AT,Austria,,,,,,2020-06-07,-30,-11,22,-31,-5,2
AT,Austria,,,,,,2020-06-08,-14,-7,-4,-28,-25,5
AT,Austria,,,,,,2020-06-09,-14,-4,8,-27,-25,6
AT,Austria,,,,,,2020-06-10,-9,18,-3,-24,-26,3
AT,Austria,,,,,,2020-06-11,-47,-85,96,-47,-76,17
AT,Austria,,,,,,2020-06-12,-11,0,84,-29,-42,5
AT,Austria,,,,,,2020-06-13,-21,-13,95,-20,-1,-2
AT,Austria,,,,,,2020-06-14,-35,-19,-18,-33,-2,1
AT,Austria,,,,,,2020-06-15,-12,-7,-3,-26,-24,5
AT,Austria,,,,,,2020-06-16,-11,-5,35,-22,-22,4
AT,Austria,,,,,,2020-06-17,-12,-7,35,-22,-23,4
AT,Austria,,,,,,2020-06-18,-14,-7,16,-24,-24,4
AT,Austria,,,,,,2020-06-19,-17,-8,14,-25,-24,4
AT,Austria,,,,,,2020-06-20,-20,-12,-2,-30,-6,2
AT,Austria,,,,,,2020-06-21,-35,-22,-13,-34,-9,2
AT,Austria,,,,,,2020-06-22,-10,-9,50,-22,-24,3
AT,Austria,,,,,,2020-06-23,-9,-8,92,-19,-23,2
AT,Austria,,,,,,2020-06-24,-11,-8,71,-20,-22,2
AT,Austria,,,,,,2020-06-25,-12,-6,26,-22,-24,4
AT,Austria,,,,,,2020-06-26,-14,-7,51,-21,-23,2
AT,Austria,,,,,,2020-06-27,-18,-13,89,-14,-2,-2
AT,Austria,,,,,,2020-06-28,-14,3,79,-11,2,-4
AT,Austria,,,,,,2020-06-29,-11,-8,14,-24,-23,4
AT,Austria,,,,,,2020-06-30,-2,-3,90,-16,-20,2
AT,Austria,,,,,,2020-07-01,-8,-4,57,-17,-21,2
AT,Austria,,,,,,2020-07-02,-7,-3,38,-18,-21,3
AT,Austria,,,,,,2020-07-03,-5,-1,42,-16,-23,2
AT,Austria,,,,,,2020-07-04,-12,-11,102,-9,-2,-3
AT,Austria,,,,,,2020-07-05,-6,12,114,-5,0,-6
AT,Austria,,,,,,2020-07-06,-5,-3,64,-19,-26,3
AT,Austria,,,,,,2020-07-07,2,1,108,-16,-26,2
AT,Austria,,,,,,2020-07-08,-2,-3,107,-17,-25,1
AT,Austria,,,,,,2020-07-09,-6,-5,80,-18,-26,1
AT,Austria,,,,,,2020-07-10,-14,-8,76,-19,-28,1
AT,Austria,,,,,,2020-07-11,-17,-8,-5,-25,-12,2
AT,Austria,,,,,,2020-07-12,0,14,110,-5,-3,-4
AT,Austria,,,,,,2020-07-13,0,-5,110,-18,-31,2
AT,Austria,,,,,,2020-07-14,-1,-5,136,-17,-31,1
AT,Austria,,,,,,2020-07-15,-3,-2,85,-21,-30,3
AT,Austria,,,,,,2020-07-16,-6,-5,32,-24,-32,4
AT,Austria,,,,,,2020-07-17,-11,-7,36,-24,-32,4
AT,Austria,,,,,,2020-07-18,-15,-12,35,-19,-11,1
AT,Austria,,,,,,2020-07-19,-5,14,90,-8,-6,-2
AT,Austria,,,,,,2020-07-20,-2,-6,135,-18,-33,1
AT,Austria,,,,,,2020-07-21,-4,-6,144,-19,-33,2
AT,Austria,,,,,,2020-07-22,-1,-4,114,-20,-31,3
AT,Austria,,,,,,2020-07-23,-5,-7,97,-20,-31,2
AT,Austria,,,,,,2020-07-24,-13,-8,59,-24,-33,4
AT,Austria,,,,,,2020-07-25,-12,-13,114,-8,-7,-2
AT,Austria,,,,,,2020-07-26,-5,17,93,-7,-5,-3
AT,Austria,,,,,,2020-07-27,-1,-6,155,-19,-35,1
AT,Austria,,,,,,2020-07-28,-10,-9,158,-21,-36,2
AT,Austria,,,,,,2020-07-29,-1,-4,125,-21,-35,3
AT,Austria,,,,,,2020-07-30,-5,-6,118,-20,-36,2
AT,Austria,,,,,,2020-07-31,-11,-7,118,-19,-36,1
AT,Austria,,,,,,2020-08-01,-16,-14,135,-4,-8,-5
AT,Austria,,,,,,2020-08-02,-8,18,76,-6,-7,-3
AT,Austria,,,,,,2020-08-03,3,-2,55,-25,-40,6
AT,Austria,,,,,,2020-08-04,1,-4,69,-25,-40,6
AT,Austria,,,,,,2020-08-05,3,-3,108,-22,-39,4
AT,Austria,,,,,,2020-08-06,0,-7,132,-18,-39,2
AT,Austria,,,,,,2020-08-07,-10,-9,128,-19,-39,1
AT,Austria,,,,,,2020-08-08,-15,-15,142,-4,-8,-5
AT,Austria,,,,,,2020-08-09,-2,22,131,-1,-3,-6
AT,Austria,,,,,,2020-08-10,-1,-5,153,-19,-38,1
AT,Austria,,,,,,2020-08-11,1,-3,156,-21,-38,3
AT,Austria,,,,,,2020-08-12,-1,-4,158,-20,-37,2
AT,Austria,,,,,,2020-08-13,-7,-7,89,-23,-38,4
AT,Austria,,,,,,2020-08-14,-4,15,80,-20,-38,3
AT,Austria,,,,,,2020-08-15,-40,-84,111,-12,-31,1
AT,Austria,,,,,,2020-08-16,3,29,115,-1,-5,-4
AT,Austria,,,,,,2020-08-17,3,3,95,-20,-36,3
AT,Austria,,,,,,2020-08-18,2,-2,104,-22,-34,4
AT,Austria,,,,,,2020-08-19,1,-6,138,-20,-34,2
AT,Austria,,,,,,2020-08-20,-5,-10,128,-19,-35,1
AT,Austria,,,,,,2020-08-21,-15,-12,125,-20,-36,1
AT,Austria,,,,,,2020-08-22,-20,-16,78,-15,-9,-2
AT,Austria,,,,,,2020-08-23,-3,14,87,-4,-4,-3
AT,Austria,,,,,,2020-08-24,-1,-5,90,-20,-33,3
AT,Austria,,,,,,2020-08-25,-1,-8,149,-18,-32,2
AT,Austria,,,,,,2020-08-26,-5,-9,132,-20,-32,1
AT,Austria,,,,,,2020-08-27,-5,-9,102,-19,-32,2
AT,Austria,,,,,,2020-08-28,-11,-10,81,-21,-33,2
AT,Austria,,,,,,2020-08-29,-14,-14,45,-16,-11,-1
AT,Austria,,,,,,2020-08-30,-18,-4,23,-15,-10,-1
AT,Austria,,,,,,2020-08-31,-2,-6,49,-21,-31,3
AT,Austria,,,,,,2020-09-01,-4,-6,40,-24,-32,4
AT,Austria,,,,,,2020-09-02,-3,-8,74,-20,-31,2
AT,Austria,,,,,,2020-09-03,-3,-8,77,-18,-31,1
AT,Austria,,,,,,2020-09-04,-6,-9,88,-18,-31,0
