country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BA,Bosnia and Herzegovina,,,,,,2020-02-15,8,6,16,3,1,-1
BA,Bosnia and Herzegovina,,,,,,2020-02-16,7,10,28,8,-1,-1
BA,Bosnia and Herzegovina,,,,,,2020-02-17,3,2,11,10,12,-1
BA,Bosnia and Herzegovina,,,,,,2020-02-18,4,7,0,7,11,-1
BA,Bosnia and Herzegovina,,,,,,2020-02-19,3,2,9,5,9,-1
BA,Bosnia and Herzegovina,,,,,,2020-02-20,1,2,4,6,7,-1
BA,Bosnia and Herzegovina,,,,,,2020-02-21,2,4,8,7,13,-2
BA,Bosnia and Herzegovina,,,,,,2020-02-22,5,4,28,5,0,-1
BA,Bosnia and Herzegovina,,,,,,2020-02-23,3,7,21,9,-1,-1
BA,Bosnia and Herzegovina,,,,,,2020-02-24,-1,1,3,5,14,-1
BA,Bosnia and Herzegovina,,,,,,2020-02-25,5,12,8,8,12,-1
BA,Bosnia and Herzegovina,,,,,,2020-02-26,-4,1,0,2,8,0
BA,Bosnia and Herzegovina,,,,,,2020-02-27,-3,0,-4,2,7,-1
BA,Bosnia and Herzegovina,,,,,,2020-02-28,-3,0,-4,1,12,0
BA,Bosnia and Herzegovina,,,,,,2020-02-29,4,4,14,-2,2,-1
BA,Bosnia and Herzegovina,,,,,,2020-03-01,-6,0,-2,-6,-3,1
BA,Bosnia and Herzegovina,,,,,,2020-03-02,-8,-6,7,-14,-28,6
BA,Bosnia and Herzegovina,,,,,,2020-03-03,1,7,-8,5,12,-1
BA,Bosnia and Herzegovina,,,,,,2020-03-04,1,3,-3,4,9,0
BA,Bosnia and Herzegovina,,,,,,2020-03-05,7,12,12,13,9,-2
BA,Bosnia and Herzegovina,,,,,,2020-03-06,3,6,-3,4,14,-1
BA,Bosnia and Herzegovina,,,,,,2020-03-07,8,11,-2,-3,3,0
BA,Bosnia and Herzegovina,,,,,,2020-03-08,17,17,0,5,7,-1
BA,Bosnia and Herzegovina,,,,,,2020-03-09,-1,1,-2,3,13,-1
BA,Bosnia and Herzegovina,,,,,,2020-03-10,4,14,1,6,12,-1
BA,Bosnia and Herzegovina,,,,,,2020-03-11,1,12,12,5,5,-1
BA,Bosnia and Herzegovina,,,,,,2020-03-12,-2,16,22,3,-4,0
BA,Bosnia and Herzegovina,,,,,,2020-03-13,-12,11,6,-11,-5,3
BA,Bosnia and Herzegovina,,,,,,2020-03-14,-22,5,-3,-15,-8,4
BA,Bosnia and Herzegovina,,,,,,2020-03-15,-24,3,3,-18,-10,3
BA,Bosnia and Herzegovina,,,,,,2020-03-16,-23,10,4,-20,-13,6
BA,Bosnia and Herzegovina,,,,,,2020-03-17,-36,1,9,-26,-24,8
BA,Bosnia and Herzegovina,,,,,,2020-03-18,-52,-5,7,-34,-34,11
BA,Bosnia and Herzegovina,,,,,,2020-03-19,-58,-15,8,-36,-39,12
BA,Bosnia and Herzegovina,,,,,,2020-03-20,-62,-20,-1,-45,-39,14
BA,Bosnia and Herzegovina,,,,,,2020-03-21,-69,-33,-14,-54,-45,12
BA,Bosnia and Herzegovina,,,,,,2020-03-22,-78,-41,-48,-68,-52,15
BA,Bosnia and Herzegovina,,,,,,2020-03-23,-70,-35,-41,-64,-48,20
BA,Bosnia and Herzegovina,,,,,,2020-03-24,-73,-40,-46,-68,-53,22
BA,Bosnia and Herzegovina,,,,,,2020-03-25,-73,-41,-42,-67,-55,23
BA,Bosnia and Herzegovina,,,,,,2020-03-26,-73,-41,-40,-67,-55,22
BA,Bosnia and Herzegovina,,,,,,2020-03-27,-72,-42,-38,-66,-52,23
BA,Bosnia and Herzegovina,,,,,,2020-03-28,-74,-47,-28,-63,-51,17
BA,Bosnia and Herzegovina,,,,,,2020-03-29,-76,-50,-22,-59,-50,13
BA,Bosnia and Herzegovina,,,,,,2020-03-30,-69,-42,-29,-61,-50,20
BA,Bosnia and Herzegovina,,,,,,2020-03-31,-70,-39,-38,-65,-52,21
BA,Bosnia and Herzegovina,,,,,,2020-04-01,-70,-40,-30,-63,-53,20
BA,Bosnia and Herzegovina,,,,,,2020-04-02,-67,-36,-14,-56,-52,19
BA,Bosnia and Herzegovina,,,,,,2020-04-03,-67,-33,-16,-58,-49,19
BA,Bosnia and Herzegovina,,,,,,2020-04-04,-71,-41,-15,-55,-48,14
BA,Bosnia and Herzegovina,,,,,,2020-04-05,-74,-45,-17,-56,-49,12
BA,Bosnia and Herzegovina,,,,,,2020-04-06,-62,-30,-8,-53,-47,17
BA,Bosnia and Herzegovina,,,,,,2020-04-07,-59,-21,-1,-51,-48,16
BA,Bosnia and Herzegovina,,,,,,2020-04-08,-62,-28,1,-51,-49,16
BA,Bosnia and Herzegovina,,,,,,2020-04-09,-62,-27,3,-50,-50,15
BA,Bosnia and Herzegovina,,,,,,2020-04-10,-62,-24,-2,-52,-48,17
BA,Bosnia and Herzegovina,,,,,,2020-04-11,-67,-34,-5,-52,-47,12
BA,Bosnia and Herzegovina,,,,,,2020-04-12,-70,-38,-2,-48,-45,9
BA,Bosnia and Herzegovina,,,,,,2020-04-13,-63,-33,-1,-52,-50,16
BA,Bosnia and Herzegovina,,,,,,2020-04-14,-65,-30,-32,-61,-48,18
BA,Bosnia and Herzegovina,,,,,,2020-04-15,-59,-23,-4,-52,-47,17
BA,Bosnia and Herzegovina,,,,,,2020-04-16,-56,-15,12,-46,-46,14
BA,Bosnia and Herzegovina,,,,,,2020-04-17,-65,-29,-3,-56,-54,19
BA,Bosnia and Herzegovina,,,,,,2020-04-18,-66,-36,-1,-48,-46,11
BA,Bosnia and Herzegovina,,,,,,2020-04-19,-76,-55,-18,-54,-52,11
BA,Bosnia and Herzegovina,,,,,,2020-04-20,-62,-35,-3,-54,-51,15
