country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BB,Barbados,,,,,,2020-02-15,1,0,4,2,0,0
BB,Barbados,,,,,,2020-02-16,4,4,5,0,1,0
BB,Barbados,,,,,,2020-02-17,-4,-5,0,4,1,1
BB,Barbados,,,,,,2020-02-18,-2,-3,-5,1,2,1
BB,Barbados,,,,,,2020-02-19,-7,-5,-18,-3,1,2
BB,Barbados,,,,,,2020-02-20,2,2,3,4,1,0
BB,Barbados,,,,,,2020-02-21,2,0,4,2,2,0
BB,Barbados,,,,,,2020-02-22,3,2,2,-3,-1,0
BB,Barbados,,,,,,2020-02-23,9,4,5,-4,0,0
BB,Barbados,,,,,,2020-02-24,-3,-5,-1,0,2,1
BB,Barbados,,,,,,2020-02-25,8,6,2,4,3,-1
BB,Barbados,,,,,,2020-02-26,7,6,9,3,3,-1
BB,Barbados,,,,,,2020-02-27,11,8,14,7,1,-1
BB,Barbados,,,,,,2020-02-28,7,5,26,6,1,-1
BB,Barbados,,,,,,2020-02-29,10,2,34,3,0,-1
BB,Barbados,,,,,,2020-03-01,19,2,58,6,1,-1
BB,Barbados,,,,,,2020-03-02,-4,0,4,0,3,1
BB,Barbados,,,,,,2020-03-03,1,2,-1,0,5,0
BB,Barbados,,,,,,2020-03-04,1,3,4,-1,4,-1
BB,Barbados,,,,,,2020-03-05,3,4,5,-1,1,0
BB,Barbados,,,,,,2020-03-06,2,3,10,-1,2,0
BB,Barbados,,,,,,2020-03-07,0,-1,5,-6,-3,0
BB,Barbados,,,,,,2020-03-08,5,1,6,-3,0,0
BB,Barbados,,,,,,2020-03-09,-7,-5,1,-7,3,1
BB,Barbados,,,,,,2020-03-10,-1,-1,2,-6,5,0
BB,Barbados,,,,,,2020-03-11,1,2,5,-7,3,0
BB,Barbados,,,,,,2020-03-12,2,12,0,-3,1,0
BB,Barbados,,,,,,2020-03-13,1,12,2,-7,1,1
BB,Barbados,,,,,,2020-03-14,-3,4,5,-6,-1,2
BB,Barbados,,,,,,2020-03-15,-1,0,0,-3,-1,2
BB,Barbados,,,,,,2020-03-16,-8,2,-7,1,1,2
BB,Barbados,,,,,,2020-03-17,-5,18,-11,1,1,2
BB,Barbados,,,,,,2020-03-18,-14,9,-12,-13,-9,6
BB,Barbados,,,,,,2020-03-19,-15,8,-17,-25,-14,8
BB,Barbados,,,,,,2020-03-20,-21,-1,-23,-21,-16,10
BB,Barbados,,,,,,2020-03-21,-27,-4,-28,-19,-12,9
BB,Barbados,,,,,,2020-03-22,-37,-10,-38,-36,-21,8
BB,Barbados,,,,,,2020-03-23,-29,-7,-32,-33,-25,13
BB,Barbados,,,,,,2020-03-24,-26,-6,-33,-35,-29,14
BB,Barbados,,,,,,2020-03-25,-30,-6,-25,-42,-33,14
BB,Barbados,,,,,,2020-03-26,-27,-6,-29,-43,-34,15
BB,Barbados,,,,,,2020-03-27,-25,-6,-28,-42,-33,16
BB,Barbados,,,,,,2020-03-28,-39,-27,-41,-54,-33,15
BB,Barbados,,,,,,2020-03-29,-70,-47,-60,-77,-52,15
BB,Barbados,,,,,,2020-03-30,-67,-46,-57,-70,-63,28
BB,Barbados,,,,,,2020-03-31,-66,-41,-55,-68,-65,28
BB,Barbados,,,,,,2020-04-01,-64,-34,-53,-72,-67,28
BB,Barbados,,,,,,2020-04-02,-60,-29,-56,-74,-69,29
BB,Barbados,,,,,,2020-04-03,-65,-26,-54,-74,-71,27
BB,Barbados,,,,,,2020-04-04,-95,-95,-89,-92,-82,
BB,Barbados,,,,,,2020-04-05,-88,-92,-88,-90,-75,
BB,Barbados,,,,,,2020-04-06,-90,-89,-81,-89,-84,39
BB,Barbados,,,,,,2020-04-07,-87,-86,-81,-83,-82,37
BB,Barbados,,,,,,2020-04-08,-82,-70,-75,-84,-80,35
BB,Barbados,,,,,,2020-04-09,-77,-59,-69,-80,-79,33
BB,Barbados,,,,,,2020-04-10,-93,-94,-84,-95,-90,
BB,Barbados,,,,,,2020-04-11,-77,-62,-67,-81,-67,25
BB,Barbados,,,,,,2020-04-12,-82,-88,-78,-89,-70,
BB,Barbados,,,,,,2020-04-13,-89,-91,-81,-93,-89,40
BB,Barbados,,,,,,2020-04-14,-81,-76,-70,-84,-76,34
BB,Barbados,,,,,,2020-04-15,-68,-43,-64,-80,-72,30
BB,Barbados,,,,,,2020-04-16,-71,-46,-64,-79,-73,32
BB,Barbados,,,,,,2020-04-17,-70,-45,-63,-80,-71,35
BB,Barbados,,,,,,2020-04-18,-74,-54,-66,-76,-60,23
BB,Barbados,,,,,,2020-04-19,-76,-57,-76,-84,-60,17
BB,Barbados,,,,,,2020-04-20,-73,-54,-66,-80,-71,31
BB,Barbados,,,,,,2020-04-21,-75,-56,-65,-79,-70,31
BB,Barbados,,,,,,2020-04-22,-70,-45,-60,-79,-70,30
BB,Barbados,,,,,,2020-04-23,-75,-51,-68,-81,-72,32
BB,Barbados,,,,,,2020-04-24,-72,-47,-62,-78,-70,34
BB,Barbados,,,,,,2020-04-25,-74,-53,-65,-79,-59,23
BB,Barbados,,,,,,2020-04-26,-76,-57,-73,-85,-59,17
BB,Barbados,,,,,,2020-04-27,-69,-47,-62,-77,-68,31
BB,Barbados,,,,,,2020-04-28,-91,-89,-80,-91,-87,37
BB,Barbados,,,,,,2020-04-29,-66,-38,-59,-75,-68,29
BB,Barbados,,,,,,2020-04-30,-63,-29,-58,-72,-68,28
BB,Barbados,,,,,,2020-05-01,-91,-88,-76,-91,-87,43
BB,Barbados,,,,,,2020-05-02,-71,-46,-64,-72,-55,22
BB,Barbados,,,,,,2020-05-03,-76,-58,-72,-84,-56,17
BB,Barbados,,,,,,2020-05-04,-59,-41,-50,-72,-55,26
BB,Barbados,,,,,,2020-05-05,-60,-42,-53,-70,-55,25
BB,Barbados,,,,,,2020-05-06,-54,-33,-44,-63,-55,24
BB,Barbados,,,,,,2020-05-07,-57,-36,-46,-66,-56,26
BB,Barbados,,,,,,2020-05-08,-58,-35,-43,-67,-53,28
BB,Barbados,,,,,,2020-05-09,-58,-36,-41,-68,-46,19
BB,Barbados,,,,,,2020-05-10,-64,-47,-51,-77,-46,14
BB,Barbados,,,,,,2020-05-11,-58,-43,-43,-64,-52,25
BB,Barbados,,,,,,2020-05-12,-60,-43,-42,-59,-52,25
BB,Barbados,,,,,,2020-05-13,-55,-34,-42,-62,-52,24
BB,Barbados,,,,,,2020-05-14,-57,-36,-45,-66,-54,24
BB,Barbados,,,,,,2020-05-15,-58,-36,-43,-64,-50,27
BB,Barbados,,,,,,2020-05-16,-59,-37,-43,-67,-43,18
BB,Barbados,,,,,,2020-05-17,-64,-47,-49,-79,-45,14
BB,Barbados,,,,,,2020-05-18,-47,-38,-36,-63,-46,23
BB,Barbados,,,,,,2020-05-19,-49,-39,-38,-61,-47,23
BB,Barbados,,,,,,2020-05-20,-50,-33,-46,-61,-48,23
BB,Barbados,,,,,,2020-05-21,-48,-32,-37,-60,-48,24
BB,Barbados,,,,,,2020-05-22,-47,-30,-33,-59,-45,24
BB,Barbados,,,,,,2020-05-23,-45,-29,-33,-63,-36,16
BB,Barbados,,,,,,2020-05-24,-54,-39,-40,-69,-39,13
BB,Barbados,,,,,,2020-05-25,-43,-32,-30,-59,-45,22
BB,Barbados,,,,,,2020-05-26,-45,-31,-35,-56,-43,21
BB,Barbados,,,,,,2020-05-27,-38,-23,-27,-58,-44,20
BB,Barbados,,,,,,2020-05-28,-42,-26,-34,-55,-44,22
BB,Barbados,,,,,,2020-05-29,-44,-27,-31,-60,-42,24
BB,Barbados,,,,,,2020-05-30,-43,-26,-29,-62,-32,15
BB,Barbados,,,,,,2020-05-31,-52,-31,-39,-73,-35,12
BB,Barbados,,,,,,2020-06-01,-72,-79,-35,-82,-78,32
BB,Barbados,,,,,,2020-06-02,-31,-16,-26,-52,-36,18
BB,Barbados,,,,,,2020-06-03,-34,-18,-27,-50,-38,18
BB,Barbados,,,,,,2020-06-04,-33,-18,-28,-54,-39,19
BB,Barbados,,,,,,2020-06-05,-40,-26,-35,-57,-38,23
BB,Barbados,,,,,,2020-06-06,-39,-24,-32,-61,-31,16
BB,Barbados,,,,,,2020-06-07,-46,-28,-31,-72,-33,12
BB,Barbados,,,,,,2020-06-08,-35,-26,-27,-55,-37,19
BB,Barbados,,,,,,2020-06-09,-33,-21,-25,-49,-35,18
BB,Barbados,,,,,,2020-06-10,-30,-20,-20,-53,-36,17
BB,Barbados,,,,,,2020-06-11,-32,-21,-26,-55,-37,19
BB,Barbados,,,,,,2020-06-12,-37,-25,-30,-53,-34,21
BB,Barbados,,,,,,2020-06-13,-31,-19,-17,-54,-24,14
BB,Barbados,,,,,,2020-06-14,-41,-27,-23,-67,-29,11
BB,Barbados,,,,,,2020-06-15,-31,-24,-21,-54,-34,17
BB,Barbados,,,,,,2020-06-16,-29,-19,-21,-47,-33,17
BB,Barbados,,,,,,2020-06-17,-28,-19,-19,-53,-34,16
BB,Barbados,,,,,,2020-06-18,-29,-23,-28,-56,-36,18
BB,Barbados,,,,,,2020-06-19,-32,-20,-28,-55,-33,19
BB,Barbados,,,,,,2020-06-20,-31,-15,-27,-60,-24,14
BB,Barbados,,,,,,2020-06-21,-35,-26,-21,-69,-23,9
BB,Barbados,,,,,,2020-06-22,-32,-24,-23,-53,-34,17
BB,Barbados,,,,,,2020-06-23,-28,-19,-23,-49,-33,17
BB,Barbados,,,,,,2020-06-24,-26,-18,-17,-49,-32,16
BB,Barbados,,,,,,2020-06-25,-20,-11,-20,-48,-34,16
BB,Barbados,,,,,,2020-06-26,-24,-14,-19,-49,-32,18
BB,Barbados,,,,,,2020-06-27,-20,-11,-10,-51,-21,11
BB,Barbados,,,,,,2020-06-28,-32,-22,-16,-66,-25,9
BB,Barbados,,,,,,2020-06-29,-24,-20,-20,-47,-32,15
BB,Barbados,,,,,,2020-06-30,-22,-14,-19,-49,-31,15
BB,Barbados,,,,,,2020-07-01,-22,-13,-15,-46,-31,14
BB,Barbados,,,,,,2020-07-02,-21,-14,-15,-49,-33,15
BB,Barbados,,,,,,2020-07-03,-21,-12,-14,-50,-30,16
BB,Barbados,,,,,,2020-07-04,-18,-12,-4,-49,-20,10
BB,Barbados,,,,,,2020-07-05,-25,-22,-8,-67,-24,8
BB,Barbados,,,,,,2020-07-06,-28,-22,-25,-54,-33,16
BB,Barbados,,,,,,2020-07-07,-24,-15,-19,-48,-31,15
BB,Barbados,,,,,,2020-07-08,-22,-15,-15,-50,-30,14
BB,Barbados,,,,,,2020-07-09,-22,-15,-16,-46,-32,14
BB,Barbados,,,,,,2020-07-10,-22,-16,-16,-52,-29,15
BB,Barbados,,,,,,2020-07-11,-20,-14,-7,-52,-21,10
BB,Barbados,,,,,,2020-07-12,-26,-24,-16,-63,-25,8
BB,Barbados,,,,,,2020-07-13,-28,-22,-19,-49,-32,15
BB,Barbados,,,,,,2020-07-14,-19,-17,-7,-49,-31,13
BB,Barbados,,,,,,2020-07-15,-22,-18,-12,-48,-30,13
BB,Barbados,,,,,,2020-07-16,-22,-16,-11,-46,-31,14
BB,Barbados,,,,,,2020-07-17,-22,-13,-13,-49,-29,15
BB,Barbados,,,,,,2020-07-18,-20,-13,-2,-49,-20,9
BB,Barbados,,,,,,2020-07-19,-19,-21,1,-56,-24,7
BB,Barbados,,,,,,2020-07-20,-28,-24,-17,-48,-31,15
BB,Barbados,,,,,,2020-07-21,-22,-18,-15,-44,-30,14
BB,Barbados,,,,,,2020-07-22,-20,-9,-10,-43,-29,13
BB,Barbados,,,,,,2020-07-23,-13,5,-9,-41,-29,12
BB,Barbados,,,,,,2020-07-24,-20,-1,-21,-45,-29,16
BB,Barbados,,,,,,2020-07-25,-35,-32,-31,-59,-35,16
BB,Barbados,,,,,,2020-07-26,-23,-26,-14,-56,-25,8
