country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BO,Bolivia,,,,,,2020-02-15,6,4,-1,-6,8,0
BO,Bolivia,,,,,,2020-02-16,2,7,5,-6,4,3
BO,Bolivia,,,,,,2020-02-17,-4,2,1,-5,17,0
BO,Bolivia,,,,,,2020-02-18,-2,1,1,-6,17,-2
BO,Bolivia,,,,,,2020-02-19,0,3,3,0,20,-2
BO,Bolivia,,,,,,2020-02-20,0,5,3,0,17,-1
BO,Bolivia,,,,,,2020-02-21,-4,6,0,9,13,-1
BO,Bolivia,,,,,,2020-02-22,-1,8,7,6,-4,1
BO,Bolivia,,,,,,2020-02-23,-3,6,8,-6,-4,0
BO,Bolivia,,,,,,2020-02-24,-27,-16,-17,-16,-62,13
BO,Bolivia,,,,,,2020-02-25,-41,-32,-37,-29,-68,13
BO,Bolivia,,,,,,2020-02-26,-18,-12,-12,-7,4,2
BO,Bolivia,,,,,,2020-02-27,-10,-3,-6,-9,15,0
BO,Bolivia,,,,,,2020-02-28,-10,-2,-1,-13,16,0
BO,Bolivia,,,,,,2020-02-29,-5,0,-5,-12,8,3
BO,Bolivia,,,,,,2020-03-01,-9,0,-8,-14,0,4
BO,Bolivia,,,,,,2020-03-02,-9,-1,-4,-13,17,-1
BO,Bolivia,,,,,,2020-03-03,-5,0,-1,-11,18,-2
BO,Bolivia,,,,,,2020-03-04,-3,1,1,-7,22,-1
BO,Bolivia,,,,,,2020-03-05,-5,2,0,-7,21,-1
BO,Bolivia,,,,,,2020-03-06,-4,3,2,-9,20,-2
BO,Bolivia,,,,,,2020-03-07,4,6,2,-7,9,0
BO,Bolivia,,,,,,2020-03-08,-1,5,0,-9,2,2
BO,Bolivia,,,,,,2020-03-09,-6,2,1,-11,19,-1
BO,Bolivia,,,,,,2020-03-10,-3,2,-1,-13,19,-2
BO,Bolivia,,,,,,2020-03-11,-5,8,0,-8,22,-2
BO,Bolivia,,,,,,2020-03-12,-7,8,-2,-8,18,0
BO,Bolivia,,,,,,2020-03-13,-14,3,-7,-11,-1,5
BO,Bolivia,,,,,,2020-03-14,-13,1,-13,-15,-1,5
BO,Bolivia,,,,,,2020-03-15,-24,-4,-21,-24,-4,7
BO,Bolivia,,,,,,2020-03-16,-34,-14,-27,-29,-13,13
BO,Bolivia,,,,,,2020-03-17,-32,-8,-27,-34,-14,11
BO,Bolivia,,,,,,2020-03-18,-44,-19,-36,-41,-19,18
BO,Bolivia,,,,,,2020-03-19,-48,-29,-39,-46,-24,19
BO,Bolivia,,,,,,2020-03-20,-56,-28,-45,-53,-28,23
BO,Bolivia,,,,,,2020-03-21,-47,-5,-33,-48,-24,16
BO,Bolivia,,,,,,2020-03-22,-84,-69,-78,-82,-56,29
BO,Bolivia,,,,,,2020-03-23,-86,-75,-79,-84,-77,40
BO,Bolivia,,,,,,2020-03-24,-85,-72,-79,-83,-78,38
BO,Bolivia,,,,,,2020-03-25,-86,-73,-79,-83,-78,38
BO,Bolivia,,,,,,2020-03-26,-88,-76,-82,-86,-81,41
BO,Bolivia,,,,,,2020-03-27,-87,-72,-81,-85,-80,43
BO,Bolivia,,,,,,2020-03-28,-94,-95,-90,-92,-84,43
BO,Bolivia,,,,,,2020-03-29,-93,-94,-89,-92,-72,35
BO,Bolivia,,,,,,2020-03-30,-85,-70,-79,-85,-79,40
BO,Bolivia,,,,,,2020-03-31,-85,-70,-79,-84,-79,38
BO,Bolivia,,,,,,2020-04-01,-85,-69,-78,-83,-78,38
BO,Bolivia,,,,,,2020-04-02,-85,-70,-78,-83,-78,39
BO,Bolivia,,,,,,2020-04-03,-83,-64,-76,-82,-76,40
BO,Bolivia,,,,,,2020-04-04,-94,-95,-90,-92,-83,43
BO,Bolivia,,,,,,2020-04-05,-93,-94,-89,-91,-71,35
BO,Bolivia,,,,,,2020-04-06,-83,-66,-75,-82,-76,38
BO,Bolivia,,,,,,2020-04-07,-82,-67,-76,-82,-77,37
BO,Bolivia,,,,,,2020-04-08,-82,-64,-73,-80,-75,36
BO,Bolivia,,,,,,2020-04-09,-81,-62,-73,-79,-75,36
BO,Bolivia,,,,,,2020-04-10,-92,-92,-88,-90,-87,47
BO,Bolivia,,,,,,2020-04-11,-84,-67,-77,-83,-71,36
BO,Bolivia,,,,,,2020-04-12,-92,-93,-89,-91,-70,35
BO,Bolivia,,,,,,2020-04-13,-82,-64,-76,-81,-75,38
BO,Bolivia,,,,,,2020-04-14,-84,-73,-77,-82,-77,38
BO,Bolivia,,,,,,2020-04-15,-84,-72,-76,-81,-76,38
BO,Bolivia,,,,,,2020-04-16,-83,-70,-75,-81,-75,38
BO,Bolivia,,,,,,2020-04-17,-82,-67,-75,-81,-74,40
BO,Bolivia,,,,,,2020-04-18,-93,-92,-89,-91,-81,42
BO,Bolivia,,,,,,2020-04-19,-93,-93,-89,-92,-69,35
BO,Bolivia,,,,,,2020-04-20,-81,-68,-74,-81,-73,38
BO,Bolivia,,,,,,2020-04-21,-82,-69,-75,-81,-75,36
BO,Bolivia,,,,,,2020-04-22,-81,-68,-74,-80,-73,36
BO,Bolivia,,,,,,2020-04-23,-82,-68,-75,-81,-73,37
BO,Bolivia,,,,,,2020-04-24,-81,-65,-73,-80,-72,38
BO,Bolivia,,,,,,2020-04-25,-93,-94,-90,-92,-80,42
BO,Bolivia,,,,,,2020-04-26,-93,-93,-89,-92,-68,34
BO,Bolivia,,,,,,2020-04-27,-80,-67,-73,-80,-71,37
BO,Bolivia,,,,,,2020-04-28,-79,-67,-73,-79,-72,33
BO,Bolivia,,,,,,2020-04-29,-81,-69,-73,-79,-71,36
BO,Bolivia,,,,,,2020-04-30,-79,-66,-71,-78,-70,35
BO,Bolivia,,,,,,2020-05-01,-90,-88,-86,-88,-83,44
BO,Bolivia,,,,,,2020-05-02,-81,-67,-73,-81,-65,34
