country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
MD,Moldova,,,,,,2020-02-15,1,2,-4,0,-1,0
MD,Moldova,,,,,,2020-02-16,4,3,5,2,4,0
MD,Moldova,,,,,,2020-02-17,2,0,4,2,4,0
MD,Moldova,,,,,,2020-02-18,4,2,7,2,5,0
MD,Moldova,,,,,,2020-02-19,10,6,8,5,4,-2
MD,Moldova,,,,,,2020-02-20,4,3,6,2,4,-1
MD,Moldova,,,,,,2020-02-21,-1,0,2,-1,5,-1
MD,Moldova,,,,,,2020-02-22,0,2,2,-2,3,-1
MD,Moldova,,,,,,2020-02-23,3,5,7,3,7,-2
MD,Moldova,,,,,,2020-02-24,-10,-10,-14,-8,-3,2
MD,Moldova,,,,,,2020-02-25,0,2,3,-2,5,0
MD,Moldova,,,,,,2020-02-26,7,6,13,3,5,-2
MD,Moldova,,,,,,2020-02-27,-2,-2,-8,-4,4,0
MD,Moldova,,,,,,2020-02-28,-2,-1,2,-4,5,0
MD,Moldova,,,,,,2020-02-29,-1,1,5,-4,4,0
MD,Moldova,,,,,,2020-03-01,4,3,8,0,8,-1
MD,Moldova,,,,,,2020-03-02,1,0,1,-1,6,0
MD,Moldova,,,,,,2020-03-03,5,4,13,1,6,-1
MD,Moldova,,,,,,2020-03-04,14,12,15,5,5,-3
MD,Moldova,,,,,,2020-03-05,6,7,-3,2,-8,1
MD,Moldova,,,,,,2020-03-06,8,8,12,3,-7,1
MD,Moldova,,,,,,2020-03-07,17,19,23,10,4,-3
MD,Moldova,,,,,,2020-03-08,18,20,16,13,10,-5
MD,Moldova,,,,,,2020-03-09,-1,0,5,-2,-2,1
MD,Moldova,,,,,,2020-03-10,0,6,0,-3,5,0
MD,Moldova,,,,,,2020-03-11,-2,10,0,2,-16,3
MD,Moldova,,,,,,2020-03-12,-6,2,11,-5,-17,4
MD,Moldova,,,,,,2020-03-13,-17,-4,-1,-17,-18,6
MD,Moldova,,,,,,2020-03-14,-22,-1,-9,-14,-6,3
MD,Moldova,,,,,,2020-03-15,-41,-12,-29,-30,-16,6
