country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
ML,Mali,,,,,,2020-02-15,3,-2,3,3,4,1
ML,Mali,,,,,,2020-02-16,-2,-4,-4,-2,4,1
ML,Mali,,,,,,2020-02-17,4,0,3,8,5,0
ML,Mali,,,,,,2020-02-18,0,-5,1,7,5,1
ML,Mali,,,,,,2020-02-19,-3,-2,2,0,3,1
ML,Mali,,,,,,2020-02-20,0,0,0,-1,4,1
ML,Mali,,,,,,2020-02-21,5,-4,-2,-4,4,1
ML,Mali,,,,,,2020-02-22,5,-4,-5,-5,5,0
ML,Mali,,,,,,2020-02-23,0,-3,-9,-4,2,1
ML,Mali,,,,,,2020-02-24,4,2,2,2,5,0
ML,Mali,,,,,,2020-02-25,4,1,4,4,5,0
ML,Mali,,,,,,2020-02-26,2,1,6,-1,6,0
ML,Mali,,,,,,2020-02-27,3,1,1,0,5,1
ML,Mali,,,,,,2020-02-28,5,-3,1,-2,5,1
ML,Mali,,,,,,2020-02-29,6,-4,0,-3,6,0
ML,Mali,,,,,,2020-03-01,1,-2,2,-2,6,1
ML,Mali,,,,,,2020-03-02,10,3,3,0,8,0
ML,Mali,,,,,,2020-03-03,6,-1,5,0,7,0
ML,Mali,,,,,,2020-03-04,5,1,5,-2,7,1
ML,Mali,,,,,,2020-03-05,3,1,4,-2,7,0
ML,Mali,,,,,,2020-03-06,5,-2,9,-2,7,0
ML,Mali,,,,,,2020-03-07,6,1,12,-7,7,0
ML,Mali,,,,,,2020-03-08,2,1,2,-5,8,1
ML,Mali,,,,,,2020-03-09,6,2,6,-4,7,0
ML,Mali,,,,,,2020-03-10,3,-2,8,3,7,0
ML,Mali,,,,,,2020-03-11,1,1,7,-4,7,0
ML,Mali,,,,,,2020-03-12,0,-1,9,-7,6,0
ML,Mali,,,,,,2020-03-13,0,-3,2,-7,6,1
ML,Mali,,,,,,2020-03-14,-2,-6,1,-14,5,0
ML,Mali,,,,,,2020-03-15,-4,-4,-1,-15,6,0
ML,Mali,,,,,,2020-03-16,1,-4,4,-7,5,0
ML,Mali,,,,,,2020-03-17,-1,-7,6,-8,4,0
ML,Mali,,,,,,2020-03-18,-3,-1,4,-9,4,1
ML,Mali,,,,,,2020-03-19,-6,-1,-1,-13,-2,3
ML,Mali,,,,,,2020-03-20,-7,-8,-2,-10,-2,4
ML,Mali,,,,,,2020-03-21,-9,-8,-4,-20,-1,3
ML,Mali,,,,,,2020-03-22,-11,-7,-5,-26,1,2
ML,Mali,,,,,,2020-03-23,-3,-3,5,-17,-2,4
ML,Mali,,,,,,2020-03-24,-5,-6,8,-14,-3,4
ML,Mali,,,,,,2020-03-25,-7,0,3,-16,-4,5
ML,Mali,,,,,,2020-03-26,-25,-9,-7,-29,-34,15
ML,Mali,,,,,,2020-03-27,-19,-16,-6,-25,-9,12
ML,Mali,,,,,,2020-03-28,-23,-19,-12,-30,-4,10
ML,Mali,,,,,,2020-03-29,-25,-18,-12,-36,0,9
ML,Mali,,,,,,2020-03-30,-14,-12,-2,-25,-9,10
ML,Mali,,,,,,2020-03-31,-16,-16,-4,-26,-10,10
ML,Mali,,,,,,2020-04-01,-19,-12,-4,-32,-11,11
ML,Mali,,,,,,2020-04-02,-20,-13,-6,-24,-12,11
ML,Mali,,,,,,2020-04-03,-21,-19,-11,-31,-11,11
ML,Mali,,,,,,2020-04-04,-23,-19,-15,-31,-4,9
ML,Mali,,,,,,2020-04-05,-24,-17,-16,-38,0,8
ML,Mali,,,,,,2020-04-06,-15,-12,-3,-29,-10,10
ML,Mali,,,,,,2020-04-07,-15,-14,-1,-28,-11,9
ML,Mali,,,,,,2020-04-08,-18,-12,-2,-34,-13,10
ML,Mali,,,,,,2020-04-09,-18,-12,-4,-34,-13,11
ML,Mali,,,,,,2020-04-10,-19,-16,-8,-32,-12,12
ML,Mali,,,,,,2020-04-11,-22,-17,-10,-33,-4,10
ML,Mali,,,,,,2020-04-12,-22,-17,-11,-38,0,8
