country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
MN,Mongolia,,,,,,2020-02-15,-6,6,-18,-4,-1,3
MN,Mongolia,,,,,,2020-02-16,-5,10,2,-6,-1,1
MN,Mongolia,,,,,,2020-02-17,-3,4,-8,-7,-3,3
MN,Mongolia,,,,,,2020-02-18,-2,9,-6,-8,-4,3
MN,Mongolia,,,,,,2020-02-19,-1,11,-12,-4,-3,3
MN,Mongolia,,,,,,2020-02-20,-1,13,1,-3,-5,3
MN,Mongolia,,,,,,2020-02-21,3,23,-9,-1,-6,4
MN,Mongolia,,,,,,2020-02-22,8,34,-16,4,-6,2
MN,Mongolia,,,,,,2020-02-23,-19,15,-22,-21,-12,5
MN,Mongolia,,,,,,2020-02-24,-63,-44,-35,-37,-68,15
MN,Mongolia,,,,,,2020-02-25,-67,-47,-37,-54,-72,22
MN,Mongolia,,,,,,2020-02-26,-66,-45,-40,-57,-69,23
MN,Mongolia,,,,,,2020-02-27,-43,-25,-30,-42,-27,13
MN,Mongolia,,,,,,2020-02-28,-39,-23,-32,-41,-23,14
MN,Mongolia,,,,,,2020-02-29,-35,-21,-24,-36,-16,9
MN,Mongolia,,,,,,2020-03-01,-34,-20,-20,-42,-13,8
MN,Mongolia,,,,,,2020-03-02,-25,-15,-22,-30,-11,9
MN,Mongolia,,,,,,2020-03-03,-17,0,-16,-18,-12,3
MN,Mongolia,,,,,,2020-03-04,-14,-1,-14,-14,-7,5
MN,Mongolia,,,,,,2020-03-05,-11,2,-9,-14,-6,5
MN,Mongolia,,,,,,2020-03-06,-11,4,-9,-14,-5,6
MN,Mongolia,,,,,,2020-03-07,-5,9,-8,-10,-2,3
MN,Mongolia,,,,,,2020-03-08,-3,26,-3,-11,-8,2
MN,Mongolia,,,,,,2020-03-09,-14,-4,-13,-17,-4,5
MN,Mongolia,,,,,,2020-03-10,-28,13,-32,-25,-13,10
MN,Mongolia,,,,,,2020-03-11,-47,-22,-40,-43,-28,18
MN,Mongolia,,,,,,2020-03-12,-49,-24,-41,-41,-31,18
MN,Mongolia,,,,,,2020-03-13,-49,-20,-41,-39,-28,18
MN,Mongolia,,,,,,2020-03-14,-48,-20,-26,-37,-26,12
MN,Mongolia,,,,,,2020-03-15,-46,-17,-18,-37,-23,9
MN,Mongolia,,,,,,2020-03-16,-13,2,-17,-12,-10,6
MN,Mongolia,,,,,,2020-03-17,-15,4,-18,-15,-12,7
MN,Mongolia,,,,,,2020-03-18,-12,5,-22,-17,-11,7
MN,Mongolia,,,,,,2020-03-19,-22,-9,-22,-23,-13,9
MN,Mongolia,,,,,,2020-03-20,-21,0,-24,-20,-11,9
MN,Mongolia,,,,,,2020-03-21,-17,2,-13,-15,-6,5
MN,Mongolia,,,,,,2020-03-22,-16,1,8,-16,-7,1
MN,Mongolia,,,,,,2020-03-23,-14,1,-2,-14,-9,4
MN,Mongolia,,,,,,2020-03-24,-19,-1,-13,-16,-9,6
MN,Mongolia,,,,,,2020-03-25,-21,-5,-24,-23,-9,8
MN,Mongolia,,,,,,2020-03-26,-20,-4,-25,-21,-9,8
MN,Mongolia,,,,,,2020-03-27,-19,1,-24,-17,-8,8
MN,Mongolia,,,,,,2020-03-28,-17,1,-8,-15,-3,4
MN,Mongolia,,,,,,2020-03-29,-16,5,5,-16,-2,2
MN,Mongolia,,,,,,2020-03-30,-17,-3,-13,-16,-6,6
MN,Mongolia,,,,,,2020-03-31,-15,2,-13,-15,-6,5
MN,Mongolia,,,,,,2020-04-01,-12,6,0,-11,-6,4
MN,Mongolia,,,,,,2020-04-02,-10,7,0,-10,-5,4
MN,Mongolia,,,,,,2020-04-03,-12,9,0,-10,-5,5
MN,Mongolia,,,,,,2020-04-04,-10,14,23,-4,-3,0
MN,Mongolia,,,,,,2020-04-05,-12,11,21,-10,-2,-1
MN,Mongolia,,,,,,2020-04-06,-13,4,-11,-13,-5,4
MN,Mongolia,,,,,,2020-04-07,-12,7,-9,-11,-5,4
MN,Mongolia,,,,,,2020-04-08,-10,7,0,-8,-4,3
MN,Mongolia,,,,,,2020-04-09,-12,6,1,-13,-5,4
MN,Mongolia,,,,,,2020-04-10,-12,10,-2,-10,-5,4
MN,Mongolia,,,,,,2020-04-11,-8,15,14,-3,-1,0
MN,Mongolia,,,,,,2020-04-12,-13,11,5,-7,-1,0
MN,Mongolia,,,,,,2020-04-13,-11,4,-5,-9,-3,4
MN,Mongolia,,,,,,2020-04-14,-17,6,-12,-12,-4,4
MN,Mongolia,,,,,,2020-04-15,-16,5,-16,-13,-5,6
MN,Mongolia,,,,,,2020-04-16,-9,8,-4,-7,-3,4
MN,Mongolia,,,,,,2020-04-17,-10,14,-2,-6,-3,4
MN,Mongolia,,,,,,2020-04-18,-10,8,2,-5,3,1
MN,Mongolia,,,,,,2020-04-19,-16,2,-17,-16,2,2
MN,Mongolia,,,,,,2020-04-20,-5,7,-10,-8,0,3
MN,Mongolia,,,,,,2020-04-21,-7,10,-10,-9,-3,3
MN,Mongolia,,,,,,2020-04-22,-11,5,-9,-16,-2,4
MN,Mongolia,,,,,,2020-04-23,-10,4,2,-14,-2,5
MN,Mongolia,,,,,,2020-04-24,-11,8,-1,-14,-1,5
MN,Mongolia,,,,,,2020-04-25,-6,17,11,3,7,-1
MN,Mongolia,,,,,,2020-04-26,-3,20,40,0,7,-4
MN,Mongolia,,,,,,2020-04-27,-4,10,18,-2,1,1
MN,Mongolia,,,,,,2020-04-28,-3,16,23,-2,0,0
MN,Mongolia,,,,,,2020-04-29,-4,13,21,-2,1,0
MN,Mongolia,,,,,,2020-04-30,1,20,28,1,2,-1
MN,Mongolia,,,,,,2020-05-01,1,28,23,3,1,-1
MN,Mongolia,,,,,,2020-05-02,2,24,13,5,9,-2
MN,Mongolia,,,,,,2020-05-03,3,30,43,12,10,-5
MN,Mongolia,,,,,,2020-05-04,2,20,20,2,3,-1
MN,Mongolia,,,,,,2020-05-05,4,26,30,5,3,-1
MN,Mongolia,,,,,,2020-05-06,3,29,13,6,4,0
MN,Mongolia,,,,,,2020-05-07,1,27,18,6,-4,2
MN,Mongolia,,,,,,2020-05-08,5,31,12,10,4,1
MN,Mongolia,,,,,,2020-05-09,2,22,5,3,9,0
MN,Mongolia,,,,,,2020-05-10,4,28,16,8,12,-3
MN,Mongolia,,,,,,2020-05-11,6,24,24,8,6,-1
MN,Mongolia,,,,,,2020-05-12,10,32,37,12,6,-2
MN,Mongolia,,,,,,2020-05-13,6,28,36,11,6,-2
MN,Mongolia,,,,,,2020-05-14,5,28,35,8,6,-2
MN,Mongolia,,,,,,2020-05-15,-5,17,-6,-3,4,3
MN,Mongolia,,,,,,2020-05-16,-1,18,-4,1,11,3
MN,Mongolia,,,,,,2020-05-17,11,30,29,10,17,-2
MN,Mongolia,,,,,,2020-05-18,11,29,41,15,8,-3
MN,Mongolia,,,,,,2020-05-19,10,31,45,14,8,-2
MN,Mongolia,,,,,,2020-05-20,9,31,32,14,6,-1
MN,Mongolia,,,,,,2020-05-21,11,34,30,12,6,-1
MN,Mongolia,,,,,,2020-05-22,6,32,19,10,7,-1
MN,Mongolia,,,,,,2020-05-23,11,34,43,18,15,-5
MN,Mongolia,,,,,,2020-05-24,11,39,44,12,14,-7
MN,Mongolia,,,,,,2020-05-25,12,34,33,15,4,-4
MN,Mongolia,,,,,,2020-05-26,8,32,37,9,8,-3
MN,Mongolia,,,,,,2020-05-27,11,32,44,11,9,-3
MN,Mongolia,,,,,,2020-05-28,8,29,32,9,9,-2
MN,Mongolia,,,,,,2020-05-29,9,34,20,12,7,0
MN,Mongolia,,,,,,2020-05-30,18,42,25,20,20,-4
MN,Mongolia,,,,,,2020-05-31,28,63,57,26,21,-10
MN,Mongolia,,,,,,2020-06-01,-4,43,49,-1,-51,1
MN,Mongolia,,,,,,2020-06-02,9,32,30,12,9,-5
MN,Mongolia,,,,,,2020-06-03,13,34,41,16,10,-4
MN,Mongolia,,,,,,2020-06-04,17,42,56,19,8,-6
MN,Mongolia,,,,,,2020-06-05,-6,36,25,5,-34,1
MN,Mongolia,,,,,,2020-06-06,7,32,63,14,11,-8
MN,Mongolia,,,,,,2020-06-07,12,37,53,16,21,-10
MN,Mongolia,,,,,,2020-06-08,10,34,38,17,10,-4
MN,Mongolia,,,,,,2020-06-09,14,38,36,19,9,-5
MN,Mongolia,,,,,,2020-06-10,16,42,46,21,10,-5
MN,Mongolia,,,,,,2020-06-11,14,38,46,18,9,-5
MN,Mongolia,,,,,,2020-06-12,9,38,26,14,7,-4
MN,Mongolia,,,,,,2020-06-13,13,43,56,21,19,-9
MN,Mongolia,,,,,,2020-06-14,14,44,73,17,23,-11
MN,Mongolia,,,,,,2020-06-15,15,38,52,17,8,-7
MN,Mongolia,,,,,,2020-06-16,17,44,68,19,7,-7
MN,Mongolia,,,,,,2020-06-17,17,42,62,23,8,-7
MN,Mongolia,,,,,,2020-06-18,15,37,66,17,7,-7
MN,Mongolia,,,,,,2020-06-19,11,42,43,15,5,-7
MN,Mongolia,,,,,,2020-06-20,14,41,82,18,20,-11
MN,Mongolia,,,,,,2020-06-21,15,38,58,16,21,-10
MN,Mongolia,,,,,,2020-06-22,21,39,66,24,5,-7
MN,Mongolia,,,,,,2020-06-23,21,49,47,25,2,-7
MN,Mongolia,,,,,,2020-06-24,-5,34,23,14,-46,2
MN,Mongolia,,,,,,2020-06-25,14,38,54,15,1,-4
MN,Mongolia,,,,,,2020-06-26,14,48,63,17,0,-6
MN,Mongolia,,,,,,2020-06-27,11,45,98,17,8,-10
MN,Mongolia,,,,,,2020-06-28,12,44,94,12,8,-12
MN,Mongolia,,,,,,2020-06-29,15,37,81,17,-1,-7
MN,Mongolia,,,,,,2020-06-30,18,49,82,20,-1,-8
MN,Mongolia,,,,,,2020-07-01,21,50,86,25,-2,-8
MN,Mongolia,,,,,,2020-07-02,23,52,95,22,-3,-7
MN,Mongolia,,,,,,2020-07-03,19,54,81,22,-4,-7
MN,Mongolia,,,,,,2020-07-04,21,52,99,25,7,-11
MN,Mongolia,,,,,,2020-07-05,23,54,103,23,10,-13
MN,Mongolia,,,,,,2020-07-06,26,49,89,26,-5,-9
MN,Mongolia,,,,,,2020-07-07,30,62,91,28,-6,-9
MN,Mongolia,,,,,,2020-07-08,30,61,86,30,-7,-9
