country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
MT,Malta,,,,,,2020-02-15,6,3,21,6,3,-1
MT,Malta,,,,,,2020-02-16,6,12,16,6,2,-1
MT,Malta,,,,,,2020-02-17,5,5,32,6,3,-1
MT,Malta,,,,,,2020-02-18,9,4,23,5,3,-1
MT,Malta,,,,,,2020-02-19,7,3,18,7,3,-1
MT,Malta,,,,,,2020-02-20,9,3,22,8,3,-1
MT,Malta,,,,,,2020-02-21,10,6,36,12,0,-1
MT,Malta,,,,,,2020-02-22,7,3,60,11,0,-2
MT,Malta,,,,,,2020-02-23,11,9,60,14,2,-3
MT,Malta,,,,,,2020-02-24,13,10,62,9,-9,0
MT,Malta,,,,,,2020-02-25,16,23,65,12,-7,-1
MT,Malta,,,,,,2020-02-26,5,15,25,6,-4,1
MT,Malta,,,,,,2020-02-27,4,6,13,3,3,1
MT,Malta,,,,,,2020-02-28,7,7,14,4,3,0
MT,Malta,,,,,,2020-02-29,7,7,16,5,4,0
MT,Malta,,,,,,2020-03-01,12,10,24,9,3,-1
MT,Malta,,,,,,2020-03-02,6,7,32,5,3,0
MT,Malta,,,,,,2020-03-03,4,4,-9,-1,3,1
MT,Malta,,,,,,2020-03-04,1,5,-3,0,3,1
MT,Malta,,,,,,2020-03-05,7,5,17,4,3,0
MT,Malta,,,,,,2020-03-06,8,8,22,4,4,0
MT,Malta,,,,,,2020-03-07,1,14,-6,-1,4,1
MT,Malta,,,,,,2020-03-08,0,11,-1,-3,2,1
MT,Malta,,,,,,2020-03-09,-1,12,15,1,3,1
MT,Malta,,,,,,2020-03-10,-1,16,0,-2,2,2
MT,Malta,,,,,,2020-03-11,-3,17,18,0,2,2
MT,Malta,,,,,,2020-03-12,-11,37,3,-9,-3,5
MT,Malta,,,,,,2020-03-13,-28,25,-6,-22,-22,13
MT,Malta,,,,,,2020-03-14,-43,1,-13,-26,-14,11
MT,Malta,,,,,,2020-03-15,-55,-16,-19,-36,-22,12
MT,Malta,,,,,,2020-03-16,-39,-7,-27,-35,-34,16
MT,Malta,,,,,,2020-03-17,-45,-6,-44,-39,-41,19
MT,Malta,,,,,,2020-03-18,-52,-7,-34,-38,-44,20
MT,Malta,,,,,,2020-03-19,-70,-33,-13,-51,-78,31
MT,Malta,,,,,,2020-03-20,-60,-13,-42,-47,-53,26
MT,Malta,,,,,,2020-03-21,-74,-30,-69,-59,-41,21
MT,Malta,,,,,,2020-03-22,-80,-39,-68,-65,-47,20
MT,Malta,,,,,,2020-03-23,-64,-26,-46,-52,-51,24
MT,Malta,,,,,,2020-03-24,-65,-28,-53,-53,-53,25
MT,Malta,,,,,,2020-03-25,-72,-39,-67,-60,-55,27
MT,Malta,,,,,,2020-03-26,-67,-27,-56,-56,-54,27
MT,Malta,,,,,,2020-03-27,-67,-12,-54,-55,-54,28
MT,Malta,,,,,,2020-03-28,-72,-23,-42,-52,-47,20
MT,Malta,,,,,,2020-03-29,-76,-38,-45,-57,-49,19
MT,Malta,,,,,,2020-03-30,-66,-29,-56,-57,-62,27
MT,Malta,,,,,,2020-03-31,-71,-39,-17,-54,-81,32
MT,Malta,,,,,,2020-04-01,-62,-23,-40,-50,-54,25
MT,Malta,,,,,,2020-04-02,-65,-31,-55,-55,-56,27
MT,Malta,,,,,,2020-04-03,-70,-28,-63,-58,-56,30
MT,Malta,,,,,,2020-04-04,-73,-25,-49,-56,-48,21
MT,Malta,,,,,,2020-04-05,-74,-32,-38,-54,-48,18
MT,Malta,,,,,,2020-04-06,-61,-27,-35,-51,-55,24
MT,Malta,,,,,,2020-04-07,-62,-26,-46,-52,-56,25
MT,Malta,,,,,,2020-04-08,-61,-21,-27,-48,-56,25
MT,Malta,,,,,,2020-04-09,-60,-13,-35,-49,-58,26
MT,Malta,,,,,,2020-04-10,-78,-57,-16,-60,-84,37
MT,Malta,,,,,,2020-04-11,-71,-11,-41,-51,-50,20
MT,Malta,,,,,,2020-04-12,-77,-50,-41,-55,-51,19
MT,Malta,,,,,,2020-04-13,-61,-26,-28,-50,-59,26
MT,Malta,,,,,,2020-04-14,-62,-31,-41,-51,-56,26
MT,Malta,,,,,,2020-04-15,-63,-29,-31,-49,-56,25
MT,Malta,,,,,,2020-04-16,-63,-28,-36,-50,-57,26
MT,Malta,,,,,,2020-04-17,-64,-21,-22,-49,-56,28
MT,Malta,,,,,,2020-04-18,-69,-25,-26,-48,-43,19
MT,Malta,,,,,,2020-04-19,-72,-36,-29,-50,-44,17
MT,Malta,,,,,,2020-04-20,-63,-33,-47,-52,-54,25
MT,Malta,,,,,,2020-04-21,-59,-28,-34,-47,-53,24
MT,Malta,,,,,,2020-04-22,-61,-28,-26,-46,-53,24
MT,Malta,,,,,,2020-04-23,-60,-27,-29,-48,-54,25
MT,Malta,,,,,,2020-04-24,-62,-21,-27,-47,-54,27
MT,Malta,,,,,,2020-04-25,-66,-20,-21,-43,-42,17
MT,Malta,,,,,,2020-04-26,-68,-29,-24,-46,-42,16
MT,Malta,,,,,,2020-04-27,-56,-25,-13,-44,-51,23
MT,Malta,,,,,,2020-04-28,-55,-25,-19,-42,-51,21
MT,Malta,,,,,,2020-04-29,-59,-25,-32,-43,-51,24
MT,Malta,,,,,,2020-04-30,-52,-13,-12,-40,-52,22
MT,Malta,,,,,,2020-05-01,-67,-30,14,-46,-78,31
MT,Malta,,,,,,2020-05-02,-62,-11,-21,-41,-39,17
MT,Malta,,,,,,2020-05-03,-65,-26,-19,-43,-37,14
MT,Malta,,,,,,2020-05-04,-45,-20,-11,-38,-48,21
MT,Malta,,,,,,2020-05-05,-46,-19,-15,-37,-47,21
MT,Malta,,,,,,2020-05-06,-46,-16,-1,-33,-47,21
MT,Malta,,,,,,2020-05-07,-47,-15,-17,-36,-48,22
MT,Malta,,,,,,2020-05-08,-48,-6,-3,-33,-47,23
MT,Malta,,,,,,2020-05-09,-50,-4,-8,-28,-31,14
MT,Malta,,,,,,2020-05-10,-61,-19,-26,-34,-31,13
MT,Malta,,,,,,2020-05-11,-45,-17,-16,-36,-45,20
MT,Malta,,,,,,2020-05-12,-44,-18,-5,-32,-45,20
MT,Malta,,,,,,2020-05-13,-47,-17,-10,-35,-45,21
MT,Malta,,,,,,2020-05-14,-47,-17,-8,-37,-46,20
MT,Malta,,,,,,2020-05-15,-50,-10,4,-34,-47,22
MT,Malta,,,,,,2020-05-16,-54,-12,1,-31,-30,13
MT,Malta,,,,,,2020-05-17,-61,-22,-1,-35,-30,12
MT,Malta,,,,,,2020-05-18,-44,-15,-17,-35,-44,20
MT,Malta,,,,,,2020-05-19,-41,-15,-21,-35,-43,20
MT,Malta,,,,,,2020-05-20,-41,-14,-5,-32,-43,20
MT,Malta,,,,,,2020-05-21,-41,-12,-8,-33,-42,20
MT,Malta,,,,,,2020-05-22,-39,-7,13,-30,-42,20
MT,Malta,,,,,,2020-05-23,-43,-9,15,-26,-22,11
MT,Malta,,,,,,2020-05-24,-49,-21,14,-29,-20,9
MT,Malta,,,,,,2020-05-25,-32,-12,15,-30,-41,17
MT,Malta,,,,,,2020-05-26,-30,-13,0,-30,-38,17
MT,Malta,,,,,,2020-05-27,-40,-19,-18,-35,-40,19
MT,Malta,,,,,,2020-05-28,-29,-7,13,-27,-38,17
MT,Malta,,,,,,2020-05-29,-31,-4,19,-26,-39,18
MT,Malta,,,,,,2020-05-30,-41,-7,-22,-30,-14,11
MT,Malta,,,,,,2020-05-31,-41,-18,18,-25,-8,7
MT,Malta,,,,,,2020-06-01,-27,-9,14,-27,-37,16
MT,Malta,,,,,,2020-06-02,-25,-11,2,-27,-35,15
MT,Malta,,,,,,2020-06-03,-25,-10,25,-24,-35,15
MT,Malta,,,,,,2020-06-04,-25,-8,13,-27,-35,16
MT,Malta,,,,,,2020-06-05,-27,-4,-3,-27,-34,16
MT,Malta,,,,,,2020-06-06,-28,-4,0,-23,-9,8
MT,Malta,,,,,,2020-06-07,-34,-19,17,-24,-6,5
MT,Malta,,,,,,2020-06-08,-23,-9,17,-25,-32,13
MT,Malta,,,,,,2020-06-09,-20,-12,5,-25,-30,13
MT,Malta,,,,,,2020-06-10,-20,-8,23,-22,-30,12
MT,Malta,,,,,,2020-06-11,-19,-7,22,-24,-31,12
MT,Malta,,,,,,2020-06-12,-20,-2,33,-23,-31,12
MT,Malta,,,,,,2020-06-13,-25,-4,29,-20,-6,4
MT,Malta,,,,,,2020-06-14,-31,-18,21,-26,-1,3
MT,Malta,,,,,,2020-06-15,-19,-8,10,-25,-30,12
MT,Malta,,,,,,2020-06-16,-14,-7,-1,-24,-28,12
MT,Malta,,,,,,2020-06-17,-14,-6,28,-20,-28,11
MT,Malta,,,,,,2020-06-18,-14,-7,28,-23,-29,11
MT,Malta,,,,,,2020-06-19,-14,-1,31,-21,-30,10
MT,Malta,,,,,,2020-06-20,-17,-1,26,-19,-4,3
MT,Malta,,,,,,2020-06-21,-24,-15,5,-24,4,3
MT,Malta,,,,,,2020-06-22,-15,-7,23,-24,-30,10
MT,Malta,,,,,,2020-06-23,-11,-8,18,-21,-28,10
MT,Malta,,,,,,2020-06-24,-11,-8,35,-19,-27,9
MT,Malta,,,,,,2020-06-25,-10,-5,32,-20,-27,9
MT,Malta,,,,,,2020-06-26,-10,1,44,-16,-30,8
MT,Malta,,,,,,2020-06-27,-16,-2,40,-16,-7,1
MT,Malta,,,,,,2020-06-28,-22,-15,34,-21,2,0
MT,Malta,,,,,,2020-06-29,-16,-22,115,-23,-68,13
MT,Malta,,,,,,2020-06-30,-3,1,17,-17,-27,7
MT,Malta,,,,,,2020-07-01,-5,-3,41,-10,-25,6
MT,Malta,,,,,,2020-07-02,-5,-5,31,-15,-26,7
MT,Malta,,,,,,2020-07-03,-7,2,41,-13,-26,6
MT,Malta,,,,,,2020-07-04,-13,-3,28,-14,-5,1
MT,Malta,,,,,,2020-07-05,-20,-13,15,-21,3,1
MT,Malta,,,,,,2020-07-06,-6,-4,39,-14,-26,6
MT,Malta,,,,,,2020-07-07,0,-1,25,-12,-25,6
MT,Malta,,,,,,2020-07-08,-3,-5,52,-12,-24,5
MT,Malta,,,,,,2020-07-09,-4,-3,46,-13,-24,6
MT,Malta,,,,,,2020-07-10,-5,1,59,-12,-25,5
MT,Malta,,,,,,2020-07-11,-12,-4,51,-11,-5,0
MT,Malta,,,,,,2020-07-12,-20,-14,32,-17,2,-1
MT,Malta,,,,,,2020-07-13,-4,-3,53,-12,-26,5
MT,Malta,,,,,,2020-07-14,1,-3,38,-11,-24,5
MT,Malta,,,,,,2020-07-15,1,-3,59,-10,-22,4
MT,Malta,,,,,,2020-07-16,1,-5,54,-11,-23,5
MT,Malta,,,,,,2020-07-17,0,1,54,-8,-25,4
MT,Malta,,,,,,2020-07-18,-8,-4,47,-8,-5,-1
MT,Malta,,,,,,2020-07-19,-14,-12,31,-11,1,-1
MT,Malta,,,,,,2020-07-20,-2,-2,62,-8,-26,5
MT,Malta,,,,,,2020-07-21,5,-3,50,-6,-24,4
MT,Malta,,,,,,2020-07-22,5,-2,72,-5,-21,4
MT,Malta,,,,,,2020-07-23,5,-3,63,-6,-23,4
MT,Malta,,,,,,2020-07-24,1,3,70,-4,-24,4
MT,Malta,,,,,,2020-07-25,-7,-3,57,-6,-7,-1
MT,Malta,,,,,,2020-07-26,-14,-11,37,-12,1,-1
MT,Malta,,,,,,2020-07-27,0,-1,69,-6,-26,4
MT,Malta,,,,,,2020-07-28,4,-2,51,-8,-24,5
MT,Malta,,,,,,2020-07-29,3,-1,71,-5,-24,4
MT,Malta,,,,,,2020-07-30,3,-3,64,-9,-25,5
MT,Malta,,,,,,2020-07-31,2,4,72,-6,-27,4
MT,Malta,,,,,,2020-08-01,-8,-4,48,-6,-8,0
MT,Malta,,,,,,2020-08-02,-14,-9,35,-13,-2,0
MT,Malta,,,,,,2020-08-03,2,-1,69,-7,-27,5
MT,Malta,,,,,,2020-08-04,8,1,51,-7,-25,5
MT,Malta,,,,,,2020-08-05,9,3,70,-4,-24,5
MT,Malta,,,,,,2020-08-06,7,1,66,-4,-25,5
