country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
MU,Mauritius,,,,,,2020-02-15,3,-1,-12,1,32,1
MU,Mauritius,,,,,,2020-02-16,1,1,12,-4,1,1
MU,Mauritius,,,,,,2020-02-17,-4,-3,7,0,3,0
MU,Mauritius,,,,,,2020-02-18,-1,-3,24,5,-1,-1
MU,Mauritius,,,,,,2020-02-19,-3,-6,27,7,-2,-2
MU,Mauritius,,,,,,2020-02-20,-2,-2,34,-6,-15,-1
MU,Mauritius,,,,,,2020-02-21,-36,-30,43,-32,-63,16
MU,Mauritius,,,,,,2020-02-22,-1,-1,-4,-7,26,2
MU,Mauritius,,,,,,2020-02-23,-3,-3,8,-10,1,2
MU,Mauritius,,,,,,2020-02-24,-4,-6,-4,-2,4,0
MU,Mauritius,,,,,,2020-02-25,0,-4,5,-2,3,0
MU,Mauritius,,,,,,2020-02-26,0,-4,-6,-4,6,0
MU,Mauritius,,,,,,2020-02-27,3,-3,-15,0,1,0
MU,Mauritius,,,,,,2020-02-28,2,-1,-16,0,16,0
MU,Mauritius,,,,,,2020-02-29,17,10,-14,2,35,-1
MU,Mauritius,,,,,,2020-03-01,17,11,-2,2,3,1
MU,Mauritius,,,,,,2020-03-02,7,4,-15,-2,3,1
MU,Mauritius,,,,,,2020-03-03,7,3,-2,-1,3,0
MU,Mauritius,,,,,,2020-03-04,4,0,-1,-4,6,0
MU,Mauritius,,,,,,2020-03-05,5,1,-2,-2,1,0
MU,Mauritius,,,,,,2020-03-06,-2,-3,-9,-1,17,1
MU,Mauritius,,,,,,2020-03-07,1,-3,-30,-4,32,2
MU,Mauritius,,,,,,2020-03-08,4,2,-24,-14,-1,4
MU,Mauritius,,,,,,2020-03-09,-2,-2,-23,-7,3,1
MU,Mauritius,,,,,,2020-03-10,-6,-8,-13,-23,-14,8
MU,Mauritius,,,,,,2020-03-11,5,-1,1,-18,-10,4
MU,Mauritius,,,,,,2020-03-12,-24,-31,-15,-41,-67,18
MU,Mauritius,,,,,,2020-03-13,-28,-15,-41,-34,-10,13
MU,Mauritius,,,,,,2020-03-14,-3,1,-30,-14,29,4
MU,Mauritius,,,,,,2020-03-15,2,12,-15,-15,0,4
MU,Mauritius,,,,,,2020-03-16,-3,5,-20,-8,3,1
MU,Mauritius,,,,,,2020-03-17,-11,-8,-15,-26,-16,8
MU,Mauritius,,,,,,2020-03-18,-8,-8,-8,-9,5,0
MU,Mauritius,,,,,,2020-03-19,-15,37,-26,-30,-21,7
MU,Mauritius,,,,,,2020-03-20,-75,-40,-68,-72,-69,32
MU,Mauritius,,,,,,2020-03-21,-83,-58,-83,-74,-55,26
MU,Mauritius,,,,,,2020-03-22,-90,-90,-88,-82,-62,24
MU,Mauritius,,,,,,2020-03-23,-83,-63,-83,-85,-84,36
MU,Mauritius,,,,,,2020-03-24,-88,-72,-83,-90,-87,38
MU,Mauritius,,,,,,2020-03-25,-95,-94,-88,-92,-91,40
MU,Mauritius,,,,,,2020-03-26,-92,-90,-85,-91,-89,37
MU,Mauritius,,,,,,2020-03-27,-92,-87,-84,-90,-87,40
MU,Mauritius,,,,,,2020-03-28,-91,-87,-88,-90,-73,30
MU,Mauritius,,,,,,2020-03-29,-89,-86,-88,-89,-69,24
MU,Mauritius,,,,,,2020-03-30,-88,-81,-82,-90,-87,37
MU,Mauritius,,,,,,2020-03-31,-88,-80,-79,-89,-87,37
MU,Mauritius,,,,,,2020-04-01,-88,-81,-81,-90,-86,37
MU,Mauritius,,,,,,2020-04-02,-78,-56,-77,-87,-85,34
MU,Mauritius,,,,,,2020-04-03,-83,-60,-81,-87,-83,38
MU,Mauritius,,,,,,2020-04-04,-82,-62,-84,-86,-65,27
MU,Mauritius,,,,,,2020-04-05,-91,-90,-88,-91,-69,24
MU,Mauritius,,,,,,2020-04-06,-80,-57,-77,-88,-84,35
MU,Mauritius,,,,,,2020-04-07,-80,-58,-76,-87,-84,35
MU,Mauritius,,,,,,2020-04-08,-82,-62,-78,-88,-84,35
MU,Mauritius,,,,,,2020-04-09,-82,-63,-77,-87,-84,35
MU,Mauritius,,,,,,2020-04-10,-84,-63,-79,-87,-82,38
MU,Mauritius,,,,,,2020-04-11,-83,-63,-83,-86,-63,27
MU,Mauritius,,,,,,2020-04-12,-90,-90,-87,-90,-66,24
MU,Mauritius,,,,,,2020-04-13,-81,-61,-79,-87,-84,36
MU,Mauritius,,,,,,2020-04-14,-80,-61,-76,-88,-83,35
MU,Mauritius,,,,,,2020-04-15,-82,-65,-79,-88,-82,35
MU,Mauritius,,,,,,2020-04-16,-80,-61,-74,-85,-82,34
MU,Mauritius,,,,,,2020-04-17,-83,-63,-77,-86,-79,37
MU,Mauritius,,,,,,2020-04-18,-84,-69,-84,-86,-59,27
MU,Mauritius,,,,,,2020-04-19,-91,-92,-86,-90,-64,24
MU,Mauritius,,,,,,2020-04-20,-81,-65,-76,-87,-80,35
MU,Mauritius,,,,,,2020-04-21,-80,-65,-74,-87,-81,35
MU,Mauritius,,,,,,2020-04-22,-82,-68,-75,-87,-80,34
MU,Mauritius,,,,,,2020-04-23,-81,-66,-75,-87,-81,34
MU,Mauritius,,,,,,2020-04-24,-84,-68,-78,-86,-78,37
MU,Mauritius,,,,,,2020-04-25,-84,-70,-84,-87,-59,27
MU,Mauritius,,,,,,2020-04-26,-92,-93,-88,-91,-66,24
MU,Mauritius,,,,,,2020-04-27,-79,-63,-75,-87,-79,34
MU,Mauritius,,,,,,2020-04-28,-78,-62,-71,-86,-79,34
MU,Mauritius,,,,,,2020-04-29,-80,-64,-73,-86,-78,34
MU,Mauritius,,,,,,2020-04-30,-77,-59,-72,-84,-78,33
MU,Mauritius,,,,,,2020-05-01,-84,-67,-78,-89,-83,38
MU,Mauritius,,,,,,2020-05-02,-79,-62,-80,-83,-52,25
MU,Mauritius,,,,,,2020-05-03,-92,-92,-88,-91,-63,24
MU,Mauritius,,,,,,2020-05-04,-75,-56,-72,-84,-76,32
MU,Mauritius,,,,,,2020-05-05,-74,-57,-69,-83,-76,32
MU,Mauritius,,,,,,2020-05-06,-75,-60,-69,-83,-74,32
MU,Mauritius,,,,,,2020-05-07,-75,-58,-69,-82,-75,31
MU,Mauritius,,,,,,2020-05-08,-77,-58,-71,-81,-71,34
MU,Mauritius,,,,,,2020-05-09,-76,-60,-76,-79,-45,24
MU,Mauritius,,,,,,2020-05-10,-89,-91,-83,-88,-57,23
MU,Mauritius,,,,,,2020-05-11,-73,-56,-69,-81,-70,31
MU,Mauritius,,,,,,2020-05-12,-73,-55,-67,-81,-71,31
MU,Mauritius,,,,,,2020-05-13,-75,-60,-69,-81,-68,31
MU,Mauritius,,,,,,2020-05-14,-73,-58,-70,-80,-69,29
MU,Mauritius,,,,,,2020-05-15,-70,-55,-66,-73,-56,29
MU,Mauritius,,,,,,2020-05-16,-67,-54,-74,-71,-27,21
MU,Mauritius,,,,,,2020-05-17,-88,-91,-83,-87,-56,22
MU,Mauritius,,,,,,2020-05-18,-56,-45,-63,-66,-51,24
MU,Mauritius,,,,,,2020-05-19,-57,-46,-60,-66,-52,24
MU,Mauritius,,,,,,2020-05-20,-57,-48,-61,-66,-50,24
MU,Mauritius,,,,,,2020-05-21,-54,-43,-63,-62,-52,23
MU,Mauritius,,,,,,2020-05-22,-58,-42,-63,-62,-41,25
MU,Mauritius,,,,,,2020-05-23,-57,-42,-72,-63,-12,19
MU,Mauritius,,,,,,2020-05-24,-86,-88,-82,-82,-45,20
MU,Mauritius,,,,,,2020-05-25,-54,-42,-61,-64,-48,22
MU,Mauritius,,,,,,2020-05-26,-51,-41,-57,-63,-45,22
MU,Mauritius,,,,,,2020-05-27,-52,-42,-58,-63,-43,22
MU,Mauritius,,,,,,2020-05-28,-48,-36,-57,-59,-44,21
MU,Mauritius,,,,,,2020-05-29,-51,-33,-55,-58,-34,22
MU,Mauritius,,,,,,2020-05-30,-50,-35,-65,-56,4,16
MU,Mauritius,,,,,,2020-05-31,-18,-9,-50,-42,6,7
MU,Mauritius,,,,,,2020-06-01,-17,-13,-41,-42,-29,13
MU,Mauritius,,,,,,2020-06-02,-20,-17,-40,-41,-28,14
MU,Mauritius,,,,,,2020-06-03,-21,-16,-39,-40,-26,14
MU,Mauritius,,,,,,2020-06-04,-22,-16,-39,-36,-29,14
MU,Mauritius,,,,,,2020-06-05,-27,-15,-41,-34,-17,14
MU,Mauritius,,,,,,2020-06-06,-16,-5,-48,-30,19,8
MU,Mauritius,,,,,,2020-06-07,-27,-19,-56,-43,-10,7
MU,Mauritius,,,,,,2020-06-08,-24,-17,-44,-40,-26,13
MU,Mauritius,,,,,,2020-06-09,-26,-21,-43,-42,-27,14
MU,Mauritius,,,,,,2020-06-10,-26,-21,-42,-43,-25,14
MU,Mauritius,,,,,,2020-06-11,-25,-20,-39,-40,-28,13
MU,Mauritius,,,,,,2020-06-12,-28,-18,-43,-37,-15,14
MU,Mauritius,,,,,,2020-06-13,-15,-8,-45,-32,24,8
MU,Mauritius,,,,,,2020-06-14,-22,-18,-44,-43,-3,7
MU,Mauritius,,,,,,2020-06-15,-21,-17,-19,-38,-23,11
MU,Mauritius,,,,,,2020-06-16,-18,-14,-15,-34,-23,12
MU,Mauritius,,,,,,2020-06-17,-22,-18,-31,-35,-21,12
MU,Mauritius,,,,,,2020-06-18,-22,-18,-29,-38,-26,12
MU,Mauritius,,,,,,2020-06-19,-25,-16,-30,-33,-13,12
MU,Mauritius,,,,,,2020-06-20,-14,-7,-36,-31,26,7
MU,Mauritius,,,,,,2020-06-21,-18,-13,-24,-42,-3,7
MU,Mauritius,,,,,,2020-06-22,-20,-15,-27,-36,-24,11
MU,Mauritius,,,,,,2020-06-23,-16,-12,-15,-33,-24,11
MU,Mauritius,,,,,,2020-06-24,-16,-12,-20,-34,-18,10
MU,Mauritius,,,,,,2020-06-25,-16,-10,-25,-34,-24,10
MU,Mauritius,,,,,,2020-06-26,-14,-2,-22,-27,-11,10
MU,Mauritius,,,,,,2020-06-27,-8,1,-37,-24,21,6
MU,Mauritius,,,,,,2020-06-28,-5,2,-21,-33,-2,4
MU,Mauritius,,,,,,2020-06-29,-7,-1,-24,-31,-22,9
MU,Mauritius,,,,,,2020-06-30,-1,8,-17,-26,-21,9
MU,Mauritius,,,,,,2020-07-01,-9,-3,-25,-22,-16,5
MU,Mauritius,,,,,,2020-07-02,-10,-4,-28,-20,-21,6
MU,Mauritius,,,,,,2020-07-03,-13,-2,-28,-15,-7,6
MU,Mauritius,,,,,,2020-07-04,-3,4,-29,-18,24,5
MU,Mauritius,,,,,,2020-07-05,-7,1,-22,-32,-5,5
MU,Mauritius,,,,,,2020-07-06,-15,-8,-34,-25,-18,7
MU,Mauritius,,,,,,2020-07-07,-11,-5,-27,-21,-18,7
MU,Mauritius,,,,,,2020-07-08,-14,-8,-27,-21,-11,5
MU,Mauritius,,,,,,2020-07-09,-14,-10,-29,-23,-18,6
MU,Mauritius,,,,,,2020-07-10,-17,-7,-31,-19,-3,7
MU,Mauritius,,,,,,2020-07-11,-6,0,-36,-18,21,5
MU,Mauritius,,,,,,2020-07-12,-9,-3,-25,-32,-9,6
MU,Mauritius,,,,,,2020-07-13,-16,-9,-35,-27,-15,7
MU,Mauritius,,,,,,2020-07-14,-13,-9,-22,-24,-17,7
MU,Mauritius,,,,,,2020-07-15,-15,-10,-26,-26,-10,6
MU,Mauritius,,,,,,2020-07-16,-14,-9,-28,-22,-14,6
MU,Mauritius,,,,,,2020-07-17,-17,-5,-30,-20,0,6
MU,Mauritius,,,,,,2020-07-18,-8,-2,-35,-22,19,5
MU,Mauritius,,,,,,2020-07-19,-12,-7,-28,-35,-13,6
MU,Mauritius,,,,,,2020-07-20,-17,-10,-36,-27,-14,7
MU,Mauritius,,,,,,2020-07-21,-17,-12,-30,-25,-14,7
MU,Mauritius,,,,,,2020-07-22,-17,-12,-25,-26,-8,6
MU,Mauritius,,,,,,2020-07-23,-18,-12,-35,-23,-13,6
MU,Mauritius,,,,,,2020-07-24,-19,-9,-34,-21,2,7
MU,Mauritius,,,,,,2020-07-25,-9,-1,-40,-23,17,5
MU,Mauritius,,,,,,2020-07-26,-13,-6,-39,-37,-15,6
MU,Mauritius,,,,,,2020-07-27,-15,-7,-33,-26,-12,7
MU,Mauritius,,,,,,2020-07-28,-9,-1,-21,-21,-10,6
MU,Mauritius,,,,,,2020-07-29,-4,5,-23,-16,-7,4
MU,Mauritius,,,,,,2020-07-30,-3,7,-21,-18,-13,4
MU,Mauritius,,,,,,2020-07-31,-5,11,-23,-14,-1,5
MU,Mauritius,,,,,,2020-08-01,-3,7,-29,-14,6,3
MU,Mauritius,,,,,,2020-08-02,0,11,-22,-23,-13,3
MU,Mauritius,,,,,,2020-08-03,-1,9,-25,-24,-24,5
MU,Mauritius,,,,,,2020-08-04,-9,0,-25,-24,-12,5
MU,Mauritius,,,,,,2020-08-05,-9,-1,-24,-23,-6,5
MU,Mauritius,,,,,,2020-08-06,-9,-4,-21,-19,-11,4
MU,Mauritius,,,,,,2020-08-07,-13,-6,-18,-17,3,4
MU,Mauritius,,,,,,2020-08-08,-4,0,-25,-13,16,3
MU,Mauritius,,,,,,2020-08-09,-4,-1,-15,-22,-15,3
MU,Mauritius,,,,,,2020-08-10,-12,-7,-24,-25,-11,5
MU,Mauritius,,,,,,2020-08-11,-12,-7,-16,-21,-10,5
MU,Mauritius,,,,,,2020-08-12,-10,-7,-17,-22,-7,4
MU,Mauritius,,,,,,2020-08-13,-11,-7,-19,-21,-10,4
MU,Mauritius,,,,,,2020-08-14,-11,0,-18,-13,2,4
MU,Mauritius,,,,,,2020-08-15,-21,-15,-22,-33,-21,6
MU,Mauritius,,,,,,2020-08-16,-9,-2,-20,-29,-17,3
MU,Mauritius,,,,,,2020-08-17,-15,-9,-28,-26,-11,6
MU,Mauritius,,,,,,2020-08-18,-12,-8,,-25,-7,5
MU,Mauritius,,,,,,2020-08-19,-14,-8,-27,-21,-3,4
MU,Mauritius,,,,,,2020-08-20,-15,-12,-23,-26,-8,4
MU,Mauritius,,,,,,2020-08-21,-18,-10,-27,-20,4,5
MU,Mauritius,,,,,,2020-08-22,-13,-8,-34,-24,17,4
MU,Mauritius,,,,,,2020-08-23,-17,-10,-9,-37,-18,4
MU,Mauritius,,,,,,2020-08-24,-16,-11,-30,-31,-11,6
MU,Mauritius,,,,,,2020-08-25,-11,-8,,-23,-7,4
MU,Mauritius,,,,,,2020-08-26,-10,-8,-25,-21,-2,4
MU,Mauritius,,,,,,2020-08-27,-6,-1,-18,-17,-6,3
MU,Mauritius,,,,,,2020-08-28,-5,6,-20,-14,7,3
MU,Mauritius,,,,,,2020-08-29,1,8,-19,-15,17,1
MU,Mauritius,,,,,,2020-08-30,2,6,-26,-31,-15,2
MU,Mauritius,,,,,,2020-08-31,-6,0,-27,-25,-10,4
MU,Mauritius,,,,,,2020-09-01,-4,-1,,-20,-9,4
MU,Mauritius,,,,,,2020-09-02,-7,-4,-23,-23,-3,3
MU,Mauritius,,,,,,2020-09-03,-8,-6,-20,-21,-9,3
MU,Mauritius,,,,,,2020-09-04,-8,-4,-23,-17,6,3
MU,Mauritius,,,,,,2020-09-05,1,3,-28,-22,19,2
MU,Mauritius,,,,,,2020-09-06,2,-1,-18,-32,-17,2
MU,Mauritius,,,,,,2020-09-07,-12,-11,-30,-26,-11,5
MU,Mauritius,,,,,,2020-09-08,-3,-8,,-17,-8,3
MU,Mauritius,,,,,,2020-09-09,-9,-12,-23,-25,-7,4
MU,Mauritius,,,,,,2020-09-10,-10,-14,-23,-22,-8,3
MU,Mauritius,,,,,,2020-09-11,-9,-8,-21,-15,5,3
MU,Mauritius,,,,,,2020-09-12,-2,-3,-24,-15,20,1
MU,Mauritius,,,,,,2020-09-13,1,-7,-18,-36,-18,1
MU,Mauritius,,,,,,2020-09-14,-8,-12,-21,-24,-6,3
MU,Mauritius,,,,,,2020-09-15,-5,-12,-15,-19,-5,2
MU,Mauritius,,,,,,2020-09-16,-7,-11,-17,-20,-1,2
MU,Mauritius,,,,,,2020-09-17,-10,-15,-20,-24,-7,2
MU,Mauritius,,,,,,2020-09-18,-13,-11,-22,-21,5,3
MU,Mauritius,,,,,,2020-09-19,-10,-7,-31,-28,19,2
MU,Mauritius,,,,,,2020-09-20,-6,-10,-21,-39,-20,2
MU,Mauritius,,,,,,2020-09-21,-13,-17,-27,-29,-10,4
