country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
MX,Mexico,,,,,,2020-02-15,6,4,6,4,3,-1
MX,Mexico,,,,,,2020-02-16,7,6,7,6,2,-1
MX,Mexico,,,,,,2020-02-17,2,4,3,5,11,-2
MX,Mexico,,,,,,2020-02-18,0,-1,3,2,9,-2
MX,Mexico,,,,,,2020-02-19,0,0,2,3,8,-1
MX,Mexico,,,,,,2020-02-20,0,-1,2,3,7,-1
MX,Mexico,,,,,,2020-02-21,-2,-2,-1,4,11,-1
MX,Mexico,,,,,,2020-02-22,0,0,7,4,4,0
MX,Mexico,,,,,,2020-02-23,2,1,8,7,2,-1
MX,Mexico,,,,,,2020-02-24,-2,0,6,4,8,-1
MX,Mexico,,,,,,2020-02-25,-2,-2,7,2,6,-1
MX,Mexico,,,,,,2020-02-26,-3,-1,3,1,6,-1
MX,Mexico,,,,,,2020-02-27,1,1,0,2,7,-1
MX,Mexico,,,,,,2020-02-28,3,6,3,6,12,-2
MX,Mexico,,,,,,2020-02-29,6,8,5,5,6,-1
MX,Mexico,,,,,,2020-03-01,6,9,7,7,3,-1
MX,Mexico,,,,,,2020-03-02,1,6,2,4,10,-2
MX,Mexico,,,,,,2020-03-03,1,3,2,2,9,-2
MX,Mexico,,,,,,2020-03-04,1,4,2,3,9,-1
MX,Mexico,,,,,,2020-03-05,2,3,3,3,8,-1
MX,Mexico,,,,,,2020-03-06,-1,0,0,3,12,-1
MX,Mexico,,,,,,2020-03-07,1,2,4,2,6,0
MX,Mexico,,,,,,2020-03-08,3,3,10,4,3,0
MX,Mexico,,,,,,2020-03-09,-11,-6,-8,-17,-16,7
MX,Mexico,,,,,,2020-03-10,-2,0,2,3,9,-2
MX,Mexico,,,,,,2020-03-11,-1,2,2,2,8,-1
MX,Mexico,,,,,,2020-03-12,1,4,3,3,8,-2
MX,Mexico,,,,,,2020-03-13,2,6,3,5,5,-1
MX,Mexico,,,,,,2020-03-14,2,10,6,4,3,-1
MX,Mexico,,,,,,2020-03-15,0,7,6,-4,1,-1
MX,Mexico,,,,,,2020-03-16,-11,5,-7,-30,-54,13
MX,Mexico,,,,,,2020-03-17,-7,5,-8,-9,-3,2
MX,Mexico,,,,,,2020-03-18,-13,3,-14,-17,-10,6
MX,Mexico,,,,,,2020-03-19,-17,1,-16,-22,-14,7
MX,Mexico,,,,,,2020-03-20,-23,-3,-22,-26,-14,9
MX,Mexico,,,,,,2020-03-21,-31,-7,-32,-29,-7,9
MX,Mexico,,,,,,2020-03-22,-37,-13,-37,-33,-10,8
MX,Mexico,,,,,,2020-03-23,-31,-14,-30,-37,-29,12
MX,Mexico,,,,,,2020-03-24,-35,-16,-33,-41,-34,14
MX,Mexico,,,,,,2020-03-25,-37,-16,-36,-44,-36,16
MX,Mexico,,,,,,2020-03-26,-37,-17,-36,-46,-37,16
MX,Mexico,,,,,,2020-03-27,-39,-17,-37,-47,-34,17
MX,Mexico,,,,,,2020-03-28,-40,-14,-39,-43,-18,12
MX,Mexico,,,,,,2020-03-29,-45,-19,-46,-47,-20,11
MX,Mexico,,,,,,2020-03-30,-35,-15,-36,-47,-38,15
MX,Mexico,,,,,,2020-03-31,-35,-15,-37,-48,-41,16
