country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
MZ,Mozambique,,,,,,2020-02-15,4,1,-7,-3,1,-1
MZ,Mozambique,,,,,,2020-02-16,-1,-4,-7,-7,-3,1
MZ,Mozambique,,,,,,2020-02-17,-3,-3,-2,-3,19,-4
MZ,Mozambique,,,,,,2020-02-18,-7,-8,-3,-5,15,-2
MZ,Mozambique,,,,,,2020-02-19,-7,-8,-6,-6,13,-2
MZ,Mozambique,,,,,,2020-02-20,-5,-7,-4,-1,13,-3
MZ,Mozambique,,,,,,2020-02-21,-5,-2,-3,-2,17,-3
MZ,Mozambique,,,,,,2020-02-22,3,4,-6,-5,2,-2
MZ,Mozambique,,,,,,2020-02-23,-15,-11,-18,-17,-5,3
MZ,Mozambique,,,,,,2020-02-24,-3,-2,1,-2,20,-3
MZ,Mozambique,,,,,,2020-02-25,-3,1,2,-3,17,-3
MZ,Mozambique,,,,,,2020-02-26,-1,0,1,2,17,-4
MZ,Mozambique,,,,,,2020-02-27,1,0,4,2,16,-4
MZ,Mozambique,,,,,,2020-02-28,-3,1,0,2,18,-3
MZ,Mozambique,,,,,,2020-02-29,5,12,-3,2,2,-1
MZ,Mozambique,,,,,,2020-03-01,1,6,-5,-3,-1,0
MZ,Mozambique,,,,,,2020-03-02,2,4,4,5,24,-5
MZ,Mozambique,,,,,,2020-03-03,-2,1,4,2,21,-3
MZ,Mozambique,,,,,,2020-03-04,0,2,2,3,20,-4
MZ,Mozambique,,,,,,2020-03-05,1,2,3,6,20,-4
MZ,Mozambique,,,,,,2020-03-06,1,3,2,4,22,-4
MZ,Mozambique,,,,,,2020-03-07,7,8,-2,3,6,-2
MZ,Mozambique,,,,,,2020-03-08,0,1,-6,-3,1,1
MZ,Mozambique,,,,,,2020-03-09,-1,-1,4,1,26,-4
MZ,Mozambique,,,,,,2020-03-10,-4,-3,0,3,22,-3
MZ,Mozambique,,,,,,2020-03-11,-4,-4,2,1,21,-3
MZ,Mozambique,,,,,,2020-03-12,-3,-5,0,-2,19,-3
MZ,Mozambique,,,,,,2020-03-13,-5,-5,-6,-3,21,-3
MZ,Mozambique,,,,,,2020-03-14,1,1,-5,-2,4,-2
MZ,Mozambique,,,,,,2020-03-15,-6,-4,-10,-11,-3,1
MZ,Mozambique,,,,,,2020-03-16,-7,-4,-7,-7,24,-4
MZ,Mozambique,,,,,,2020-03-17,-9,-3,-2,-6,20,-3
MZ,Mozambique,,,,,,2020-03-18,-8,-1,-3,-3,19,-3
MZ,Mozambique,,,,,,2020-03-19,-6,-3,-5,-5,17,-3
MZ,Mozambique,,,,,,2020-03-20,-7,4,-5,-3,20,-3
MZ,Mozambique,,,,,,2020-03-21,-3,10,-11,-8,2,1
MZ,Mozambique,,,,,,2020-03-22,-16,-1,-18,-15,-1,5
MZ,Mozambique,,,,,,2020-03-23,-11,-1,-15,-14,8,3
MZ,Mozambique,,,,,,2020-03-24,-15,-6,-16,-15,1,6
MZ,Mozambique,,,,,,2020-03-25,-16,-5,-15,-15,-2,6
MZ,Mozambique,,,,,,2020-03-26,-18,-9,-17,-17,-6,9
MZ,Mozambique,,,,,,2020-03-27,-23,-9,-19,-20,-4,9
MZ,Mozambique,,,,,,2020-03-28,-17,-4,-23,-19,-2,8
MZ,Mozambique,,,,,,2020-03-29,-26,-13,-22,-29,1,10
MZ,Mozambique,,,,,,2020-03-30,-16,-7,-17,-21,-4,7
MZ,Mozambique,,,,,,2020-03-31,-17,-8,-18,-21,-9,9
MZ,Mozambique,,,,,,2020-04-01,-26,-16,-24,-26,-13,11
MZ,Mozambique,,,,,,2020-04-02,-26,-18,-26,-29,-17,13
MZ,Mozambique,,,,,,2020-04-03,-30,-19,-27,-31,-13,13
MZ,Mozambique,,,,,,2020-04-04,-29,-16,-31,-31,-6,12
MZ,Mozambique,,,,,,2020-04-05,-32,-17,-29,-34,-2,12
MZ,Mozambique,,,,,,2020-04-06,-17,-11,-23,-27,-13,9
MZ,Mozambique,,,,,,2020-04-07,-45,-42,-40,-45,-63,20
MZ,Mozambique,,,,,,2020-04-08,-30,-23,-29,-31,-17,11
MZ,Mozambique,,,,,,2020-04-09,-25,-18,-29,-29,-19,12
MZ,Mozambique,,,,,,2020-04-10,-47,-38,-43,-42,-56,22
MZ,Mozambique,,,,,,2020-04-11,-26,-14,-32,-29,-6,11
MZ,Mozambique,,,,,,2020-04-12,-36,-22,-31,-38,-3,12
MZ,Mozambique,,,,,,2020-04-13,-25,-19,-26,-30,-11,11
MZ,Mozambique,,,,,,2020-04-14,-29,-24,-30,-32,-16,13
MZ,Mozambique,,,,,,2020-04-15,-29,-23,-31,-33,-18,13
MZ,Mozambique,,,,,,2020-04-16,-30,-23,-31,-31,-18,13
MZ,Mozambique,,,,,,2020-04-17,-30,-21,-32,-29,-14,13
MZ,Mozambique,,,,,,2020-04-18,-27,-13,-32,-27,-4,10
MZ,Mozambique,,,,,,2020-04-19,-34,-18,-33,-37,-1,13
MZ,Mozambique,,,,,,2020-04-20,-25,-19,-28,-29,-11,11
MZ,Mozambique,,,,,,2020-04-21,-28,-21,-30,-29,-15,12
MZ,Mozambique,,,,,,2020-04-22,-27,-18,-29,-28,-14,11
MZ,Mozambique,,,,,,2020-04-23,-23,-14,-26,-24,-15,11
MZ,Mozambique,,,,,,2020-04-24,-25,-9,-25,-23,-11,11
MZ,Mozambique,,,,,,2020-04-25,-17,1,-25,-18,0,8
MZ,Mozambique,,,,,,2020-04-26,-30,-9,-31,-33,5,12
MZ,Mozambique,,,,,,2020-04-27,-19,-11,-23,-23,-7,10
MZ,Mozambique,,,,,,2020-04-28,-22,-11,-25,-22,-11,11
