country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
NI,Nicaragua,,,,,,2020-02-15,6,5,3,1,4,-1
NI,Nicaragua,,,,,,2020-02-16,4,7,2,1,1,0
NI,Nicaragua,,,,,,2020-02-17,2,5,1,1,12,-1
NI,Nicaragua,,,,,,2020-02-18,0,0,-1,-1,11,-1
NI,Nicaragua,,,,,,2020-02-19,-5,-5,-1,-2,10,-1
NI,Nicaragua,,,,,,2020-02-20,-1,-2,-1,2,10,0
NI,Nicaragua,,,,,,2020-02-21,2,0,2,2,14,-1
NI,Nicaragua,,,,,,2020-02-22,0,0,0,-1,4,0
NI,Nicaragua,,,,,,2020-02-23,-1,-1,-2,-3,1,1
NI,Nicaragua,,,,,,2020-02-24,-1,0,-2,0,15,-1
NI,Nicaragua,,,,,,2020-02-25,-4,-3,-1,-3,11,0
NI,Nicaragua,,,,,,2020-02-26,-5,-6,0,-2,12,-1
NI,Nicaragua,,,,,,2020-02-27,-3,-4,-3,-3,11,0
NI,Nicaragua,,,,,,2020-02-28,4,2,-1,0,14,-2
NI,Nicaragua,,,,,,2020-02-29,4,7,1,0,7,0
NI,Nicaragua,,,,,,2020-03-01,7,7,-2,0,3,0
NI,Nicaragua,,,,,,2020-03-02,1,5,-1,1,16,-1
NI,Nicaragua,,,,,,2020-03-03,0,2,0,0,14,-1
NI,Nicaragua,,,,,,2020-03-04,-4,-2,-1,2,13,-1
NI,Nicaragua,,,,,,2020-03-05,1,2,2,2,13,-1
NI,Nicaragua,,,,,,2020-03-06,2,4,0,4,16,-2
NI,Nicaragua,,,,,,2020-03-07,2,4,1,0,5,0
NI,Nicaragua,,,,,,2020-03-08,2,4,-1,-2,2,1
NI,Nicaragua,,,,,,2020-03-09,-2,3,-2,-1,17,-1
NI,Nicaragua,,,,,,2020-03-10,-1,2,-3,1,16,-1
NI,Nicaragua,,,,,,2020-03-11,-4,-1,-3,-1,14,-1
NI,Nicaragua,,,,,,2020-03-12,-5,1,-2,-1,14,0
NI,Nicaragua,,,,,,2020-03-13,0,6,-1,0,17,-2
NI,Nicaragua,,,,,,2020-03-14,2,10,0,0,4,-1
NI,Nicaragua,,,,,,2020-03-15,-1,9,-1,-1,3,0
NI,Nicaragua,,,,,,2020-03-16,-2,10,-1,-2,15,-1
