country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
NO,Norway,,,,,,2020-02-15,1,1,26,7,-1,-1
NO,Norway,,,,,,2020-02-16,-5,3,-34,-5,-3,1
NO,Norway,,,,,,2020-02-17,2,0,13,-5,-12,2
NO,Norway,,,,,,2020-02-18,3,-1,15,-5,-11,1
NO,Norway,,,,,,2020-02-19,6,4,49,-1,-12,0
NO,Norway,,,,,,2020-02-20,-1,-2,-4,-9,-14,2
NO,Norway,,,,,,2020-02-21,1,-1,12,-4,-15,2
NO,Norway,,,,,,2020-02-22,-3,-1,9,2,-4,0
NO,Norway,,,,,,2020-02-23,-1,9,0,7,-2,-2
NO,Norway,,,,,,2020-02-24,1,1,21,3,-5,0
NO,Norway,,,,,,2020-02-25,1,1,13,-1,-4,1
NO,Norway,,,,,,2020-02-26,2,2,23,1,-4,0
NO,Norway,,,,,,2020-02-27,1,3,14,0,-5,1
NO,Norway,,,,,,2020-02-28,1,3,20,1,-5,1
NO,Norway,,,,,,2020-02-29,-4,-1,2,2,-2,0
NO,Norway,,,,,,2020-03-01,-10,2,-30,-1,-1,0
NO,Norway,,,,,,2020-03-02,-2,2,4,0,-2,1
NO,Norway,,,,,,2020-03-03,-1,1,6,-2,-1,1
NO,Norway,,,,,,2020-03-04,-3,1,9,1,-2,1
NO,Norway,,,,,,2020-03-05,0,4,26,3,-2,0
NO,Norway,,,,,,2020-03-06,-2,3,18,2,-2,0
NO,Norway,,,,,,2020-03-07,-7,0,29,1,-2,0
NO,Norway,,,,,,2020-03-08,-11,-2,-37,-9,-2,1
NO,Norway,,,,,,2020-03-09,-4,2,11,-2,-2,1
NO,Norway,,,,,,2020-03-10,-5,2,-4,-7,-1,2
NO,Norway,,,,,,2020-03-11,-6,9,10,-9,-3,3
NO,Norway,,,,,,2020-03-12,-6,51,-1,-20,-11,5
NO,Norway,,,,,,2020-03-13,-34,5,3,-39,-36,14
NO,Norway,,,,,,2020-03-14,-47,-9,26,-37,-23,8
NO,Norway,,,,,,2020-03-15,-71,-39,-50,-54,-27,11
NO,Norway,,,,,,2020-03-16,-39,-9,22,-49,-48,18
NO,Norway,,,,,,2020-03-17,-44,-15,10,-53,-51,19
NO,Norway,,,,,,2020-03-18,-46,-15,18,-55,-52,20
NO,Norway,,,,,,2020-03-19,-44,-11,24,-56,-52,20
NO,Norway,,,,,,2020-03-20,-44,-12,31,-55,-52,21
NO,Norway,,,,,,2020-03-21,-49,-10,80,-42,-33,9
NO,Norway,,,,,,2020-03-22,-65,-32,-8,-57,-34,12
NO,Norway,,,,,,2020-03-23,-41,-14,-1,-58,-52,20
NO,Norway,,,,,,2020-03-24,-45,-14,-8,-59,-53,20
NO,Norway,,,,,,2020-03-25,-45,-13,0,-58,-52,20
NO,Norway,,,,,,2020-03-26,-43,-10,29,-56,-52,20
