country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
PA,Panama,,,,,,2020-02-15,10,11,7,9,5,-3
PA,Panama,,,,,,2020-02-16,11,13,2,10,4,-1
PA,Panama,,,,,,2020-02-17,4,4,0,5,5,-1
PA,Panama,,,,,,2020-02-18,2,2,2,3,3,-1
PA,Panama,,,,,,2020-02-19,1,2,-1,4,4,-1
PA,Panama,,,,,,2020-02-20,7,7,0,4,4,-2
PA,Panama,,,,,,2020-02-21,4,10,7,7,2,-1
PA,Panama,,,,,,2020-02-22,-7,7,14,-9,-13,0
PA,Panama,,,,,,2020-02-23,-8,1,34,-11,-9,-1
PA,Panama,,,,,,2020-02-24,-21,-9,56,-35,-64,11
PA,Panama,,,,,,2020-02-25,-35,-18,34,-39,-73,13
PA,Panama,,,,,,2020-02-26,-14,-9,-8,-22,-34,8
PA,Panama,,,,,,2020-02-27,2,5,-6,-4,-2,0
PA,Panama,,,,,,2020-02-28,5,5,-6,3,1,0
PA,Panama,,,,,,2020-02-29,14,15,-5,8,5,-2
PA,Panama,,,,,,2020-03-01,16,20,-12,11,7,1
PA,Panama,,,,,,2020-03-02,4,10,-3,5,6,-2
PA,Panama,,,,,,2020-03-03,1,9,-2,5,5,-1
PA,Panama,,,,,,2020-03-04,-3,4,-2,5,7,0
PA,Panama,,,,,,2020-03-05,0,4,-4,4,7,0
PA,Panama,,,,,,2020-03-06,-2,-3,-2,5,9,-1
PA,Panama,,,,,,2020-03-07,2,4,-7,2,5,2
PA,Panama,,,,,,2020-03-08,1,8,-11,2,4,3
PA,Panama,,,,,,2020-03-09,-4,3,-4,1,7,0
PA,Panama,,,,,,2020-03-10,-5,14,-6,-1,4,0
PA,Panama,,,,,,2020-03-11,-16,9,-15,-11,0,5
PA,Panama,,,,,,2020-03-12,-17,7,-20,-17,-5,8
PA,Panama,,,,,,2020-03-13,-18,5,-20,-15,-5,9
PA,Panama,,,,,,2020-03-14,-22,3,-29,-18,-6,11
PA,Panama,,,,,,2020-03-15,-37,-6,-43,-26,-12,14
PA,Panama,,,,,,2020-03-16,-29,-11,-28,-25,-18,14
PA,Panama,,,,,,2020-03-17,-39,-18,-36,-34,-28,18
PA,Panama,,,,,,2020-03-18,-46,-29,-39,-39,-32,22
PA,Panama,,,,,,2020-03-19,-50,-29,-45,-46,-37,24
PA,Panama,,,,,,2020-03-20,-50,-27,-48,-45,-37,26
PA,Panama,,,,,,2020-03-21,-64,-36,-61,-52,-43,27
PA,Panama,,,,,,2020-03-22,-69,-41,-67,-59,-43,25
PA,Panama,,,,,,2020-03-23,-63,-38,-56,-61,-54,31
PA,Panama,,,,,,2020-03-24,-70,-47,-62,-67,-61,34
PA,Panama,,,,,,2020-03-25,-82,-54,-71,-77,-72,40
PA,Panama,,,,,,2020-03-26,-81,-53,-71,-76,-73,41
