country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
PG,Papua New Guinea,,,,,,2020-02-15,9,7,-4,-3,11,-2
PG,Papua New Guinea,,,,,,2020-02-16,17,12,-3,2,7,
PG,Papua New Guinea,,,,,,2020-02-17,0,4,-4,-4,8,-1
PG,Papua New Guinea,,,,,,2020-02-18,6,4,-8,-4,7,-1
PG,Papua New Guinea,,,,,,2020-02-19,1,-4,-14,-3,8,1
PG,Papua New Guinea,,,,,,2020-02-20,-1,-4,-7,-1,10,1
PG,Papua New Guinea,,,,,,2020-02-21,6,6,-5,-6,11,0
PG,Papua New Guinea,,,,,,2020-02-22,10,5,-5,-7,8,0
PG,Papua New Guinea,,,,,,2020-02-23,11,9,-7,0,10,
PG,Papua New Guinea,,,,,,2020-02-24,-1,0,-5,-6,8,-1
PG,Papua New Guinea,,,,,,2020-02-25,3,5,-10,-2,9,-1
PG,Papua New Guinea,,,,,,2020-02-26,6,8,-5,-3,13,-1
PG,Papua New Guinea,,,,,,2020-02-27,6,6,-9,0,13,0
PG,Papua New Guinea,,,,,,2020-02-28,10,11,-7,5,18,-1
PG,Papua New Guinea,,,,,,2020-02-29,11,14,-7,1,17,-2
PG,Papua New Guinea,,,,,,2020-03-01,15,19,-5,-1,16,
PG,Papua New Guinea,,,,,,2020-03-02,0,3,-10,-6,15,0
PG,Papua New Guinea,,,,,,2020-03-03,3,7,-8,-3,14,0
PG,Papua New Guinea,,,,,,2020-03-04,0,3,-12,-3,14,2
PG,Papua New Guinea,,,,,,2020-03-05,1,1,-6,-4,15,0
PG,Papua New Guinea,,,,,,2020-03-06,3,5,-9,-2,17,-1
PG,Papua New Guinea,,,,,,2020-03-07,8,9,-8,-3,15,0
PG,Papua New Guinea,,,,,,2020-03-08,9,14,-5,-6,16,
PG,Papua New Guinea,,,,,,2020-03-09,-2,0,-4,-7,13,1
PG,Papua New Guinea,,,,,,2020-03-10,2,7,-8,-1,14,0
PG,Papua New Guinea,,,,,,2020-03-11,7,13,-10,-5,18,0
PG,Papua New Guinea,,,,,,2020-03-12,7,12,-4,3,18,1
PG,Papua New Guinea,,,,,,2020-03-13,8,13,-6,-1,19,1
PG,Papua New Guinea,,,,,,2020-03-14,11,20,-3,0,19,0
PG,Papua New Guinea,,,,,,2020-03-15,11,14,-5,-8,19,
PG,Papua New Guinea,,,,,,2020-03-16,-1,7,-8,-8,16,1
PG,Papua New Guinea,,,,,,2020-03-17,3,12,-8,-2,16,-1
PG,Papua New Guinea,,,,,,2020-03-18,0,7,-9,-7,15,1
PG,Papua New Guinea,,,,,,2020-03-19,-7,2,-7,-13,12,2
PG,Papua New Guinea,,,,,,2020-03-20,-7,5,-11,-10,13,1
PG,Papua New Guinea,,,,,,2020-03-21,-5,9,-11,-9,13,2
PG,Papua New Guinea,,,,,,2020-03-22,-6,13,-14,-18,14,
PG,Papua New Guinea,,,,,,2020-03-23,-4,26,-7,4,10,0
PG,Papua New Guinea,,,,,,2020-03-24,-27,-11,-12,-40,-19,11
PG,Papua New Guinea,,,,,,2020-03-25,-21,-14,-11,-44,-17,11
PG,Papua New Guinea,,,,,,2020-03-26,-24,-13,-10,-40,-17,13
PG,Papua New Guinea,,,,,,2020-03-27,-25,-14,-10,-45,-15,14
PG,Papua New Guinea,,,,,,2020-03-28,-29,-21,-14,-44,0,12
PG,Papua New Guinea,,,,,,2020-03-29,-20,-9,-12,-46,11,
PG,Papua New Guinea,,,,,,2020-03-30,-23,-18,-9,-46,-17,13
PG,Papua New Guinea,,,,,,2020-03-31,-23,-11,-14,-48,-18,12
PG,Papua New Guinea,,,,,,2020-04-01,-23,-16,-16,-48,-15,13
PG,Papua New Guinea,,,,,,2020-04-02,-28,-19,-12,-48,-16,14
PG,Papua New Guinea,,,,,,2020-04-03,-19,-9,-14,-41,-12,13
PG,Papua New Guinea,,,,,,2020-04-04,-18,-8,-15,-44,6,9
