country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
PH,Philippines,,,,,,2020-02-15,7,4,-1,1,6,0
PH,Philippines,,,,,,2020-02-16,3,5,-2,-3,1,1
PH,Philippines,,,,,,2020-02-17,-1,0,-3,-2,8,1
PH,Philippines,,,,,,2020-02-18,0,1,-3,0,5,0
PH,Philippines,,,,,,2020-02-19,-3,-3,-4,-6,5,1
PH,Philippines,,,,,,2020-02-20,-2,-2,-5,-5,6,0
PH,Philippines,,,,,,2020-02-21,-2,-2,-8,-6,8,1
PH,Philippines,,,,,,2020-02-22,1,0,-1,-1,7,0
PH,Philippines,,,,,,2020-02-23,-3,0,0,-7,2,1
PH,Philippines,,,,,,2020-02-24,1,-1,6,-4,4,1
PH,Philippines,,,,,,2020-02-25,0,-2,11,-18,-43,11
PH,Philippines,,,,,,2020-02-26,-3,-1,0,-3,6,0
PH,Philippines,,,,,,2020-02-27,-2,-1,-4,-6,6,0
PH,Philippines,,,,,,2020-02-28,-1,1,-6,-6,8,0
PH,Philippines,,,,,,2020-02-29,5,6,-1,0,9,0
PH,Philippines,,,,,,2020-03-01,2,7,0,-5,5,1
PH,Philippines,,,,,,2020-03-02,0,2,-2,-5,9,0
PH,Philippines,,,,,,2020-03-03,1,2,-2,-4,7,0
PH,Philippines,,,,,,2020-03-04,-1,2,-1,-7,6,1
PH,Philippines,,,,,,2020-03-05,0,2,-3,-6,7,0
PH,Philippines,,,,,,2020-03-06,-3,-1,-9,-8,8,1
PH,Philippines,,,,,,2020-03-07,0,2,-1,-4,7,1
PH,Philippines,,,,,,2020-03-08,-4,2,-2,-9,3,1
PH,Philippines,,,,,,2020-03-09,-3,1,-1,-7,7,1
PH,Philippines,,,,,,2020-03-10,-4,3,-5,-11,-4,3
PH,Philippines,,,,,,2020-03-11,-8,5,-6,-17,-5,4
PH,Philippines,,,,,,2020-03-12,-8,8,-8,-17,-6,5
PH,Philippines,,,,,,2020-03-13,-12,9,-16,-17,-9,7
PH,Philippines,,,,,,2020-03-14,-18,5,-20,-15,-6,6
PH,Philippines,,,,,,2020-03-15,-40,-10,-29,-42,-10,11
PH,Philippines,,,,,,2020-03-16,-34,-4,-18,-42,-31,15
PH,Philippines,,,,,,2020-03-17,-57,-21,-30,-63,-55,24
PH,Philippines,,,,,,2020-03-18,-66,-36,-36,-72,-62,28
PH,Philippines,,,,,,2020-03-19,-69,-41,-39,-75,-65,30
PH,Philippines,,,,,,2020-03-20,-73,-45,-47,-79,-66,33
PH,Philippines,,,,,,2020-03-21,-75,-48,-52,-78,-57,27
PH,Philippines,,,,,,2020-03-22,-79,-53,-56,-79,-50,24
PH,Philippines,,,,,,2020-03-23,-75,-50,-45,-81,-69,33
PH,Philippines,,,,,,2020-03-24,-76,-51,-47,-81,-71,33
PH,Philippines,,,,,,2020-03-25,-76,-51,-46,-81,-72,34
PH,Philippines,,,,,,2020-03-26,-76,-52,-47,-81,-72,34
PH,Philippines,,,,,,2020-03-27,-77,-51,-52,-83,-72,37
PH,Philippines,,,,,,2020-03-28,-78,-53,-56,-82,-62,30
PH,Philippines,,,,,,2020-03-29,-81,-59,-59,-82,-54,26
PH,Philippines,,,,,,2020-03-30,-79,-59,-48,-84,-73,35
PH,Philippines,,,,,,2020-03-31,-79,-57,-49,-83,-74,35
PH,Philippines,,,,,,2020-04-01,-79,-58,-48,-84,-74,35
PH,Philippines,,,,,,2020-04-02,-80,-58,-49,-84,-74,36
PH,Philippines,,,,,,2020-04-03,-80,-58,-54,-85,-73,39
PH,Philippines,,,,,,2020-04-04,-80,-58,-57,-84,-63,31
PH,Philippines,,,,,,2020-04-05,-82,-62,-60,-84,-54,26
PH,Philippines,,,,,,2020-04-06,-78,-57,-48,-84,-72,35
PH,Philippines,,,,,,2020-04-07,-77,-54,-48,-83,-74,35
PH,Philippines,,,,,,2020-04-08,-76,-50,-47,-83,-74,34
PH,Philippines,,,,,,2020-04-09,-85,-65,-51,-86,-80,38
PH,Philippines,,,,,,2020-04-10,-90,-78,-59,-90,-82,43
PH,Philippines,,,,,,2020-04-11,-82,-60,-59,-86,-67,32
PH,Philippines,,,,,,2020-04-12,-82,-62,-60,-84,-55,26
PH,Philippines,,,,,,2020-04-13,-76,-53,-47,-83,-71,35
PH,Philippines,,,,,,2020-04-14,-76,-52,-48,-82,-73,35
PH,Philippines,,,,,,2020-04-15,-76,-53,-48,-83,-72,35
PH,Philippines,,,,,,2020-04-16,-77,-54,-48,-84,-72,36
PH,Philippines,,,,,,2020-04-17,-79,-56,-53,-85,-71,39
PH,Philippines,,,,,,2020-04-18,-81,-61,-60,-84,-62,30
PH,Philippines,,,,,,2020-04-19,-83,-66,-63,-85,-54,26
PH,Philippines,,,,,,2020-04-20,-78,-58,-50,-84,-71,35
PH,Philippines,,,,,,2020-04-21,-79,-60,-51,-84,-72,35
PH,Philippines,,,,,,2020-04-22,-80,-62,-51,-85,-72,35
PH,Philippines,,,,,,2020-04-23,-80,-62,-53,-85,-72,36
PH,Philippines,,,,,,2020-04-24,-81,-63,-57,-86,-71,38
PH,Philippines,,,,,,2020-04-25,-81,-62,-60,-85,-61,31
PH,Philippines,,,,,,2020-04-26,-84,-69,-63,-85,-53,27
