country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
PY,Paraguay,,,,,,2020-02-15,-3,-1,-13,-6,2,3
PY,Paraguay,,,,,,2020-02-16,-7,0,-25,-6,-2,4
PY,Paraguay,,,,,,2020-02-17,0,2,0,-3,11,-1
PY,Paraguay,,,,,,2020-02-18,-3,0,-8,-6,11,-1
PY,Paraguay,,,,,,2020-02-19,-4,-3,-3,-5,12,0
PY,Paraguay,,,,,,2020-02-20,-1,0,0,-3,14,-1
PY,Paraguay,,,,,,2020-02-21,-4,-2,-8,-6,14,-1
PY,Paraguay,,,,,,2020-02-22,-2,2,-7,-5,4,2
PY,Paraguay,,,,,,2020-02-23,-3,2,-14,-9,3,4
PY,Paraguay,,,,,,2020-02-24,1,0,3,-5,16,-1
PY,Paraguay,,,,,,2020-02-25,-7,-4,-16,-9,14,0
PY,Paraguay,,,,,,2020-02-26,-4,-4,-6,-9,16,0
PY,Paraguay,,,,,,2020-02-27,0,0,1,-2,19,-2
PY,Paraguay,,,,,,2020-02-28,2,2,-2,-4,17,-3
PY,Paraguay,,,,,,2020-02-29,4,8,-6,-4,7,0
PY,Paraguay,,,,,,2020-03-01,2,6,-12,-7,4,2
PY,Paraguay,,,,,,2020-03-02,4,6,1,-2,20,-2
PY,Paraguay,,,,,,2020-03-03,2,4,-2,-3,19,-3
PY,Paraguay,,,,,,2020-03-04,0,1,-2,-5,20,-2
PY,Paraguay,,,,,,2020-03-05,2,2,0,-1,21,-2
PY,Paraguay,,,,,,2020-03-06,1,1,-6,-3,19,-3
PY,Paraguay,,,,,,2020-03-07,3,5,-7,-6,7,0
PY,Paraguay,,,,,,2020-03-08,0,5,-11,-7,5,3
PY,Paraguay,,,,,,2020-03-09,0,3,-2,-5,20,-2
PY,Paraguay,,,,,,2020-03-10,-1,7,-4,-4,19,-3
PY,Paraguay,,,,,,2020-03-11,-13,2,-14,-11,7,5
PY,Paraguay,,,,,,2020-03-12,-14,-6,-15,-13,4,6
PY,Paraguay,,,,,,2020-03-13,-20,-9,-24,-22,-1,8
PY,Paraguay,,,,,,2020-03-14,-27,-9,-32,-27,-3,10
PY,Paraguay,,,,,,2020-03-15,-41,-17,-49,-39,-10,13
PY,Paraguay,,,,,,2020-03-16,-35,-13,-37,-38,-12,13
PY,Paraguay,,,,,,2020-03-17,-41,-23,-41,-43,-19,14
PY,Paraguay,,,,,,2020-03-18,-48,-29,-50,-51,-25,19
PY,Paraguay,,,,,,2020-03-19,-48,-29,-49,-52,-26,19
PY,Paraguay,,,,,,2020-03-20,-48,-23,-51,-53,-27,19
PY,Paraguay,,,,,,2020-03-21,-69,-42,-68,-71,-48,27
PY,Paraguay,,,,,,2020-03-22,-74,-59,-76,-78,-39,25
PY,Paraguay,,,,,,2020-03-23,-69,-49,-63,-75,-57,30
PY,Paraguay,,,,,,2020-03-24,-72,-53,-66,-76,-61,31
PY,Paraguay,,,,,,2020-03-25,-72,-53,-65,-77,-62,33
PY,Paraguay,,,,,,2020-03-26,-70,-50,-62,-75,-61,31
PY,Paraguay,,,,,,2020-03-27,-70,-47,-65,-76,-59,33
PY,Paraguay,,,,,,2020-03-28,-70,-47,-68,-77,-54,30
PY,Paraguay,,,,,,2020-03-29,-68,-52,-71,-76,-30,23
PY,Paraguay,,,,,,2020-03-30,-55,-37,-52,-67,-44,24
PY,Paraguay,,,,,,2020-03-31,-52,-30,-52,-63,-44,22
PY,Paraguay,,,,,,2020-04-01,-59,-39,-56,-68,-49,27
PY,Paraguay,,,,,,2020-04-02,-61,-40,-58,-69,-50,27
PY,Paraguay,,,,,,2020-04-03,-64,-41,-60,-72,-51,31
PY,Paraguay,,,,,,2020-04-04,-70,-46,-68,-77,-51,30
