country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
RE,Réunion,,,,,,2020-02-15,-1,-4,-23,-4,-10,
RE,Réunion,,,,,,2020-02-16,0,8,30,1,,
RE,Réunion,,,,,,2020-02-17,1,-3,1,8,-1,
RE,Réunion,,,,,,2020-02-18,3,-6,20,19,7,
RE,Réunion,,,,,,2020-02-19,6,1,16,17,0,
RE,Réunion,,,,,,2020-02-20,4,-8,29,9,0,
RE,Réunion,,,,,,2020-02-21,-11,-10,9,-6,4,
RE,Réunion,,,,,,2020-02-22,-9,-7,-2,-4,-10,
RE,Réunion,,,,,,2020-02-23,-4,11,22,3,,
RE,Réunion,,,,,,2020-02-24,-6,-11,2,3,-1,
RE,Réunion,,,,,,2020-02-25,-3,-9,4,10,1,
RE,Réunion,,,,,,2020-02-26,5,4,4,10,1,
RE,Réunion,,,,,,2020-02-27,-5,-14,7,1,2,
RE,Réunion,,,,,,2020-02-28,-19,-20,-14,-16,2,
RE,Réunion,,,,,,2020-02-29,-12,-14,-19,-9,-14,
RE,Réunion,,,,,,2020-03-01,-12,-12,-7,-8,,
RE,Réunion,,,,,,2020-03-02,-19,-18,-26,-11,-3,
RE,Réunion,,,,,,2020-03-03,-17,-20,-15,-11,2,
RE,Réunion,,,,,,2020-03-04,-11,-8,-18,-14,-2,
RE,Réunion,,,,,,2020-03-05,-12,-15,-5,-10,0,
RE,Réunion,,,,,,2020-03-06,-25,-26,-27,-28,1,
RE,Réunion,,,,,,2020-03-07,-16,-19,-35,-25,-10,
RE,Réunion,,,,,,2020-03-08,-11,0,-1,-18,,
RE,Réunion,,,,,,2020-03-09,-13,-15,-27,-12,-14,
RE,Réunion,,,,,,2020-03-10,-9,-16,0,-5,-6,
RE,Réunion,,,,,,2020-03-11,4,-5,7,-10,-6,
RE,Réunion,,,,,,2020-03-12,-6,-9,-19,-1,-7,
RE,Réunion,,,,,,2020-03-13,-21,-17,-18,-25,-6,
RE,Réunion,,,,,,2020-03-14,-20,-17,-19,-25,-12,
RE,Réunion,,,,,,2020-03-15,-21,-1,-5,-14,,
RE,Réunion,,,,,,2020-03-16,-37,-1,-31,-18,-19,
RE,Réunion,,,,,,2020-03-17,-64,-26,-51,-17,-35,
RE,Réunion,,,,,,2020-03-18,-81,-49,-74,-49,-55,
RE,Réunion,,,,,,2020-03-19,-82,-61,-76,-49,-56,
RE,Réunion,,,,,,2020-03-20,-88,-68,-82,-69,-55,
RE,Réunion,,,,,,2020-03-21,-90,-77,-88,-71,-57,
RE,Réunion,,,,,,2020-03-22,-94,-75,-89,-74,-57,
RE,Réunion,,,,,,2020-03-23,-90,-71,-91,-78,-59,
RE,Réunion,,,,,,2020-03-24,-91,-76,,-75,-64,
RE,Réunion,,,,,,2020-03-25,-91,-77,-91,-83,-63,
