country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
RU,Russia,,,,,,2020-02-15,10,8,1,8,1,-1
RU,Russia,,,,,,2020-02-16,8,7,3,6,3,0
RU,Russia,,,,,,2020-02-17,4,4,-1,3,1,1
RU,Russia,,,,,,2020-02-18,7,5,5,5,2,0
RU,Russia,,,,,,2020-02-19,7,5,6,4,2,0
RU,Russia,,,,,,2020-02-20,11,9,12,7,2,-1
RU,Russia,,,,,,2020-02-21,11,8,12,9,2,-1
RU,Russia,,,,,,2020-02-22,13,11,6,10,1,-2
RU,Russia,,,,,,2020-02-23,11,9,10,4,1,-2
RU,Russia,,,,,,2020-02-24,3,-3,5,-20,-62,13
RU,Russia,,,,,,2020-02-25,2,3,2,5,4,0
RU,Russia,,,,,,2020-02-26,3,2,4,4,5,-1
RU,Russia,,,,,,2020-02-27,4,4,8,5,5,-1
RU,Russia,,,,,,2020-02-28,4,3,3,5,5,0
RU,Russia,,,,,,2020-02-29,8,6,3,8,9,0
RU,Russia,,,,,,2020-03-01,12,9,44,11,8,-1
RU,Russia,,,,,,2020-03-02,4,4,3,4,6,0
RU,Russia,,,,,,2020-03-03,7,7,6,6,6,-1
RU,Russia,,,,,,2020-03-04,9,9,11,7,6,-1
RU,Russia,,,,,,2020-03-05,14,15,13,9,7,-2
RU,Russia,,,,,,2020-03-06,14,12,11,10,6,-2
RU,Russia,,,,,,2020-03-07,20,20,11,14,3,-2
RU,Russia,,,,,,2020-03-08,22,20,36,14,0,-4
RU,Russia,,,,,,2020-03-09,9,1,36,-15,-63,12
RU,Russia,,,,,,2020-03-10,4,4,9,6,5,-1
RU,Russia,,,,,,2020-03-11,6,6,10,7,5,-1
RU,Russia,,,,,,2020-03-12,7,7,10,6,5,-1
RU,Russia,,,,,,2020-03-13,6,7,6,4,4,0
RU,Russia,,,,,,2020-03-14,10,10,3,9,8,-1
RU,Russia,,,,,,2020-03-15,6,10,-2,4,5,0
RU,Russia,,,,,,2020-03-16,5,12,2,4,3,0
RU,Russia,,,,,,2020-03-17,8,19,9,2,-1,1
RU,Russia,,,,,,2020-03-18,3,13,8,-2,-4,1
RU,Russia,,,,,,2020-03-19,0,7,8,-5,-6,2
RU,Russia,,,,,,2020-03-20,-2,5,4,-6,-8,3
RU,Russia,,,,,,2020-03-21,-6,2,-2,-6,-7,2
RU,Russia,,,,,,2020-03-22,-8,2,6,-8,2,1
RU,Russia,,,,,,2020-03-23,-5,1,4,-12,-14,4
RU,Russia,,,,,,2020-03-24,-5,1,5,-12,-15,4
RU,Russia,,,,,,2020-03-25,-2,7,13,-10,-15,4
RU,Russia,,,,,,2020-03-26,-4,8,16,-11,-16,4
RU,Russia,,,,,,2020-03-27,-5,9,12,-11,-17,4
RU,Russia,,,,,,2020-03-28,-33,-5,-3,-22,-22,4
RU,Russia,,,,,,2020-03-29,-42,-13,-7,-30,-16,4
RU,Russia,,,,,,2020-03-30,-45,-18,-20,-46,-51,16
RU,Russia,,,,,,2020-03-31,-49,-22,-28,-51,-55,18
RU,Russia,,,,,,2020-04-01,-56,-30,-36,-57,-59,20
RU,Russia,,,,,,2020-04-02,-57,-32,-37,-60,-61,22
RU,Russia,,,,,,2020-04-03,-56,-30,-37,-58,-59,23
RU,Russia,,,,,,2020-04-04,-60,-34,-40,-55,-44,13
RU,Russia,,,,,,2020-04-05,-58,-31,-35,-53,-31,9
RU,Russia,,,,,,2020-04-06,-48,-24,-29,-52,-49,17
RU,Russia,,,,,,2020-04-07,-46,-21,-22,-49,-49,17
RU,Russia,,,,,,2020-04-08,-47,-23,-23,-49,-48,16
RU,Russia,,,,,,2020-04-09,-44,-20,-17,-47,-47,15
RU,Russia,,,,,,2020-04-10,-44,-18,-23,-47,-46,16
RU,Russia,,,,,,2020-04-11,-49,-22,-31,-46,-35,9
RU,Russia,,,,,,2020-04-12,-49,-20,-28,-45,-24,6
RU,Russia,,,,,,2020-04-13,-42,-18,-21,-47,-44,15
RU,Russia,,,,,,2020-04-14,-41,-17,-22,-47,-44,15
RU,Russia,,,,,,2020-04-15,-41,-17,-23,-48,-45,15
RU,Russia,,,,,,2020-04-16,-42,-17,-25,-50,-45,16
RU,Russia,,,,,,2020-04-17,-42,-15,-27,-49,-45,17
RU,Russia,,,,,,2020-04-18,-47,-16,-34,-48,-34,10
RU,Russia,,,,,,2020-04-19,-56,-32,-26,-50,-27,6
RU,Russia,,,,,,2020-04-20,-45,-25,-22,-50,-44,15
RU,Russia,,,,,,2020-04-21,-42,-20,-20,-48,-44,15
RU,Russia,,,,,,2020-04-22,-43,-21,-22,-49,-44,15
RU,Russia,,,,,,2020-04-23,-42,-18,-19,-48,-43,15
RU,Russia,,,,,,2020-04-24,-42,-18,-22,-48,-43,15
RU,Russia,,,,,,2020-04-25,-47,-21,-28,-45,-32,8
RU,Russia,,,,,,2020-04-26,-46,-18,-16,-42,-20,4
RU,Russia,,,,,,2020-04-27,-39,-16,-15,-45,-41,13
RU,Russia,,,,,,2020-04-28,-38,-15,-13,-44,-42,13
RU,Russia,,,,,,2020-04-29,-37,-14,-15,-43,-41,12
RU,Russia,,,,,,2020-04-30,-29,-3,-3,-38,-40,10
RU,Russia,,,,,,2020-05-01,-44,-19,-5,-52,-69,17
RU,Russia,,,,,,2020-05-02,-49,-25,-12,-45,-37,6
RU,Russia,,,,,,2020-05-03,-44,-17,1,-39,-15,1
RU,Russia,,,,,,2020-05-04,-39,-16,7,-50,-64,15
RU,Russia,,,,,,2020-05-05,-39,-16,6,-49,-64,14
RU,Russia,,,,,,2020-05-06,-36,-13,-1,-42,-41,11
RU,Russia,,,,,,2020-05-07,-34,-10,2,-41,-42,11
RU,Russia,,,,,,2020-05-08,-32,-6,2,-40,-42,11
RU,Russia,,,,,,2020-05-09,-47,-19,2,-42,-39,4
RU,Russia,,,,,,2020-05-10,-43,-16,7,-37,-15,0
RU,Russia,,,,,,2020-05-11,-34,-10,15,-44,-64,12
RU,Russia,,,,,,2020-05-12,-30,-8,2,-35,-35,9
RU,Russia,,,,,,2020-05-13,-30,-8,1,-36,-35,9
RU,Russia,,,,,,2020-05-14,-29,-7,2,-36,-34,9
RU,Russia,,,,,,2020-05-15,-29,-6,-1,-35,-34,9
RU,Russia,,,,,,2020-05-16,-36,-10,-6,-32,-23,3
RU,Russia,,,,,,2020-05-17,-34,-7,8,-30,-8,-1
RU,Russia,,,,,,2020-05-18,-27,-7,3,-35,-33,9
RU,Russia,,,,,,2020-05-19,-27,-6,5,-33,-33,9
RU,Russia,,,,,,2020-05-20,-27,-5,6,-32,-33,8
RU,Russia,,,,,,2020-05-21,-27,-6,3,-34,-33,9
RU,Russia,,,,,,2020-05-22,-29,-6,3,-33,-32,9
RU,Russia,,,,,,2020-05-23,-34,-9,5,-29,-21,2
RU,Russia,,,,,,2020-05-24,-33,-7,18,-27,-7,-2
RU,Russia,,,,,,2020-05-25,-23,-3,18,-29,-32,7
RU,Russia,,,,,,2020-05-26,-23,-2,21,-28,-30,7
RU,Russia,,,,,,2020-05-27,-22,-1,28,-26,-29,6
RU,Russia,,,,,,2020-05-28,-20,1,29,-26,-29,5
RU,Russia,,,,,,2020-05-29,-25,-4,18,-29,-30,6
RU,Russia,,,,,,2020-05-30,-30,-5,21,-22,-16,-1
RU,Russia,,,,,,2020-05-31,-32,-7,11,-27,-1,-3
RU,Russia,,,,,,2020-06-01,-16,2,15,-25,-27,5
