country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
SN,Senegal,,,,,,2020-02-15,0,1,3,-3,1,0
SN,Senegal,,,,,,2020-02-16,0,1,3,0,2,0
SN,Senegal,,,,,,2020-02-17,-3,0,-1,0,2,0
SN,Senegal,,,,,,2020-02-18,-3,-2,1,-4,2,1
SN,Senegal,,,,,,2020-02-19,-5,-3,-3,-6,2,1
SN,Senegal,,,,,,2020-02-20,-4,-2,-2,-2,1,1
SN,Senegal,,,,,,2020-02-21,-3,-2,-5,-3,3,1
SN,Senegal,,,,,,2020-02-22,-4,-3,-3,-4,2,1
SN,Senegal,,,,,,2020-02-23,-2,-4,-4,-3,2,0
SN,Senegal,,,,,,2020-02-24,-4,-1,-7,-1,2,1
SN,Senegal,,,,,,2020-02-25,-10,-10,-11,-11,0,2
SN,Senegal,,,,,,2020-02-26,-9,-7,-8,-9,2,2
SN,Senegal,,,,,,2020-02-27,-5,-5,0,-3,2,2
SN,Senegal,,,,,,2020-02-28,-3,-1,0,-2,3,1
SN,Senegal,,,,,,2020-02-29,-2,1,0,-1,5,1
SN,Senegal,,,,,,2020-03-01,-1,0,0,1,4,0
SN,Senegal,,,,,,2020-03-02,-2,3,-2,2,5,1
SN,Senegal,,,,,,2020-03-03,-1,1,2,-1,3,1
SN,Senegal,,,,,,2020-03-04,-1,1,-2,-1,2,1
SN,Senegal,,,,,,2020-03-05,-4,0,0,-1,1,2
SN,Senegal,,,,,,2020-03-06,-3,0,0,-2,3,1
SN,Senegal,,,,,,2020-03-07,-1,0,-1,0,4,1
SN,Senegal,,,,,,2020-03-08,2,-1,0,-1,5,0
SN,Senegal,,,,,,2020-03-09,-2,0,-4,0,4,0
SN,Senegal,,,,,,2020-03-10,-1,-1,-1,-3,4,0
SN,Senegal,,,,,,2020-03-11,-3,-3,-3,-4,3,0
SN,Senegal,,,,,,2020-03-12,-2,-2,-1,-3,3,0
SN,Senegal,,,,,,2020-03-13,-5,-1,-4,-3,3,1
SN,Senegal,,,,,,2020-03-14,-7,-2,-3,-7,3,1
SN,Senegal,,,,,,2020-03-15,-10,-2,-8,-7,2,1
SN,Senegal,,,,,,2020-03-16,-11,0,-8,-7,-12,5
SN,Senegal,,,,,,2020-03-17,-13,-3,-8,-11,-14,6
SN,Senegal,,,,,,2020-03-18,-18,-5,-9,-17,-15,7
SN,Senegal,,,,,,2020-03-19,-20,-6,-9,-20,-16,8
SN,Senegal,,,,,,2020-03-20,-23,-10,-13,-22,-16,9
SN,Senegal,,,,,,2020-03-21,-30,-14,-20,-30,-13,9
SN,Senegal,,,,,,2020-03-22,-33,-18,-23,-38,-7,8
SN,Senegal,,,,,,2020-03-23,-30,-15,-19,-36,-26,13
SN,Senegal,,,,,,2020-03-24,-40,-29,-23,-45,-32,16
SN,Senegal,,,,,,2020-03-25,-42,-28,-25,-47,-34,17
SN,Senegal,,,,,,2020-03-26,-42,-28,-23,-48,-35,18
SN,Senegal,,,,,,2020-03-27,-44,-28,-26,-51,-35,19
SN,Senegal,,,,,,2020-03-28,-46,-30,-29,-52,-24,16
SN,Senegal,,,,,,2020-03-29,-44,-31,-28,-50,-10,12
SN,Senegal,,,,,,2020-03-30,-40,-26,-22,-45,-34,18
SN,Senegal,,,,,,2020-03-31,-41,-27,-23,-49,-35,17
SN,Senegal,,,,,,2020-04-01,-43,-28,-25,-48,-35,18
SN,Senegal,,,,,,2020-04-02,-42,-27,-24,-47,-35,19
SN,Senegal,,,,,,2020-04-03,-42,-28,-25,-48,-34,19
SN,Senegal,,,,,,2020-04-04,-49,-33,-29,-53,-31,17
SN,Senegal,,,,,,2020-04-05,-43,-31,-27,-50,-9,12
SN,Senegal,,,,,,2020-04-06,-37,-25,-24,-44,-33,17
SN,Senegal,,,,,,2020-04-07,-38,-27,-24,-47,-34,17
SN,Senegal,,,,,,2020-04-08,-41,-28,-28,-48,-34,17
SN,Senegal,,,,,,2020-04-09,-41,-28,-26,-48,-34,19
SN,Senegal,,,,,,2020-04-10,-42,-29,-28,-49,-33,19
SN,Senegal,,,,,,2020-04-11,-43,-30,-31,-49,-22,15
SN,Senegal,,,,,,2020-04-12,-43,-31,-30,-51,-7,11
SN,Senegal,,,,,,2020-04-13,-49,-34,-32,-55,-53,23
SN,Senegal,,,,,,2020-04-14,-40,-30,-26,-48,-33,17
SN,Senegal,,,,,,2020-04-15,-41,-29,-27,-48,-32,18
SN,Senegal,,,,,,2020-04-16,-40,-29,-27,-48,-33,19
SN,Senegal,,,,,,2020-04-17,-43,-30,-28,-51,-32,19
SN,Senegal,,,,,,2020-04-18,-45,-33,-35,-52,-21,16
SN,Senegal,,,,,,2020-04-19,-44,-33,-33,-52,-7,12
SN,Senegal,,,,,,2020-04-20,-40,-28,-28,-48,-32,18
SN,Senegal,,,,,,2020-04-21,-41,-29,-28,-51,-33,17
SN,Senegal,,,,,,2020-04-22,-44,-29,-29,-51,-33,18
SN,Senegal,,,,,,2020-04-23,-42,-28,-27,-50,-33,18
SN,Senegal,,,,,,2020-04-24,-41,-25,-30,-52,-32,19
SN,Senegal,,,,,,2020-04-25,-47,-31,-37,-57,-24,18
SN,Senegal,,,,,,2020-04-26,-48,-34,-37,-59,-9,14
SN,Senegal,,,,,,2020-04-27,-46,-32,-34,-55,-34,21
SN,Senegal,,,,,,2020-04-28,-46,-33,-31,-57,-36,18
SN,Senegal,,,,,,2020-04-29,-45,-31,-31,-56,-35,20
SN,Senegal,,,,,,2020-04-30,-43,-28,-27,-53,-34,19
SN,Senegal,,,,,,2020-05-01,-52,-35,-39,-62,-52,24
SN,Senegal,,,,,,2020-05-02,-47,-34,-37,-58,-23,17
SN,Senegal,,,,,,2020-05-03,-47,-36,-38,-58,-7,12
SN,Senegal,,,,,,2020-05-04,-42,-29,-31,-52,-34,18
SN,Senegal,,,,,,2020-05-05,-41,-29,-29,-52,-34,18
SN,Senegal,,,,,,2020-05-06,-44,-33,-29,-54,-34,18
SN,Senegal,,,,,,2020-05-07,-39,-25,-29,-48,-32,18
SN,Senegal,,,,,,2020-05-08,-43,-27,-29,-54,-32,19
SN,Senegal,,,,,,2020-05-09,-44,-31,-34,-52,-19,15
SN,Senegal,,,,,,2020-05-10,-44,-33,-34,-54,-4,12
SN,Senegal,,,,,,2020-05-11,-40,-29,-30,-50,-31,19
SN,Senegal,,,,,,2020-05-12,-37,-22,-27,-47,-30,17
SN,Senegal,,,,,,2020-05-13,-41,-25,-31,-50,-30,17
SN,Senegal,,,,,,2020-05-14,-38,-24,-28,-47,-29,16
SN,Senegal,,,,,,2020-05-15,-40,-24,-29,-48,-28,19
SN,Senegal,,,,,,2020-05-16,-41,-24,-31,-47,-13,15
SN,Senegal,,,,,,2020-05-17,-43,-33,-35,-53,-1,12
SN,Senegal,,,,,,2020-05-18,-37,-24,-26,-43,-27,17
SN,Senegal,,,,,,2020-05-19,-38,-22,-27,-47,-28,17
SN,Senegal,,,,,,2020-05-20,-37,-21,-28,-45,-27,17
SN,Senegal,,,,,,2020-05-21,-41,-21,-31,-49,-45,21
SN,Senegal,,,,,,2020-05-22,-33,-11,-24,-40,-26,16
SN,Senegal,,,,,,2020-05-23,-34,-7,-26,-36,-14,13
SN,Senegal,,,,,,2020-05-24,-43,-31,-28,-57,-13,9
SN,Senegal,,,,,,2020-05-25,-50,-38,-28,-62,-62,24
SN,Senegal,,,,,,2020-05-26,-36,-23,-24,-49,-31,15
SN,Senegal,,,,,,2020-05-27,-35,-23,-24,-44,-27,15
SN,Senegal,,,,,,2020-05-28,-33,-21,-21,-43,-25,15
SN,Senegal,,,,,,2020-05-29,-34,-21,-22,-42,-23,16
SN,Senegal,,,,,,2020-05-30,-34,-21,-27,-44,-8,12
SN,Senegal,,,,,,2020-05-31,-33,-26,-26,-47,5,9
SN,Senegal,,,,,,2020-06-01,-37,-20,-27,-47,-44,19
SN,Senegal,,,,,,2020-06-02,-28,-16,-19,-41,-20,13
SN,Senegal,,,,,,2020-06-03,-29,-16,-21,-41,-21,13
SN,Senegal,,,,,,2020-06-04,-27,-13,-18,-38,-20,14
SN,Senegal,,,,,,2020-06-05,-27,-14,-19,-39,-19,13
SN,Senegal,,,,,,2020-06-06,-26,-15,-22,-39,-4,10
SN,Senegal,,,,,,2020-06-07,-24,-20,-18,-42,9,7
SN,Senegal,,,,,,2020-06-08,-22,-10,-17,-29,-19,11
SN,Senegal,,,,,,2020-06-09,-23,-14,-17,-34,-20,11
SN,Senegal,,,,,,2020-06-10,-23,-14,-18,-35,-20,11
SN,Senegal,,,,,,2020-06-11,-23,-14,-14,-32,-20,11
SN,Senegal,,,,,,2020-06-12,-24,-15,-18,-35,-20,11
SN,Senegal,,,,,,2020-06-13,-25,-18,-20,-34,-8,8
SN,Senegal,,,,,,2020-06-14,-22,-21,-16,-39,6,5
SN,Senegal,,,,,,2020-06-15,-21,-13,-16,-28,-21,10
SN,Senegal,,,,,,2020-06-16,-22,-14,-14,-33,-21,10
SN,Senegal,,,,,,2020-06-17,-23,-16,-16,-33,-21,10
SN,Senegal,,,,,,2020-06-18,-24,-18,-16,-34,-22,11
SN,Senegal,,,,,,2020-06-19,-25,-18,-16,-36,-21,11
SN,Senegal,,,,,,2020-06-20,-24,-17,-19,-35,-8,8
SN,Senegal,,,,,,2020-06-21,-22,-22,-15,-40,2,6
SN,Senegal,,,,,,2020-06-22,-20,-13,-14,-28,-22,10
SN,Senegal,,,,,,2020-06-23,-22,-14,-15,-32,-23,10
SN,Senegal,,,,,,2020-06-24,-24,-17,-16,-34,-22,10
SN,Senegal,,,,,,2020-06-25,-23,-16,-14,-34,-22,10
SN,Senegal,,,,,,2020-06-26,-25,-16,-17,-35,-22,10
SN,Senegal,,,,,,2020-06-27,-23,-18,-19,-34,-10,8
SN,Senegal,,,,,,2020-06-28,-23,-23,-14,-41,0,6
SN,Senegal,,,,,,2020-06-29,-18,-10,-15,-25,-21,9
SN,Senegal,,,,,,2020-06-30,-16,-9,-11,-29,-21,8
SN,Senegal,,,,,,2020-07-01,-17,-11,-12,-30,-20,8
SN,Senegal,,,,,,2020-07-02,-15,-9,-13,-26,-20,8
SN,Senegal,,,,,,2020-07-03,-16,-7,-12,-26,-19,9
SN,Senegal,,,,,,2020-07-04,-14,-7,-9,-25,-7,6
SN,Senegal,,,,,,2020-07-05,-13,-14,-9,-34,3,5
SN,Senegal,,,,,,2020-07-06,-12,-3,-10,-17,-19,7
SN,Senegal,,,,,,2020-07-07,-13,-5,-7,-22,-20,7
SN,Senegal,,,,,,2020-07-08,-16,-9,-13,-24,-19,7
SN,Senegal,,,,,,2020-07-09,-11,-7,-9,-19,-19,7
SN,Senegal,,,,,,2020-07-10,-14,-7,-11,-23,-17,8
SN,Senegal,,,,,,2020-07-11,-14,-8,-13,-23,-7,6
SN,Senegal,,,,,,2020-07-12,-20,-20,-16,-34,1,5
SN,Senegal,,,,,,2020-07-13,-12,-3,-8,-15,-18,7
SN,Senegal,,,,,,2020-07-14,-16,-8,-12,-27,-21,7
SN,Senegal,,,,,,2020-07-15,-13,-7,-12,-22,-18,6
