country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
SV,El Salvador,,,,,,2020-02-15,4,5,0,-1,4,-1
SV,El Salvador,,,,,,2020-02-16,4,6,1,1,0,0
SV,El Salvador,,,,,,2020-02-17,0,4,-3,1,5,0
SV,El Salvador,,,,,,2020-02-18,0,0,0,3,4,-1
SV,El Salvador,,,,,,2020-02-19,0,0,-1,2,3,-1
SV,El Salvador,,,,,,2020-02-20,-1,-1,-4,3,3,0
SV,El Salvador,,,,,,2020-02-21,0,2,-4,2,8,-1
SV,El Salvador,,,,,,2020-02-22,0,1,-3,-3,4,0
SV,El Salvador,,,,,,2020-02-23,0,1,0,-3,1,0
SV,El Salvador,,,,,,2020-02-24,-2,1,-3,0,5,0
SV,El Salvador,,,,,,2020-02-25,0,-1,-3,-1,4,-1
SV,El Salvador,,,,,,2020-02-26,-2,-3,3,-1,4,0
SV,El Salvador,,,,,,2020-02-27,-1,-1,-2,-2,3,0
SV,El Salvador,,,,,,2020-02-28,3,5,-3,-1,9,-2
SV,El Salvador,,,,,,2020-02-29,5,6,-2,0,6,-1
SV,El Salvador,,,,,,2020-03-01,7,8,2,2,4,-1
SV,El Salvador,,,,,,2020-03-02,3,7,-1,4,7,-1
SV,El Salvador,,,,,,2020-03-03,2,3,-3,0,6,-1
SV,El Salvador,,,,,,2020-03-04,1,2,0,-1,5,-1
SV,El Salvador,,,,,,2020-03-05,0,0,-3,-5,5,0
SV,El Salvador,,,,,,2020-03-06,0,1,-2,-2,10,-2
SV,El Salvador,,,,,,2020-03-07,-1,0,-3,-6,5,0
SV,El Salvador,,,,,,2020-03-08,0,0,-3,-6,2,1
SV,El Salvador,,,,,,2020-03-09,-2,1,-4,-2,6,0
SV,El Salvador,,,,,,2020-03-10,-1,0,-4,-2,5,-1
SV,El Salvador,,,,,,2020-03-11,0,14,1,-2,5,-1
SV,El Salvador,,,,,,2020-03-12,-7,7,-9,-13,-6,5
SV,El Salvador,,,,,,2020-03-13,-7,12,-11,-16,-1,4
SV,El Salvador,,,,,,2020-03-14,-11,8,-15,-16,0,5
SV,El Salvador,,,,,,2020-03-15,-21,3,-22,-23,-3,6
SV,El Salvador,,,,,,2020-03-16,-15,10,-17,-22,-9,7
SV,El Salvador,,,,,,2020-03-17,-23,5,-23,-25,-16,10
SV,El Salvador,,,,,,2020-03-18,-31,-3,-25,-30,-20,12
SV,El Salvador,,,,,,2020-03-19,-38,4,-35,-40,-32,17
SV,El Salvador,,,,,,2020-03-20,-50,-14,-44,-48,-38,22
SV,El Salvador,,,,,,2020-03-21,-58,-20,-50,-53,-35,20
SV,El Salvador,,,,,,2020-03-22,-83,-59,-74,-74,-53,23
SV,El Salvador,,,,,,2020-03-23,-76,-49,-66,-69,-66,34
SV,El Salvador,,,,,,2020-03-24,-78,-54,-69,-70,-68,34
SV,El Salvador,,,,,,2020-03-25,-77,-52,-67,-70,-68,34
