country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
TG,Togo,,,,,,2020-02-15,-2,-1,-4,-2,2,1
TG,Togo,,,,,,2020-02-16,-3,-2,-5,-6,-2,1
TG,Togo,,,,,,2020-02-17,-6,2,-1,-4,0,1
TG,Togo,,,,,,2020-02-18,-6,0,-6,-7,0,1
TG,Togo,,,,,,2020-02-19,-9,-3,-10,-2,0,1
TG,Togo,,,,,,2020-02-20,-9,-3,-12,-10,-2,1
TG,Togo,,,,,,2020-02-21,-9,-1,-4,-5,0,0
TG,Togo,,,,,,2020-02-22,-33,-32,-14,-27,-45,15
TG,Togo,,,,,,2020-02-23,-16,-14,-11,-15,-3,5
TG,Togo,,,,,,2020-02-24,-11,-6,-4,-10,-2,3
TG,Togo,,,,,,2020-02-25,-8,-4,2,-6,1,2
TG,Togo,,,,,,2020-02-26,-8,-3,-2,-4,2,2
TG,Togo,,,,,,2020-02-27,-7,-2,5,-5,2,3
TG,Togo,,,,,,2020-02-28,-8,-3,3,-4,1,3
TG,Togo,,,,,,2020-02-29,-6,-4,3,-1,1,2
TG,Togo,,,,,,2020-03-01,-6,-4,4,-8,0,2
TG,Togo,,,,,,2020-03-02,-7,-1,4,-1,2,2
TG,Togo,,,,,,2020-03-03,-7,-3,6,-4,1,3
TG,Togo,,,,,,2020-03-04,-3,0,8,-4,3,2
TG,Togo,,,,,,2020-03-05,-3,4,8,1,3,2
TG,Togo,,,,,,2020-03-06,-7,-1,0,2,2,3
TG,Togo,,,,,,2020-03-07,-4,-1,7,-2,4,2
TG,Togo,,,,,,2020-03-08,1,0,9,-4,2,1
TG,Togo,,,,,,2020-03-09,-6,1,4,-1,2,2
TG,Togo,,,,,,2020-03-10,-5,-1,12,-6,4,1
