country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
TH,Thailand,,,,,,2020-02-15,-3,1,-8,-2,7,1
TH,Thailand,,,,,,2020-02-16,-3,2,-5,-4,2,2
TH,Thailand,,,,,,2020-02-17,-3,1,-3,-4,2,1
TH,Thailand,,,,,,2020-02-18,-3,0,-5,-6,0,2
TH,Thailand,,,,,,2020-02-19,-4,-3,-3,-6,0,1
TH,Thailand,,,,,,2020-02-20,-4,-2,-3,-4,1,1
TH,Thailand,,,,,,2020-02-21,-4,1,-4,-5,1,2
TH,Thailand,,,,,,2020-02-22,-4,0,-12,-6,4,2
TH,Thailand,,,,,,2020-02-23,-5,0,-7,-8,2,2
TH,Thailand,,,,,,2020-02-24,-4,-1,-6,-7,0,2
TH,Thailand,,,,,,2020-02-25,-2,3,-6,-7,-2,2
TH,Thailand,,,,,,2020-02-26,-3,0,-6,-8,-1,2
TH,Thailand,,,,,,2020-02-27,-4,-1,-7,-8,-1,2
TH,Thailand,,,,,,2020-02-28,-1,5,-7,-6,-1,2
TH,Thailand,,,,,,2020-02-29,-1,6,-14,-7,5,1
TH,Thailand,,,,,,2020-03-01,-1,9,-9,-8,3,1
TH,Thailand,,,,,,2020-03-02,1,8,-7,-9,-2,2
TH,Thailand,,,,,,2020-03-03,0,5,-8,-10,-4,3
TH,Thailand,,,,,,2020-03-04,-1,2,-9,-11,-4,3
TH,Thailand,,,,,,2020-03-05,-3,2,-8,-9,-4,3
TH,Thailand,,,,,,2020-03-06,-5,2,-9,-11,-6,4
TH,Thailand,,,,,,2020-03-07,-6,1,-16,-13,2,3
TH,Thailand,,,,,,2020-03-08,-7,1,-11,-15,1,2
TH,Thailand,,,,,,2020-03-09,-4,1,-8,-13,-6,4
TH,Thailand,,,,,,2020-03-10,-3,1,-8,-13,-7,4
TH,Thailand,,,,,,2020-03-11,-4,0,-8,-15,-7,4
TH,Thailand,,,,,,2020-03-12,-6,-1,-9,-15,-7,4
TH,Thailand,,,,,,2020-03-13,-8,0,-12,-17,-7,5
TH,Thailand,,,,,,2020-03-14,-11,-1,-21,-20,3,3
TH,Thailand,,,,,,2020-03-15,-15,-1,-22,-23,-2,4
TH,Thailand,,,,,,2020-03-16,-8,4,-14,-18,-10,5
TH,Thailand,,,,,,2020-03-17,-9,1,-15,-21,-12,6
TH,Thailand,,,,,,2020-03-18,-12,-3,-16,-24,-13,7
TH,Thailand,,,,,,2020-03-19,-16,-6,-18,-26,-14,8
TH,Thailand,,,,,,2020-03-20,-20,-5,-24,-30,-15,9
