country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
TJ,Tajikistan,,,,,,2020-02-15,-1,-3,-11,-1,14,0
TJ,Tajikistan,,,,,,2020-02-16,2,-1,-2,2,2,-2
TJ,Tajikistan,,,,,,2020-02-17,2,1,-2,1,15,-2
TJ,Tajikistan,,,,,,2020-02-18,-7,-5,-10,-3,14,-1
TJ,Tajikistan,,,,,,2020-02-19,-3,0,-5,-1,17,-1
TJ,Tajikistan,,,,,,2020-02-20,3,1,0,3,18,-2
TJ,Tajikistan,,,,,,2020-02-21,5,5,-1,4,17,-3
TJ,Tajikistan,,,,,,2020-02-22,5,5,-1,6,17,-3
TJ,Tajikistan,,,,,,2020-02-23,9,5,8,6,5,-4
TJ,Tajikistan,,,,,,2020-02-24,1,0,-2,1,15,-2
TJ,Tajikistan,,,,,,2020-02-25,1,2,-1,0,17,-3
TJ,Tajikistan,,,,,,2020-02-26,-3,1,-4,-1,17,-2
TJ,Tajikistan,,,,,,2020-02-27,-9,-8,-15,-3,15,0
TJ,Tajikistan,,,,,,2020-02-28,-2,1,-9,2,18,-1
TJ,Tajikistan,,,,,,2020-02-29,2,3,-4,6,19,-3
TJ,Tajikistan,,,,,,2020-03-01,1,-4,6,6,5,-5
TJ,Tajikistan,,,,,,2020-03-02,4,5,0,3,17,-6
TJ,Tajikistan,,,,,,2020-03-03,3,6,-2,3,20,-5
TJ,Tajikistan,,,,,,2020-03-04,-1,10,-10,3,21,-3
TJ,Tajikistan,,,,,,2020-03-05,0,8,-11,2,19,-2
TJ,Tajikistan,,,,,,2020-03-06,8,14,-1,7,24,-3
TJ,Tajikistan,,,,,,2020-03-07,3,9,-10,4,17,-1
TJ,Tajikistan,,,,,,2020-03-08,9,8,2,5,8,-2
TJ,Tajikistan,,,,,,2020-03-09,-9,-4,-9,-10,-29,5
TJ,Tajikistan,,,,,,2020-03-10,-2,3,-8,1,19,-3
TJ,Tajikistan,,,,,,2020-03-11,-3,4,-7,2,22,-2
TJ,Tajikistan,,,,,,2020-03-12,0,0,-5,3,22,-2
TJ,Tajikistan,,,,,,2020-03-13,3,4,0,7,22,-3
TJ,Tajikistan,,,,,,2020-03-14,2,3,4,9,21,-3
TJ,Tajikistan,,,,,,2020-03-15,1,4,6,5,10,-3
TJ,Tajikistan,,,,,,2020-03-16,2,7,1,9,19,-4
TJ,Tajikistan,,,,,,2020-03-17,-1,5,1,6,19,-4
TJ,Tajikistan,,,,,,2020-03-18,-1,8,2,2,19,-4
TJ,Tajikistan,,,,,,2020-03-19,1,4,1,-1,17,-4
TJ,Tajikistan,,,,,,2020-03-20,2,7,4,0,9,-5
TJ,Tajikistan,,,,,,2020-03-21,-19,-15,-3,-12,-26,4
TJ,Tajikistan,,,,,,2020-03-22,-9,-17,14,-11,-4,-3
TJ,Tajikistan,,,,,,2020-03-23,-21,-16,-11,-26,-33,4
TJ,Tajikistan,,,,,,2020-03-24,-21,-17,-13,-25,-30,3
TJ,Tajikistan,,,,,,2020-03-25,-20,-13,-17,-24,-26,4
TJ,Tajikistan,,,,,,2020-03-26,-12,-11,-8,-20,-9,1
TJ,Tajikistan,,,,,,2020-03-27,-9,-5,-6,-16,8,1
TJ,Tajikistan,,,,,,2020-03-28,-8,-6,-5,-17,13,-1
TJ,Tajikistan,,,,,,2020-03-29,-8,-8,4,-17,10,-3
TJ,Tajikistan,,,,,,2020-03-30,-8,-4,-3,-16,10,-2
TJ,Tajikistan,,,,,,2020-03-31,-13,-7,-15,-20,9,-2
