country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
TT,Trinidad and Tobago,,,,,,2020-02-15,4,4,23,3,2,0
TT,Trinidad and Tobago,,,,,,2020-02-16,19,9,16,10,3,-1
TT,Trinidad and Tobago,,,,,,2020-02-17,11,8,11,13,0,0
TT,Trinidad and Tobago,,,,,,2020-02-18,9,5,40,16,0,-1
TT,Trinidad and Tobago,,,,,,2020-02-19,9,8,28,29,0,-1
TT,Trinidad and Tobago,,,,,,2020-02-20,11,8,37,16,-2,-1
TT,Trinidad and Tobago,,,,,,2020-02-21,12,15,34,19,-5,1
TT,Trinidad and Tobago,,,,,,2020-02-22,7,12,70,29,-3,0
TT,Trinidad and Tobago,,,,,,2020-02-23,37,27,49,17,10,-4
TT,Trinidad and Tobago,,,,,,2020-02-24,-10,-15,153,-8,-73,12
TT,Trinidad and Tobago,,,,,,2020-02-25,-21,-27,122,9,-75,15
TT,Trinidad and Tobago,,,,,,2020-02-26,0,10,15,20,-16,5
TT,Trinidad and Tobago,,,,,,2020-02-27,3,10,10,15,-6,3
TT,Trinidad and Tobago,,,,,,2020-02-28,8,12,9,16,-4,2
TT,Trinidad and Tobago,,,,,,2020-02-29,9,14,10,14,1,1
TT,Trinidad and Tobago,,,,,,2020-03-01,15,15,15,15,3,0
TT,Trinidad and Tobago,,,,,,2020-03-02,11,17,4,15,1,0
TT,Trinidad and Tobago,,,,,,2020-03-03,7,15,3,9,1,0
TT,Trinidad and Tobago,,,,,,2020-03-04,4,12,1,9,1,1
TT,Trinidad and Tobago,,,,,,2020-03-05,-1,4,2,5,0,1
TT,Trinidad and Tobago,,,,,,2020-03-06,3,6,5,5,2,1
TT,Trinidad and Tobago,,,,,,2020-03-07,2,6,4,-1,3,1
TT,Trinidad and Tobago,,,,,,2020-03-08,8,7,14,-7,4,0
TT,Trinidad and Tobago,,,,,,2020-03-09,1,5,-1,-2,0,1
TT,Trinidad and Tobago,,,,,,2020-03-10,1,5,1,1,0,1
TT,Trinidad and Tobago,,,,,,2020-03-11,0,5,0,-1,-1,1
TT,Trinidad and Tobago,,,,,,2020-03-12,-1,24,1,-3,-1,1
TT,Trinidad and Tobago,,,,,,2020-03-13,-2,26,-5,-10,-1,2
TT,Trinidad and Tobago,,,,,,2020-03-14,-15,12,-15,-22,-3,6
TT,Trinidad and Tobago,,,,,,2020-03-15,-17,-1,-23,-28,-5,5
TT,Trinidad and Tobago,,,,,,2020-03-16,-14,22,-18,-23,-21,10
TT,Trinidad and Tobago,,,,,,2020-03-17,-25,6,-20,-26,-26,12
TT,Trinidad and Tobago,,,,,,2020-03-18,-27,8,-20,-35,-29,14
TT,Trinidad and Tobago,,,,,,2020-03-19,-33,-4,-24,-41,-31,15
TT,Trinidad and Tobago,,,,,,2020-03-20,-34,0,-27,-42,-28,17
TT,Trinidad and Tobago,,,,,,2020-03-21,-41,-7,-40,-49,-21,14
TT,Trinidad and Tobago,,,,,,2020-03-22,-44,-18,-42,-49,-22,10
TT,Trinidad and Tobago,,,,,,2020-03-23,-32,-9,-29,-48,-33,16
TT,Trinidad and Tobago,,,,,,2020-03-24,-34,-9,-30,-51,-35,17
TT,Trinidad and Tobago,,,,,,2020-03-25,-36,-8,-34,-53,-37,18
TT,Trinidad and Tobago,,,,,,2020-03-26,-32,7,-32,-56,-38,18
TT,Trinidad and Tobago,,,,,,2020-03-27,-25,20,-27,-54,-34,17
TT,Trinidad and Tobago,,,,,,2020-03-28,-29,10,-37,-58,-21,13
TT,Trinidad and Tobago,,,,,,2020-03-29,-29,10,-40,-70,-17,9
TT,Trinidad and Tobago,,,,,,2020-03-30,-86,-72,-77,-86,-85,36
TT,Trinidad and Tobago,,,,,,2020-03-31,-65,-33,-63,-72,-64,29
TT,Trinidad and Tobago,,,,,,2020-04-01,-63,-31,-60,-72,-65,29
TT,Trinidad and Tobago,,,,,,2020-04-02,-62,-32,-58,-74,-65,29
TT,Trinidad and Tobago,,,,,,2020-04-03,-62,-29,-57,-75,-63,31
TT,Trinidad and Tobago,,,,,,2020-04-04,-66,-37,-64,-78,-51,22
TT,Trinidad and Tobago,,,,,,2020-04-05,-65,-41,-67,-82,-41,15
TT,Trinidad and Tobago,,,,,,2020-04-06,-51,-21,-54,-72,-64,26
TT,Trinidad and Tobago,,,,,,2020-04-07,-67,-29,-58,-74,-66,29
TT,Trinidad and Tobago,,,,,,2020-04-08,-66,-28,-58,-73,-66,28
TT,Trinidad and Tobago,,,,,,2020-04-09,-61,-17,-53,-73,-65,27
TT,Trinidad and Tobago,,,,,,2020-04-10,-84,-60,-68,-87,-82,38
