country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
TW,Taiwan,,,,,,2020-02-15,-9,-4,-2,-10,56,-1
TW,Taiwan,,,,,,2020-02-16,-14,-8,-21,-22,-8,5
TW,Taiwan,,,,,,2020-02-17,-7,-3,-14,-17,-3,6
TW,Taiwan,,,,,,2020-02-18,-7,-2,-3,-15,2,5
TW,Taiwan,,,,,,2020-02-19,-7,-4,8,-12,3,4
TW,Taiwan,,,,,,2020-02-20,-5,-5,-4,-15,2,1
TW,Taiwan,,,,,,2020-02-21,-3,0,6,-12,0,5
TW,Taiwan,,,,,,2020-02-22,-8,1,3,-17,5,3
TW,Taiwan,,,,,,2020-02-23,-4,4,24,-15,-2,2
TW,Taiwan,,,,,,2020-02-24,-3,1,6,-14,1,4
TW,Taiwan,,,,,,2020-02-25,-8,0,4,-12,11,2
TW,Taiwan,,,,,,2020-02-26,-10,-3,3,-11,11,2
TW,Taiwan,,,,,,2020-02-27,-3,-1,-9,-4,9,-3
TW,Taiwan,,,,,,2020-02-28,8,11,65,-14,-50,12
TW,Taiwan,,,,,,2020-02-29,-7,1,31,-16,-4,3
TW,Taiwan,,,,,,2020-03-01,-7,2,21,-11,0,1
TW,Taiwan,,,,,,2020-03-02,-9,-1,-10,-14,10,2
TW,Taiwan,,,,,,2020-03-03,-10,-1,-2,-15,14,2
TW,Taiwan,,,,,,2020-03-04,-15,-7,-14,-16,14,2
TW,Taiwan,,,,,,2020-03-05,-14,-3,-30,-18,11,0
TW,Taiwan,,,,,,2020-03-06,-5,4,-1,-9,10,1
TW,Taiwan,,,,,,2020-03-07,-5,7,9,-18,11,2
TW,Taiwan,,,,,,2020-03-08,-4,7,26,-16,3,2
TW,Taiwan,,,,,,2020-03-09,-9,1,-3,-14,10,2
TW,Taiwan,,,,,,2020-03-10,-18,-4,-29,-18,11,4
TW,Taiwan,,,,,,2020-03-11,-9,1,-4,-12,14,1
TW,Taiwan,,,,,,2020-03-12,-10,-4,-15,-15,12,-2
TW,Taiwan,,,,,,2020-03-13,-13,-4,-21,-12,9,3
TW,Taiwan,,,,,,2020-03-14,-14,-1,-28,-25,6,6
TW,Taiwan,,,,,,2020-03-15,-2,7,31,-13,1,2
TW,Taiwan,,,,,,2020-03-16,-7,3,0,-13,10,2
TW,Taiwan,,,,,,2020-03-17,-10,2,-3,-15,14,2
TW,Taiwan,,,,,,2020-03-18,-15,2,-11,-15,13,2
TW,Taiwan,,,,,,2020-03-19,-18,6,-29,-21,11,0
TW,Taiwan,,,,,,2020-03-20,-8,12,-5,-12,9,2
TW,Taiwan,,,,,,2020-03-21,-10,8,4,-23,9,3
TW,Taiwan,,,,,,2020-03-22,-8,6,24,-22,0,3
TW,Taiwan,,,,,,2020-03-23,-12,4,-9,-19,8,3
TW,Taiwan,,,,,,2020-03-24,-13,3,-5,-19,12,3
TW,Taiwan,,,,,,2020-03-25,-14,2,0,-17,12,2
TW,Taiwan,,,,,,2020-03-26,-13,0,-10,-20,10,-1
TW,Taiwan,,,,,,2020-03-27,-13,0,-11,-17,7,3
TW,Taiwan,,,,,,2020-03-28,-21,-6,-33,-34,3,7
TW,Taiwan,,,,,,2020-03-29,-9,3,17,-24,-1,4
TW,Taiwan,,,,,,2020-03-30,-14,-2,-13,-20,6,4
TW,Taiwan,,,,,,2020-03-31,-11,1,-6,-17,9,3
TW,Taiwan,,,,,,2020-04-01,-10,2,-10,-6,7,1
TW,Taiwan,,,,,,2020-04-02,-1,8,10,-26,-50,11
TW,Taiwan,,,,,,2020-04-03,-1,10,40,-31,-55,16
TW,Taiwan,,,,,,2020-04-04,-24,-6,-7,-33,-23,7
TW,Taiwan,,,,,,2020-04-05,-22,-7,-12,-28,-9,6
