country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
UA,Ukraine,,,,,,2020-02-15,6,3,6,5,0,0
UA,Ukraine,,,,,,2020-02-16,4,3,2,4,7,0
UA,Ukraine,,,,,,2020-02-17,4,3,5,5,6,0
UA,Ukraine,,,,,,2020-02-18,3,4,5,5,7,-1
UA,Ukraine,,,,,,2020-02-19,7,6,16,8,8,-2
UA,Ukraine,,,,,,2020-02-20,4,4,11,7,7,-1
UA,Ukraine,,,,,,2020-02-21,4,6,2,7,7,-1
UA,Ukraine,,,,,,2020-02-22,8,7,12,8,5,-1
UA,Ukraine,,,,,,2020-02-23,0,2,-12,2,7,0
UA,Ukraine,,,,,,2020-02-24,-5,-3,-14,-1,3,1
UA,Ukraine,,,,,,2020-02-25,3,5,3,5,9,-1
UA,Ukraine,,,,,,2020-02-26,5,6,12,8,9,-2
UA,Ukraine,,,,,,2020-02-27,3,5,8,7,8,-2
UA,Ukraine,,,,,,2020-02-28,2,5,2,6,8,-1
UA,Ukraine,,,,,,2020-02-29,8,7,19,9,8,-1
UA,Ukraine,,,,,,2020-03-01,6,6,9,7,12,-1
UA,Ukraine,,,,,,2020-03-02,1,2,-4,3,9,-1
UA,Ukraine,,,,,,2020-03-03,7,7,15,7,11,-2
UA,Ukraine,,,,,,2020-03-04,11,11,24,11,10,-3
UA,Ukraine,,,,,,2020-03-05,14,14,26,14,10,-3
UA,Ukraine,,,,,,2020-03-06,16,14,17,14,9,-3
UA,Ukraine,,,,,,2020-03-07,21,21,25,18,6,-3
UA,Ukraine,,,,,,2020-03-08,24,18,32,16,7,-4
UA,Ukraine,,,,,,2020-03-09,8,1,31,-8,-56,9
UA,Ukraine,,,,,,2020-03-10,6,7,16,9,9,-3
