country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
UG,Uganda,,,,,,2020-02-15,5,2,-2,4,7,1
UG,Uganda,,,,,,2020-02-16,2,1,-4,2,4,1
UG,Uganda,,,,,,2020-02-17,1,-2,-4,1,9,0
UG,Uganda,,,,,,2020-02-18,0,-2,-5,-1,9,-1
UG,Uganda,,,,,,2020-02-19,-4,-6,-6,0,7,-1
UG,Uganda,,,,,,2020-02-20,-1,-3,-2,-1,7,0
UG,Uganda,,,,,,2020-02-21,-2,-2,-9,-1,12,-1
UG,Uganda,,,,,,2020-02-22,2,-1,-3,-2,8,1
UG,Uganda,,,,,,2020-02-23,0,0,-8,-2,5,1
UG,Uganda,,,,,,2020-02-24,-3,-3,-4,-4,10,0
UG,Uganda,,,,,,2020-02-25,1,-2,-6,-3,10,0
UG,Uganda,,,,,,2020-02-26,-4,-4,-7,-2,8,-1
UG,Uganda,,,,,,2020-02-27,0,0,-7,1,8,-1
UG,Uganda,,,,,,2020-02-28,0,0,-8,0,10,0
UG,Uganda,,,,,,2020-02-29,5,4,-5,3,9,0
UG,Uganda,,,,,,2020-03-01,4,3,-7,4,7,0
UG,Uganda,,,,,,2020-03-02,4,0,-5,-1,12,0
UG,Uganda,,,,,,2020-03-03,1,0,-7,-3,12,0
UG,Uganda,,,,,,2020-03-04,0,-2,-6,1,10,0
UG,Uganda,,,,,,2020-03-05,4,3,-5,2,10,-1
UG,Uganda,,,,,,2020-03-06,4,4,-4,1,14,-1
UG,Uganda,,,,,,2020-03-07,8,5,-1,3,10,0
UG,Uganda,,,,,,2020-03-08,7,4,-6,1,7,0
UG,Uganda,,,,,,2020-03-09,0,-1,-5,-4,10,1
UG,Uganda,,,,,,2020-03-10,2,3,-4,-1,12,-1
UG,Uganda,,,,,,2020-03-11,-1,0,-5,0,10,0
UG,Uganda,,,,,,2020-03-12,1,2,-1,-1,9,-1
UG,Uganda,,,,,,2020-03-13,0,3,-4,-1,13,0
UG,Uganda,,,,,,2020-03-14,3,5,-5,-1,9,1
UG,Uganda,,,,,,2020-03-15,-1,1,-10,-5,5,1
UG,Uganda,,,,,,2020-03-16,-8,-8,-8,-11,5,3
UG,Uganda,,,,,,2020-03-17,0,3,-7,-6,11,-1
UG,Uganda,,,,,,2020-03-18,-3,2,-8,-4,9,0
UG,Uganda,,,,,,2020-03-19,-2,9,-3,-2,6,0
UG,Uganda,,,,,,2020-03-20,-9,7,-8,0,3,1
UG,Uganda,,,,,,2020-03-21,-11,2,-10,-7,3,5
UG,Uganda,,,,,,2020-03-22,-20,0,-11,-19,0,8
UG,Uganda,,,,,,2020-03-23,-16,-5,-8,-20,-4,8
UG,Uganda,,,,,,2020-03-24,-18,0,-9,-25,-10,9
UG,Uganda,,,,,,2020-03-25,-29,-16,-13,-31,-19,12
UG,Uganda,,,,,,2020-03-26,-41,-18,-7,-50,-38,17
UG,Uganda,,,,,,2020-03-27,-51,-34,-16,-59,-42,23
UG,Uganda,,,,,,2020-03-28,-47,-27,-12,-56,-35,19
UG,Uganda,,,,,,2020-03-29,-50,-36,-16,-59,-23,19
UG,Uganda,,,,,,2020-03-30,-46,-29,-9,-58,-44,22
UG,Uganda,,,,,,2020-03-31,-67,-52,-17,-68,-63,31
UG,Uganda,,,,,,2020-04-01,-70,-58,-19,-70,-65,33
UG,Uganda,,,,,,2020-04-02,-68,-56,-16,-70,-63,33
UG,Uganda,,,,,,2020-04-03,-70,-56,-20,-70,-61,34
UG,Uganda,,,,,,2020-04-04,-69,-58,-19,-70,-51,31
UG,Uganda,,,,,,2020-04-05,-64,-55,-20,-69,-31,24
UG,Uganda,,,,,,2020-04-06,-67,-55,-17,-71,-60,33
UG,Uganda,,,,,,2020-04-07,-67,-55,-18,-70,-59,31
UG,Uganda,,,,,,2020-04-08,-69,-57,-18,-70,-60,31
UG,Uganda,,,,,,2020-04-09,-69,-56,-19,-70,-61,32
UG,Uganda,,,,,,2020-04-10,-72,-58,-21,-72,-63,35
UG,Uganda,,,,,,2020-04-11,-68,-51,-20,-70,-49,30
UG,Uganda,,,,,,2020-04-12,-67,-56,-21,-71,-30,25
