Province/State,Country/Region,Last Update,Lat,Long,Confirmed,Deaths,Recovered,Suspected,ConfnSusp
Hubei,Mainland China,1/26/2020 11:00,30.97564,112.2707,1058,52,42,,1058
Guangdong,Mainland China,1/26/2020 11:00,23.33841,113.422,111,,2,,111
Zhejiang,Mainland China,1/26/2020 11:00,29.18251,120.0985,104,,1,,104
Henan,Mainland China,1/26/2020 11:00,33.88202,113.614,83,1,,3,86
Chongqing,Mainland China,1/26/2020 11:00,30.05718,107.874,75,,,,75
Hunan,Mainland China,1/26/2020 11:00,27.61041,111.7088,69,,,,69
Beijing,Mainland China,1/26/2020 11:00,40.18238,116.4142,68,,2,,68
Anhui,Mainland China,1/26/2020 11:00,31.82571,117.2264,60,,,4,64
Shandong,Mainland China,1/26/2020 11:00,36.34377,118.1529,46,,,,46
Sichuan,Mainland China,1/26/2020 11:00,30.61714,102.7103,44,,,4,48
Shanghai,Mainland China,1/26/2020 11:00,31.20327,121.4554,40,1,1,72,112
Guangxi,Mainland China,1/26/2020 11:00,23.82908,108.7881,36,,,,36
Jiangxi,Mainland China,1/26/2020 11:00,27.61401,115.7221,36,,,,36
Fujian,Mainland China,1/26/2020 11:00,26.07783,117.9895,35,,,20,55
Jiangsu,Mainland China,1/26/2020 11:00,32.97027,119.464,33,,1,,33
Hainan,Mainland China,1/26/2020 11:00,19.19673,109.7455,22,,,,22
Shaanxi,Mainland China,1/26/2020 11:00,35.19165,108.8701,22,,,,22
Liaoning,Mainland China,1/26/2020 11:00,41.29284,122.6086,21,,,,21
Yunnan,Mainland China,1/26/2020 11:00,24.97411,101.4868,16,,,36,52
Heilongjiang,Mainland China,1/26/2020 11:00,47.862,127.7622,15,1,,,15
Tianjin,Mainland China,1/26/2020 11:00,39.29362,117.333,14,,,,14
Hebei,Mainland China,1/26/2020 11:00,38.0428,114.5149,13,1,,,13
Shanxi,Mainland China,1/26/2020 11:00,37.57769,112.2922,9,,,,9
Hong Kong,Hong Kong,1/26/2020 11:00,22.3193,114.1694,8,,,244,252
Inner Mongolia,Mainland China,1/26/2020 11:00,44.09448,113.9456,7,,,,7
Gansu,Mainland China,1/26/2020 11:00,36.0611,103.8343,7,,,,7
Guizhou,Mainland China,1/26/2020 11:00,26.81536,106.8748,5,,,,5
Macau,Macau,1/26/2020 11:00,22.1987,113.5439,5,,,,5
Ningxia,Mainland China,1/26/2020 11:00,37.26923,106.1655,4,,,,4
Jilin,Mainland China,1/26/2020 11:00,43.66657,126.1917,4,,,,4
Taiwan,Taiwan,1/26/2020 11:00,23.6978,120.9605,4,,,,4
Xinjiang,Mainland China,1/26/2020 11:00,41.11981,85.17822,4,,,,4
Qinghai,Mainland China,1/26/2020 11:00,35.65945,96.02564,1,,,,1
Washington,US,1/26/2020 11:00,47.6062,-122.3321,1,,,,1
Illinois,US,1/26/2020 11:00,41.8781,-87.6298,1,,,,1
California,US,1/26/2020 16:30,36.7783,-119.4179,2,,,,2
Arizona,US,1/26/2020 16:30,34.0489,-111.0937,1,,,,1
,Japan,1/26/2020 11:00,35.6762,139.6503,4,,1,,4
,Thailand,1/26/2020 11:00,13.7563,100.5018,8,,2,,8
,South Korea,1/26/2020 11:00,37.5665,126.978,3,,,,3
,Singapore ,1/26/2020 11:00,1.3521,103.8198,4,,,,4
,Vietnam,1/26/2020 11:00,21.0278,105.8342,2,,,,2
,France,1/26/2020 11:00,46.2276,2.2137,3,,,,3
,Australia,1/26/2020 11:00,-25.2744,133.7751,4,,,,4
,Nepal,1/26/2020 11:00,28.3949,84.124,1,,,,1
,Malaysia ,1/26/2020 11:00,4.2105,101.9758,4,,,,4
Ontario,Canada,1/26/2020 11:00,43.6532,-79.3832,1,,,,1
