Province/State,Country/Region,Last Update,Lat,Long,Confirmed,Deaths,Recovered
Hubei,Mainland China,1/30/2020 21:30,30.97564,112.2707,5806,204,116
Zhejiang,Mainland China,1/30/2020 21:30,29.18251,120.0985,537,,9
Guangdong,Mainland China,1/30/2020 21:30,23.33841,113.422,393,,11
Henan,Mainland China,1/30/2020 21:30,33.88202,113.614,352,2,3
Hunan,Mainland China,1/30/2020 21:30,27.61041,111.7088,332,,2
Jiangxi,Mainland China,1/30/2020 21:30,27.61401,115.7221,240,,7
Anhui,Mainland China,1/30/2020 21:30,31.82571,117.2264,237,,3
Chongqing,Mainland China,1/30/2020 21:30,30.05718,107.874,206,,1
Shandong,Mainland China,1/30/2020 21:30,36.34377,118.1529,178,,2
Sichuan,Mainland China,1/30/2020 21:30,30.61714,102.7103,177,1,1
Jiangsu,Mainland China,1/30/2020 21:30,32.97027,119.464,168,,2
Shanghai,Mainland China,1/30/2020 21:30,31.20327,121.4554,128,1,9
Beijing,Mainland China,1/30/2020 21:30,40.18238,116.4142,121,1,5
Fujian,Mainland China,1/30/2020 21:30,26.07783,117.9895,101,,
Guangxi,Mainland China,1/30/2020 21:30,23.82908,108.7881,87,,2
Hebei,Mainland China,1/30/2020 21:30,38.0428,114.5149,82,1,
Yunnan,Mainland China,1/30/2020 21:30,24.97411,101.4868,76,,
Shaanxi,Mainland China,1/30/2020 21:30,35.19165,108.8701,87,,
Heilongjiang,Mainland China,1/30/2020 21:30,47.862,127.7622,59,2,
Hainan,Mainland China,1/30/2020 21:30,19.19673,109.7455,50,1,1
Liaoning,Mainland China,1/30/2020 21:30,41.29284,122.6086,45,,1
Shanxi,Mainland China,1/30/2020 21:30,37.57769,112.2922,39,,1
Tianjin,Mainland China,1/30/2020 21:30,39.29362,117.333,32,,
Gansu,Mainland China,1/30/2020 21:30,36.0611,103.8343,29,,
Ningxia,Mainland China,1/30/2020 21:30,37.26923,106.1655,21,,1
Inner Mongolia,Mainland China,1/30/2020 21:30,44.09448,113.9456,20,,
Xinjiang,Mainland China,1/30/2020 21:30,41.11981,85.17822,17,,
Guizhou,Mainland China,1/30/2020 21:30,26.81536,106.8748,15,,1
Jilin,Mainland China,1/30/2020 21:30,43.66657,126.1917,14,,1
Hong Kong,Hong Kong,1/30/2020 21:30,22.3193,114.1694,12,,
Taiwan,Taiwan,1/30/2020 21:30,23.6978,120.9605,9,,
Qinghai,Mainland China,1/30/2020 21:30,35.65945,96.02564,8,,
Macau,Macau,1/30/2020 21:30,22.1987,113.5439,7,,
Tibet,Mainland China,1/30/2020 21:30,30.1534,88.7879,1,,
Washington,US,1/30/2020 21:30,47.7511,-120.7401,1,,
Illinois,US,1/30/2020 21:30,40.6331,-89.3985,2,,
California,US,1/30/2020 21:30,36.7783,-119.4179,2,,
Arizona,US,1/30/2020 21:30,34.0489,-111.0937,1,,
,Japan,1/30/2020 21:30,35.6762,139.6503,11,,1
,Thailand,1/30/2020 21:30,13.7563,100.5018,14,,5
,South Korea,1/30/2020 21:30,37.5665,126.978,6,,
,Singapore ,1/30/2020 21:30,1.3521,103.8198,10,,
,Vietnam,1/30/2020 21:30,21.0278,105.8342,2,,
,France,1/30/2020 21:30,46.2276,2.2137,5,,
,Nepal,1/30/2020 21:30,28.3949,84.124,1,,
,Malaysia ,1/30/2020 21:30,4.2105,101.9758,8,,
Ontario,Canada,1/30/2020 21:30,43.6532,-79.3832,2,,
British Columbia,Canada,1/30/2020 21:30,53.7267,-127.6476,1,,
,Cambodia,1/30/2020 21:30,12.5657,104.991,1,,
,Sri Lanka,1/30/2020 21:30,7.8731,80.7718,1,,
New South Wales,Australia,1/30/2020 21:30,-31.2532,146.9211,4,,2
Victoria,Australia,1/30/2020 21:30,-37.4713,144.7852,2,,
Queensland,Australia,1/30/2020 21:30,-20.9176,142.7028,3,,
Bavaria,Germany,1/30/2020 21:30,51.1657,10.4515,4,,
,Finland,1/30/2020 21:30,61.9241,25.7482,1,,
,United Arab Emirates,1/30/2020 21:30,23.4241,53.8478,4,,
,Philippines,1/30/2020 21:30,12.8797,121.774,1,,
,India,1/30/2020 21:30,20.5937,78.9629,1,,
,Italy,1/30/2020 21:30,41.8719,12.5674,2,,
